Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population","735,510","(+/-3,622)","724,401","(+/-7,738)","730,373","(+/-3,227)","722,049","(+/-5,964)","758,622","(+/-3,654)","722,381","(+/-9,416)","715,132","(+/-12,470)"
People,"Sex and Age",Male,"354,574","(+/-2,790)","353,105","(+/-4,178)","352,670","(+/-3,482)","352,424","(+/-4,073)","371,525","(+/-2,956)","349,163","(+/-5,318)","338,340","(+/-7,016)"
People,"Sex and Age",Female,"380,936","(+/-2,716)","371,296","(+/-5,641)","377,703","(+/-3,300)","369,625","(+/-4,161)","387,097","(+/-3,099)","373,218","(+/-6,014)","376,792","(+/-8,107)"
People,"Sex and Age","Under 5 years","40,812","(+/-1,877)","41,303","(+/-2,170)","38,888","(+/-1,494)","44,242","(+/-1,969)","40,627","(+/-1,562)","42,851","(+/-2,584)","39,296","(+/-3,243)"
People,"Sex and Age","5 to 9 years","44,605","(+/-4,450)","48,219","(+/-3,585)","42,621","(+/-3,749)","39,820","(+/-2,677)","45,174","(+/-3,308)","42,534","(+/-3,061)","42,758","(+/-3,684)"
People,"Sex and Age","10 to 14 years","48,078","(+/-4,160)","47,147","(+/-3,708)","44,665","(+/-3,771)","51,753","(+/-3,385)","47,178","(+/-3,403)","51,657","(+/-3,996)","40,784","(+/-3,260)"
People,"Sex and Age","15 to 19 years","44,710","(+/-1,461)","49,224","(+/-2,544)","51,742","(+/-3,583)","46,160","(+/-2,416)","50,117","(+/-2,512)","47,693","(+/-2,304)","61,048","(+/-3,631)"
People,"Sex and Age","20 to 24 years","40,634","(+/-1,517)","43,710","(+/-3,055)","54,742","(+/-2,965)","43,273","(+/-2,420)","50,351","(+/-2,374)","39,191","(+/-2,834)","61,894","(+/-3,285)"
People,"Sex and Age","25 to 34 years","91,166","(+/-2,254)","89,687","(+/-3,295)","90,506","(+/-3,253)","83,847","(+/-3,532)","101,697","(+/-2,575)","94,064","(+/-3,716)","93,550","(+/-4,913)"
People,"Sex and Age","35 to 44 years","94,903","(+/-2,946)","92,348","(+/-2,488)","89,393","(+/-3,796)","88,924","(+/-2,966)","97,448","(+/-2,398)","99,965","(+/-3,651)","86,271","(+/-4,679)"
People,"Sex and Age","45 to 54 years","89,273","(+/-2,691)","89,483","(+/-2,792)","89,539","(+/-2,901)","89,394","(+/-2,750)","93,136","(+/-2,253)","92,528","(+/-3,540)","76,725","(+/-4,050)"
People,"Sex and Age","55 to 59 years","44,034","(+/-3,124)","45,277","(+/-2,542)","44,400","(+/-3,059)","43,980","(+/-3,026)","50,271","(+/-2,820)","42,660","(+/-2,770)","38,273","(+/-2,968)"
People,"Sex and Age","60 to 64 years","52,575","(+/-3,071)","46,307","(+/-2,314)","49,661","(+/-2,730)","50,615","(+/-2,768)","51,872","(+/-2,838)","44,390","(+/-2,954)","48,686","(+/-2,954)"
People,"Sex and Age","65 to 74 years","86,249","(+/-1,704)","76,363","(+/-2,001)","81,778","(+/-1,510)","81,900","(+/-1,721)","76,590","(+/-1,539)","72,238","(+/-2,233)","78,890","(+/-2,553)"
People,"Sex and Age","75 to 84 years","45,204","(+/-2,141)","42,468","(+/-1,832)","41,150","(+/-1,697)","44,681","(+/-2,059)","40,253","(+/-1,642)","39,805","(+/-2,128)","35,638","(+/-2,432)"
People,"Sex and Age","85 years and over","13,267","(+/-1,923)","12,865","(+/-1,441)","11,288","(+/-1,280)","13,460","(+/-1,299)","13,908","(+/-1,639)","12,805","(+/-1,608)","11,319","(+/-1,493)"
