Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population","733,406",(*****)
People,"Sex and Age",Male,"385,855","(+/-2,547)"
People,"Sex and Age",Female,"347,551","(+/-2,547)"
People,"Sex and Age","Under 5 years","45,211","(+/-1,366)"
People,"Sex and Age","5 to 9 years","48,763","(+/-2,570)"
People,"Sex and Age","10 to 14 years","51,926","(+/-2,834)"
People,"Sex and Age","15 to 19 years","43,880","(+/-3,216)"
People,"Sex and Age","20 to 24 years","49,734","(+/-4,230)"
People,"Sex and Age","25 to 34 years","111,850","(+/-2,756)"
People,"Sex and Age","35 to 44 years","110,131","(+/-2,399)"
People,"Sex and Age","45 to 54 years","82,182","(+/-2,529)"
People,"Sex and Age","55 to 59 years","39,971","(+/-2,513)"
People,"Sex and Age","60 to 64 years","46,760","(+/-2,879)"
People,"Sex and Age","65 to 74 years","66,638","(+/-1,189)"
People,"Sex and Age","75 to 84 years","29,123","(+/-1,923)"
People,"Sex and Age","85 years and over","7,237","(+/-1,360)"
People,"Sex and Age","Median age (years)",36.5,(+/-0.3)
People,"Sex and Age","18 years and over","559,040","(+/-1,101)"
People,"Sex and Age","65 years and over","102,998","(+/-1,380)"
People,Race,"Total population","733,406",(*****)
People,Race,"One race","630,035","(+/-6,701)"
People,Race,White,"436,860","(+/-4,325)"
People,Race,"Black or African American","21,022","(+/-2,459)"
People,Race,"American Indian and Alaska Native","98,745","(+/-4,687)"
People,Race,Asian,"43,330","(+/-2,801)"
People,Race,"Native Hawaiian and Other Pacific Islander","10,646","(+/-1,068)"
People,Race,"Some other race","19,432","(+/-3,315)"
People,Race,"Two or more races","103,371","(+/-6,701)"
People,"Hispanic or Latino and Race","Total population","733,406",(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","54,860",(+/-94)
People,"Hispanic or Latino and Race",Mexican,"26,911","(+/-2,886)"
People,"Hispanic or Latino and Race","Puerto Rican","5,701","(+/-1,494)"
People,"Hispanic or Latino and Race",Cuban,"1,466",(+/-857)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","20,782","(+/-3,096)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","678,546",(+/-94)
People,"Place of Birth","Total population","733,406",(*****)
People,"Place of Birth",Native,"678,835","(+/-3,858)"
People,"Place of Birth","Born in United States","662,794","(+/-4,548)"
People,"Place of Birth","State of residence","314,519","(+/-6,798)"
People,"Place of Birth","Different state","348,275","(+/-7,907)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","16,041","(+/-2,455)"
People,"Place of Birth","Foreign born","54,571","(+/-3,858)"
People,Ancestry,"Total population","733,406",(*****)
People,Ancestry,American,"27,134","(+/-3,840)"
People,Ancestry,Arab,"2,220","(+/-1,181)"
People,Ancestry,Czech,"1,903",(+/-747)
People,Ancestry,Danish,"3,463","(+/-1,029)"
People,Ancestry,Dutch,"7,795","(+/-1,854)"
People,Ancestry,English,"75,128","(+/-5,853)"
People,Ancestry,"French (except Basque)","10,112","(+/-1,771)"
People,Ancestry,"French Canadian","3,856","(+/-1,374)"
People,Ancestry,German,"98,418","(+/-6,704)"
People,Ancestry,Greek,"3,412","(+/-2,812)"
People,Ancestry,Hungarian,"1,670",(+/-931)
People,Ancestry,Irish,"62,714","(+/-5,094)"
People,Ancestry,Italian,"17,968","(+/-3,023)"
People,Ancestry,Lithuanian,368,(+/-227)
People,Ancestry,Norwegian,"20,581","(+/-2,892)"
People,Ancestry,Polish,"15,065","(+/-3,221)"
People,Ancestry,Portuguese,861,(+/-454)
People,Ancestry,Russian,"5,230","(+/-1,624)"
People,Ancestry,Scotch-Irish,"8,361","(+/-2,244)"
People,Ancestry,Scottish,"16,587","(+/-2,976)"
People,Ancestry,Slovak,806,(+/-389)
People,Ancestry,"Subsaharan African","4,859","(+/-1,696)"
People,Ancestry,Swedish,"14,656","(+/-2,686)"
People,Ancestry,Swiss,"2,489","(+/-1,046)"
People,Ancestry,Ukrainian,"2,601","(+/-1,321)"
People,Ancestry,Welsh,"3,981","(+/-1,132)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,369",(+/-758)
People,"Veteran Status","Civilian population 18 years and over","536,057","(+/-3,406)"
People,"Veteran Status","Civilian veterans","56,038","(+/-3,839)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","702,315","(+/-2,648)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","106,126","(+/-6,103)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","174,054","(+/-1,104)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","11,553","(+/-2,196)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","427,108","(+/-3,478)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","57,861","(+/-4,495)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","101,153","(+/-1,474)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","36,712","(+/-2,406)"
People,"Residence 1 Year Ago","Population 1 year and over","725,129","(+/-1,500)"
People,"Residence 1 Year Ago","Same house","621,389","(+/-8,265)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","103,740","(+/-7,994)"
People,"Residence 1 Year Ago","Different house in the U.S.","98,689","(+/-7,831)"
People,"Residence 1 Year Ago","Same county","55,610","(+/-6,029)"
People,"Residence 1 Year Ago","Different county","43,079","(+/-5,099)"
People,"Residence 1 Year Ago","Same state","12,403","(+/-2,214)"
People,"Residence 1 Year Ago","Different state","30,676","(+/-4,209)"
People,"Residence 1 Year Ago",Abroad,"5,051","(+/-2,401)"
Workers,"Employment Status","Population 16 years and over","577,598","(+/-2,016)"
Workers,"Employment Status","In labor force","385,948","(+/-4,679)"
Workers,"Employment Status","Civilian labor force","362,965","(+/-5,641)"
Workers,"Employment Status",Employed,"345,460","(+/-5,852)"
Workers,"Employment Status",Unemployed,"17,505","(+/-2,249)"
Workers,"Employment Status","Armed Forces","22,983","(+/-3,148)"
Workers,"Employment Status","Not in labor force","191,650","(+/-4,136)"
Workers,"Employment Status","Civilian labor force","362,965","(+/-5,641)"
Workers,"Employment Status","Unemployment Rate",4.8,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","360,378","(+/-4,959)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","235,894","(+/-6,185)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","41,660","(+/-4,281)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","3,043",(+/-997)
Workers,"Commuting to Work",Walked,"26,046","(+/-2,942)"
Workers,"Commuting to Work","Other means","21,288","(+/-2,372)"
Workers,"Commuting to Work","Worked from home","32,447","(+/-3,588)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19.8,(+/-0.9)
Workers,Occupation,"Civilian employed population 16 years and over","345,460","(+/-5,852)"
Workers,Occupation,"Management, business, science, and arts occupations","142,374","(+/-5,875)"
Workers,Occupation,"Service occupations","57,588","(+/-5,056)"
Workers,Occupation,"Sales and office occupations","64,165","(+/-4,667)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","37,630","(+/-3,453)"
Workers,Occupation,"Production, transportation, and material moving occupations","43,703","(+/-3,037)"
Workers,Industry,"Civilian employed population 16 years and over","345,460","(+/-5,852)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","18,392","(+/-2,200)"
Workers,Industry,Construction,"25,277","(+/-2,864)"
Workers,Industry,Manufacturing,"14,639","(+/-2,074)"
Workers,Industry,"Wholesale trade","7,846","(+/-1,406)"
Workers,Industry,"Retail trade","35,568","(+/-3,006)"
Workers,Industry,"Transportation and warehousing, and utilities","27,648","(+/-2,584)"
Workers,Industry,Information,"5,288","(+/-1,373)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","10,269","(+/-1,475)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","29,860","(+/-3,406)"
Workers,Industry,"Educational services, and health care and social assistance","87,856","(+/-5,511)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","28,349","(+/-3,105)"
Workers,Industry,"Other services, except public administration","15,792","(+/-1,933)"
Workers,Industry,"Public administration","38,676","(+/-3,194)"
Workers,"Class of Worker","Civilian employed population 16 years and over","345,460","(+/-5,852)"
Workers,"Class of Worker","Private wage and salary workers","241,464","(+/-7,029)"
Workers,"Class of Worker","Government workers","82,061","(+/-4,331)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","21,070","(+/-2,319)"
Workers,"Class of Worker","Unpaid family workers",865,(+/-415)
Housing,"Housing Occupancy","Total housing units","329,681",(+/-282)
Housing,"Housing Occupancy","Occupied housing units","276,852","(+/-3,294)"
Housing,"Housing Occupancy","Vacant housing units","52,829","(+/-3,358)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.7,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",6.3,(+/-1.5)
Housing,"Housing Tenure","Occupied housing units","276,852","(+/-3,294)"
Housing,"Housing Tenure",Owner-occupied,"183,575","(+/-3,874)"
Housing,"Housing Tenure",Renter-occupied,"93,277","(+/-4,063)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.70,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.23,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units","276,852","(+/-3,294)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","82,387","(+/-4,542)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","50,048","(+/-3,973)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","58,509","(+/-3,740)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","41,824","(+/-2,498)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","22,307","(+/-1,875)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","21,777","(+/-2,003)"
Housing,Value,"Owner-occupied units","183,575","(+/-3,874)"
Housing,Value,"Less than $50,000","11,901","(+/-1,586)"
Housing,Value,"$50,000 to $99,999","8,434","(+/-1,390)"
Housing,Value,"$100,000 to $149,999","8,480","(+/-1,526)"
Housing,Value,"$150,000 to $199,999","8,476","(+/-1,448)"
Housing,Value,"$200,000 to $299,999","33,717","(+/-2,355)"
Housing,Value,"$300,000 to $499,999","71,721","(+/-3,765)"
Housing,Value,"$500,000 to $999,999","36,939","(+/-2,881)"
Housing,Value,"$1,000,000 or more","3,907","(+/-1,013)"
