Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population","804,256","(+/-22,081)","833,298","(+/-6,866)","814,391","(+/-24,226)","814,381","(+/-17,786)","857,744","(+/-16,572)","813,933","(+/-16,423)","811,832","(+/-17,054)","800,203","(+/-19,470)","881,306","(+/-12,542)"
People,"Sex and Age",Male,"393,913","(+/-13,714)","414,885","(+/-4,220)","413,031","(+/-13,228)","409,910","(+/-10,555)","429,964","(+/-10,750)","408,380","(+/-8,899)","406,609","(+/-10,960)","390,821","(+/-12,667)","441,159","(+/-8,160)"
People,"Sex and Age",Female,"410,343","(+/-11,988)","418,413","(+/-4,978)","401,360","(+/-14,073)","404,471","(+/-11,087)","427,780","(+/-9,966)","405,553","(+/-9,773)","405,223","(+/-9,337)","409,382","(+/-10,756)","440,147","(+/-9,048)"
People,"Sex and Age","Under 5 years","35,970","(+/-3,494)","38,074","(+/-2,029)","52,249","(+/-4,450)","41,034","(+/-4,599)","50,388","(+/-4,313)","34,470","(+/-3,134)","47,292","(+/-3,933)","40,609","(+/-4,461)","51,056","(+/-5,054)"
People,"Sex and Age","5 to 9 years","40,870","(+/-4,879)","47,437","(+/-3,212)","54,489","(+/-5,244)","40,668","(+/-4,468)","62,413","(+/-5,322)","40,198","(+/-3,666)","54,437","(+/-4,182)","45,417","(+/-4,663)","49,794","(+/-4,665)"
People,"Sex and Age","10 to 14 years","36,827","(+/-5,151)","49,122","(+/-3,592)","63,690","(+/-5,304)","46,031","(+/-4,871)","62,091","(+/-4,213)","42,233","(+/-3,577)","55,011","(+/-4,755)","45,428","(+/-4,682)","54,073","(+/-4,549)"
People,"Sex and Age","15 to 19 years","41,206","(+/-4,487)","58,943","(+/-3,464)","69,140","(+/-5,330)","56,180","(+/-5,043)","62,806","(+/-5,248)","43,398","(+/-3,176)","68,572","(+/-3,381)","48,390","(+/-4,784)","52,487","(+/-4,584)"
People,"Sex and Age","20 to 24 years","43,410","(+/-6,012)","51,917","(+/-4,193)","72,311","(+/-5,639)","75,508","(+/-6,849)","43,025","(+/-4,158)","50,811","(+/-4,887)","70,165","(+/-5,256)","40,216","(+/-5,107)","51,234","(+/-4,353)"
People,"Sex and Age","25 to 34 years","121,538","(+/-7,776)","98,701","(+/-4,102)","140,057","(+/-7,286)","139,179","(+/-6,974)","104,080","(+/-6,002)","97,630","(+/-5,466)","120,920","(+/-6,372)","97,505","(+/-7,937)","107,378","(+/-6,947)"
People,"Sex and Age","35 to 44 years","105,226","(+/-8,153)","94,433","(+/-3,911)","109,462","(+/-6,525)","101,339","(+/-6,952)","130,069","(+/-6,414)","89,981","(+/-4,278)","106,316","(+/-4,786)","98,132","(+/-7,385)","107,370","(+/-6,468)"
People,"Sex and Age","45 to 54 years","95,090","(+/-5,886)","88,300","(+/-4,218)","100,750","(+/-6,658)","94,236","(+/-6,131)","113,899","(+/-7,078)","88,340","(+/-4,486)","86,542","(+/-5,363)","90,217","(+/-5,307)","105,491","(+/-6,400)"
People,"Sex and Age","55 to 59 years","53,418","(+/-4,364)","45,084","(+/-3,474)","44,204","(+/-4,351)","41,938","(+/-4,056)","42,235","(+/-3,682)","44,581","(+/-3,481)","44,761","(+/-3,570)","46,099","(+/-4,290)","50,191","(+/-4,215)"
