Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population","752,628","(+/-4,087)","774,027","(+/-6,136)","797,092","(+/-3,462)","743,985","(+/-7,239)"
People,"Sex and Age",Male,"375,271","(+/-3,382)","375,240","(+/-3,884)","395,604","(+/-2,831)","366,086","(+/-4,721)"
People,"Sex and Age",Female,"377,357","(+/-3,461)","398,787","(+/-4,131)","401,488","(+/-2,852)","377,899","(+/-5,013)"
People,"Sex and Age","Under 5 years","41,862","(+/-1,294)","44,715","(+/-1,452)","49,117","(+/-1,531)","41,214","(+/-2,002)"
People,"Sex and Age","5 to 9 years","44,672","(+/-3,816)","50,045","(+/-3,742)","54,323","(+/-2,724)","47,479","(+/-3,025)"
People,"Sex and Age","10 to 14 years","52,809","(+/-3,322)","48,227","(+/-3,470)","52,182","(+/-2,584)","44,554","(+/-3,591)"
People,"Sex and Age","15 to 19 years","53,649","(+/-2,896)","52,298","(+/-2,342)","59,837","(+/-2,278)","48,780","(+/-3,998)"
People,"Sex and Age","20 to 24 years","40,676","(+/-2,658)","54,747","(+/-2,878)","60,937","(+/-2,649)","47,355","(+/-3,219)"
People,"Sex and Age","25 to 34 years","92,398","(+/-2,604)","100,623","(+/-3,373)","110,774","(+/-2,328)","89,399","(+/-4,315)"
People,"Sex and Age","35 to 44 years","95,387","(+/-2,493)","100,618","(+/-2,874)","110,430","(+/-2,884)","92,744","(+/-3,963)"
People,"Sex and Age","45 to 54 years","89,368","(+/-2,760)","90,657","(+/-2,418)","94,611","(+/-2,488)","84,714","(+/-2,909)"
People,"Sex and Age","55 to 59 years","43,129","(+/-2,577)","44,321","(+/-2,492)","43,070","(+/-3,385)","45,015","(+/-2,733)"
People,"Sex and Age","60 to 64 years","53,951","(+/-2,755)","50,322","(+/-2,693)","43,227","(+/-3,286)","52,590","(+/-2,787)"
People,"Sex and Age","65 to 74 years","84,335","(+/-2,129)","80,597","(+/-1,697)","71,039","(+/-2,072)","85,259","(+/-2,129)"
People,"Sex and Age","75 to 84 years","46,243","(+/-2,051)","42,981","(+/-1,724)","35,863","(+/-1,677)","49,706","(+/-1,920)"
People,"Sex and Age","85 years and over","14,149","(+/-1,411)","13,876","(+/-1,596)","11,682","(+/-1,431)","15,176","(+/-1,671)"
People,"Sex and Age","Median age (years)",40.4,(+/-0.3),38.9,(+/-0.4),35.8,(+/-0.2),40.9,(+/-0.5)
People,"Sex and Age","18 years and over","580,698","(+/-3,535)","598,515","(+/-4,531)","606,956","(+/-2,559)","580,575","(+/-5,268)"
People,"Sex and Age","65 years and over","144,727","(+/-2,401)","137,454","(+/-1,885)","118,584","(+/-2,070)","150,141","(+/-2,497)"
People,Race,"Total population","752,628","(+/-4,087)","774,027","(+/-6,136)","797,092","(+/-3,462)","743,985","(+/-7,239)"
People,Race,"One race","702,075","(+/-6,360)","720,973","(+/-7,945)","601,949","(+/-11,501)","690,344","(+/-8,685)"
People,Race,White,"562,117","(+/-5,153)","527,635","(+/-4,283)","495,071","(+/-10,423)","527,320","(+/-6,328)"
People,Race,"Black or African American","119,445","(+/-3,727)","162,676","(+/-5,804)","19,552","(+/-1,937)","139,143","(+/-5,792)"
People,Race,"American Indian and Alaska Native","2,703",(+/-869),"2,293",(+/-663),"7,990","(+/-1,696)","4,627","(+/-1,635)"
People,Race,Asian,"5,623","(+/-1,360)","12,943","(+/-1,681)","27,865","(+/-1,707)","5,272","(+/-1,662)"
People,Race,"Native Hawaiian and Other Pacific Islander",985,(+/-843),338,(+/-272),"10,483",(+/-398),"2,498","(+/-1,424)"
People,Race,"Some other race","11,202","(+/-2,971)","15,088","(+/-3,194)","40,988","(+/-5,103)","11,484","(+/-2,436)"
People,Race,"Two or more races","50,553","(+/-5,032)","53,054","(+/-5,651)","195,143","(+/-11,130)","53,641","(+/-6,322)"
People,"Hispanic or Latino and Race","Total population","752,628","(+/-4,087)","774,027","(+/-6,136)","797,092","(+/-3,462)","743,985","(+/-7,239)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","32,717","(+/-1,871)","49,575","(+/-3,126)","139,389",(+/-727),"58,218","(+/-3,265)"
