Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE"
People,"Sex and Age","Total population","755,464","(+/-3,429)","743,918","(+/-7,978)","788,130","(+/-8,560)","761,543","(+/-7,574)","782,849","(+/-16,635)","747,786","(+/-16,346)","762,568","(+/-15,782)","752,009","(+/-9,402)","770,568","(+/-5,013)","746,449","(+/-9,766)","701,735","(+/-8,511)","734,171","(+/-5,115)","784,322","(+/-14,343)","725,962","(+/-8,314)","721,009","(+/-11,071)","748,899","(+/-14,783)","744,019","(+/-12,624)","743,048","(+/-17,338)","725,878","(+/-17,005)","794,847","(+/-15,671)","749,912","(+/-14,482)","774,942","(+/-12,642)","768,047","(+/-12,631)","761,285","(+/-6,122)","779,900","(+/-8,109)","739,517","(+/-8,500)","736,850","(+/-10,868)","746,863","(+/-13,086)","719,359","(+/-22,325)","745,825","(+/-14,051)","717,084","(+/-11,507)","760,602","(+/-18,302)","763,598","(+/-13,556)","714,948","(+/-21,766)","749,769","(+/-12,483)","742,266","(+/-15,894)","735,660","(+/-19,740)","723,495","(+/-13,063)","767,217","(+/-7,810)","755,867","(+/-11,084)","811,664","(+/-12,898)","711,011","(+/-14,838)","716,670","(+/-19,213)","737,874","(+/-16,814)","737,224","(+/-10,286)","746,079","(+/-9,151)","754,022","(+/-4,336)","740,583","(+/-15,411)","751,418","(+/-9,869)","781,251","(+/-19,138)","748,700","(+/-15,753)","740,517","(+/-16,286)"
People,"Sex and Age",Male,"377,219","(+/-3,856)","370,488","(+/-4,781)","388,114","(+/-5,967)","374,488","(+/-5,358)","387,921","(+/-10,024)","363,458","(+/-9,654)","379,544","(+/-9,474)","379,005","(+/-6,399)","385,575","(+/-3,386)","361,910","(+/-6,057)","360,807","(+/-4,788)","358,430","(+/-5,554)","399,257","(+/-9,669)","363,759","(+/-6,992)","361,348","(+/-6,230)","372,153","(+/-8,379)","383,826","(+/-8,584)","388,559","(+/-10,232)","360,423","(+/-10,144)","394,023","(+/-10,458)","384,233","(+/-8,182)","398,509","(+/-8,223)","384,572","(+/-8,232)","378,920","(+/-3,961)","388,244","(+/-6,156)","368,326","(+/-5,480)","364,090","(+/-8,282)","364,512","(+/-10,147)","365,991","(+/-13,413)","369,972","(+/-9,737)","355,488","(+/-8,181)","376,629","(+/-10,015)","381,514","(+/-7,492)","363,283","(+/-13,515)","373,328","(+/-7,662)","365,048","(+/-9,930)","360,615","(+/-11,852)","358,070","(+/-8,875)","386,090","(+/-7,362)","375,728","(+/-7,545)","415,109","(+/-7,199)","355,265","(+/-10,131)","347,928","(+/-10,797)","356,328","(+/-10,580)","364,528","(+/-7,081)","375,652","(+/-7,137)","365,990","(+/-5,616)","373,609","(+/-9,768)","383,549","(+/-7,733)","391,721","(+/-11,737)","377,791","(+/-9,571)","369,759","(+/-9,846)"
People,"Sex and Age",Female,"378,245","(+/-3,280)","373,430","(+/-5,495)","400,016","(+/-5,090)","387,055","(+/-6,578)","394,928","(+/-9,637)","384,328","(+/-9,045)","383,024","(+/-9,449)","373,004","(+/-6,251)","384,993","(+/-3,260)","384,539","(+/-6,825)","340,928","(+/-4,566)","375,741","(+/-5,711)","385,065","(+/-7,267)","362,203","(+/-5,732)","359,661","(+/-6,104)","376,746","(+/-9,425)","360,193","(+/-6,906)","354,489","(+/-9,635)","365,455","(+/-9,162)","400,824","(+/-8,407)","365,679","(+/-8,548)","376,433","(+/-6,811)","383,475","(+/-8,143)","382,365","(+/-4,427)","391,656","(+/-6,635)","371,191","(+/-4,932)","372,760","(+/-8,166)","382,351","(+/-7,720)","353,368","(+/-12,120)","375,853","(+/-8,815)","361,596","(+/-8,579)","383,973","(+/-11,456)","382,084","(+/-8,535)","351,665","(+/-12,013)","376,441","(+/-9,135)","377,218","(+/-8,994)","375,045","(+/-12,398)","365,425","(+/-8,169)","381,127","(+/-6,029)","380,139","(+/-7,858)","396,555","(+/-9,277)","355,746","(+/-9,456)","368,742","(+/-12,175)","381,546","(+/-11,205)","372,696","(+/-7,540)","370,427","(+/-7,069)","388,032","(+/-5,740)","366,974","(+/-9,780)","367,869","(+/-7,733)","389,530","(+/-10,939)","370,909","(+/-9,508)","370,758","(+/-9,676)"
People,"Sex and Age","Under 5 years","41,108","(+/-1,777)","34,058","(+/-1,821)","36,899","(+/-2,278)","35,719","(+/-2,488)","38,502","(+/-3,535)","46,172","(+/-3,257)","41,001","(+/-3,106)","41,205","(+/-2,731)","48,761","(+/-1,876)","38,854","(+/-2,599)","26,291","(+/-1,856)","35,212","(+/-2,745)","55,698","(+/-3,590)","39,353","(+/-2,884)","34,820","(+/-2,420)","39,840","(+/-3,438)","36,901","(+/-3,308)","45,911","(+/-3,421)","30,539","(+/-2,840)","56,464","(+/-4,231)","51,345","(+/-3,549)","54,735","(+/-2,998)","46,097","(+/-3,824)","40,436","(+/-1,911)","47,260","(+/-4,489)","38,217","(+/-2,069)","42,852","(+/-4,805)","31,708","(+/-3,800)","38,146","(+/-4,053)","29,620","(+/-3,907)","40,347","(+/-3,177)","38,367","(+/-4,014)","50,056","(+/-3,835)","30,903","(+/-3,619)","43,567","(+/-4,560)","30,369","(+/-4,250)","38,845","(+/-3,910)","35,389","(+/-5,110)","46,477","(+/-3,708)","44,434","(+/-4,035)","41,821","(+/-3,894)","32,416","(+/-3,548)","41,916","(+/-3,851)","36,831","(+/-3,790)","34,965","(+/-3,154)","35,688","(+/-3,575)","36,139","(+/-3,991)","43,784","(+/-4,486)","38,733","(+/-4,513)","33,670","(+/-3,695)","44,819","(+/-3,731)","43,560","(+/-4,391)"
People,"Sex and Age","5 to 9 years","46,335","(+/-3,418)","39,424","(+/-3,007)","43,170","(+/-2,838)","39,674","(+/-3,246)","44,056","(+/-3,704)","47,300","(+/-4,421)","43,739","(+/-4,229)","41,222","(+/-3,408)","48,766","(+/-3,402)","43,274","(+/-3,277)","23,371","(+/-2,281)","31,069","(+/-3,153)","60,762","(+/-3,939)","42,843","(+/-3,783)","33,486","(+/-3,114)","42,975","(+/-3,728)","37,193","(+/-3,378)","50,826","(+/-3,828)","37,117","(+/-3,409)","52,254","(+/-4,450)","57,714","(+/-3,523)","59,081","(+/-3,466)","51,128","(+/-5,046)","41,151","(+/-3,342)","53,002","(+/-4,266)","45,826","(+/-3,300)","49,751","(+/-4,654)","39,388","(+/-3,927)","39,428","(+/-3,872)","27,196","(+/-3,151)","37,326","(+/-3,526)","37,465","(+/-4,350)","56,545","(+/-5,217)","36,524","(+/-3,939)","49,926","(+/-4,321)","33,716","(+/-4,359)","39,515","(+/-4,801)","43,668","(+/-4,960)","50,244","(+/-4,440)","43,021","(+/-4,700)","49,569","(+/-4,376)","37,515","(+/-4,202)","41,614","(+/-4,035)","46,278","(+/-4,631)","36,486","(+/-3,588)","40,988","(+/-3,929)","36,375","(+/-4,379)","46,887","(+/-4,247)","41,737","(+/-4,263)","31,903","(+/-3,435)","45,216","(+/-4,252)","48,156","(+/-5,035)"
People,"Sex and Age","10 to 14 years","51,257","(+/-3,417)","41,741","(+/-2,812)","51,001","(+/-3,336)","44,827","(+/-3,845)","53,838","(+/-4,833)","47,327","(+/-3,566)","52,243","(+/-4,326)","45,940","(+/-3,650)","63,555","(+/-3,262)","51,760","(+/-3,914)","25,076","(+/-2,618)","36,118","(+/-2,842)","66,720","(+/-4,662)","47,501","(+/-3,849)","40,916","(+/-2,968)","49,253","(+/-4,039)","38,356","(+/-3,534)","50,754","(+/-3,894)","37,836","(+/-4,158)","65,061","(+/-5,179)","66,597","(+/-4,741)","76,076","(+/-3,951)","60,585","(+/-5,367)","40,973","(+/-3,537)","58,636","(+/-4,219)","48,784","(+/-3,349)","57,616","(+/-6,183)","41,597","(+/-3,861)","47,947","(+/-4,574)","32,294","(+/-3,157)","46,245","(+/-3,605)","42,661","(+/-4,753)","60,895","(+/-4,889)","40,415","(+/-4,096)","54,185","(+/-4,823)","39,433","(+/-4,350)","42,710","(+/-4,104)","45,576","(+/-4,273)","53,086","(+/-4,291)","42,381","(+/-4,101)","53,767","(+/-5,262)","42,787","(+/-3,735)","48,233","(+/-4,194)","50,058","(+/-4,854)","53,384","(+/-4,888)","50,710","(+/-4,220)","49,078","(+/-4,350)","52,574","(+/-4,732)","43,406","(+/-4,275)","41,580","(+/-4,101)","36,892","(+/-3,854)","53,048","(+/-4,308)"
People,"Sex and Age","15 to 19 years","54,776","(+/-3,238)","45,514","(+/-2,922)","44,396","(+/-2,484)","53,247","(+/-3,020)","51,342","(+/-3,890)","43,829","(+/-3,635)","55,857","(+/-4,368)","48,473","(+/-3,250)","58,350","(+/-1,959)","46,797","(+/-2,740)","26,946","(+/-1,398)","44,497","(+/-2,684)","65,944","(+/-3,176)","42,990","(+/-2,834)","38,696","(+/-2,070)","51,260","(+/-3,514)","38,447","(+/-3,026)","61,673","(+/-3,220)","54,671","(+/-4,144)","55,746","(+/-4,035)","62,659","(+/-3,070)","70,231","(+/-3,281)","55,514","(+/-4,026)","65,290","(+/-2,780)","57,034","(+/-3,791)","49,527","(+/-2,300)","55,224","(+/-5,066)","46,633","(+/-3,879)","46,971","(+/-3,914)","29,761","(+/-3,197)","44,769","(+/-3,365)","36,919","(+/-3,277)","60,847","(+/-4,337)","39,593","(+/-3,219)","50,982","(+/-3,733)","48,012","(+/-4,779)","57,477","(+/-4,243)","45,757","(+/-3,661)","67,381","(+/-3,656)","44,791","(+/-3,815)","51,460","(+/-3,649)","52,190","(+/-4,180)","49,316","(+/-4,192)","47,689","(+/-3,947)","49,454","(+/-3,590)","51,274","(+/-4,010)","52,395","(+/-3,573)","46,479","(+/-3,965)","49,578","(+/-4,425)","50,759","(+/-3,353)","48,699","(+/-4,016)","46,824","(+/-4,046)"
People,"Sex and Age","20 to 24 years","54,443","(+/-3,013)","38,325","(+/-2,489)","37,079","(+/-2,871)","64,081","(+/-3,423)","39,396","(+/-3,762)","42,456","(+/-3,107)","51,228","(+/-3,208)","48,833","(+/-3,007)","49,946","(+/-1,714)","38,464","(+/-2,475)","34,332","(+/-1,371)","51,961","(+/-3,273)","60,756","(+/-3,044)","30,370","(+/-3,140)","37,996","(+/-2,164)","39,153","(+/-3,556)","45,698","(+/-3,668)","55,412","(+/-4,765)","51,678","(+/-3,867)","46,246","(+/-3,880)","54,422","(+/-3,716)","61,467","(+/-3,232)","56,181","(+/-4,037)","70,906","(+/-2,927)","52,033","(+/-4,365)","47,246","(+/-1,743)","40,710","(+/-3,244)","35,977","(+/-3,714)","46,316","(+/-4,237)","37,715","(+/-4,497)","44,635","(+/-3,936)","44,304","(+/-5,202)","52,612","(+/-3,948)","48,715","(+/-4,053)","49,110","(+/-4,415)","49,275","(+/-4,463)","62,954","(+/-5,089)","41,185","(+/-3,986)","64,031","(+/-3,976)","39,389","(+/-3,515)","45,241","(+/-4,425)","52,280","(+/-5,630)","48,742","(+/-3,838)","50,346","(+/-4,037)","40,932","(+/-3,738)","60,359","(+/-3,972)","51,135","(+/-3,656)","34,616","(+/-4,349)","52,898","(+/-5,114)","60,747","(+/-4,949)","50,735","(+/-4,964)","50,233","(+/-3,542)"
People,"Sex and Age","25 to 34 years","95,873","(+/-3,031)","77,122","(+/-3,514)","83,557","(+/-4,167)","97,236","(+/-4,216)","96,132","(+/-5,405)","118,311","(+/-5,988)","110,346","(+/-5,466)","106,112","(+/-4,506)","106,276","(+/-2,408)","81,430","(+/-4,878)","146,709","(+/-2,397)","122,074","(+/-5,305)","109,858","(+/-4,499)","97,636","(+/-5,352)","102,900","(+/-3,004)","99,633","(+/-4,994)","140,969","(+/-5,744)","106,914","(+/-5,629)","84,679","(+/-4,573)","113,510","(+/-5,825)","111,917","(+/-4,362)","117,630","(+/-4,515)","110,303","(+/-6,999)","97,800","(+/-3,732)","106,005","(+/-5,293)","91,569","(+/-3,392)","89,682","(+/-6,088)","98,646","(+/-4,895)","125,535","(+/-7,502)","145,332","(+/-7,724)","100,880","(+/-6,408)","113,993","(+/-7,882)","116,084","(+/-5,905)","133,696","(+/-6,575)","124,535","(+/-6,979)","113,361","(+/-7,417)","123,775","(+/-6,560)","98,766","(+/-5,613)","124,502","(+/-6,565)","88,839","(+/-5,852)","98,566","(+/-6,182)","117,936","(+/-6,941)","111,217","(+/-6,530)","107,918","(+/-6,110)","100,405","(+/-6,045)","125,280","(+/-6,377)","108,767","(+/-6,255)","91,259","(+/-7,368)","96,630","(+/-6,204)","141,323","(+/-8,590)","128,031","(+/-7,703)","113,170","(+/-5,921)"
People,"Sex and Age","35 to 44 years","96,509","(+/-3,169)","96,569","(+/-3,421)","108,269","(+/-3,508)","97,397","(+/-3,501)","99,168","(+/-5,358)","107,053","(+/-5,273)","114,345","(+/-4,866)","108,676","(+/-4,245)","108,143","(+/-2,126)","108,651","(+/-4,237)","116,997","(+/-2,326)","117,650","(+/-4,792)","108,104","(+/-3,906)","112,415","(+/-4,634)","107,269","(+/-3,451)","102,800","(+/-5,552)","115,987","(+/-5,690)","105,981","(+/-5,217)","90,212","(+/-5,198)","111,470","(+/-4,820)","104,200","(+/-4,715)","105,519","(+/-4,753)","103,800","(+/-5,057)","91,006","(+/-2,918)","99,560","(+/-5,334)","96,558","(+/-3,744)","99,837","(+/-5,907)","95,850","(+/-5,086)","103,774","(+/-6,411)","128,874","(+/-7,074)","95,753","(+/-5,628)","107,153","(+/-5,581)","104,797","(+/-4,879)","117,528","(+/-6,937)","113,991","(+/-6,715)","101,679","(+/-6,959)","108,303","(+/-6,897)","95,616","(+/-5,492)","103,286","(+/-5,667)","99,827","(+/-5,955)","111,356","(+/-5,873)","93,287","(+/-5,121)","99,083","(+/-6,302)","106,150","(+/-6,083)","87,465","(+/-4,684)","105,282","(+/-4,918)","107,766","(+/-5,958)","109,719","(+/-6,274)","90,083","(+/-5,784)","114,853","(+/-5,310)","113,475","(+/-6,346)","111,215","(+/-5,706)"
