Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population","716,454","(+/-10,360)","730,400","(+/-9,295)","726,058","(+/-6,916)","721,814","(+/-6,448)","722,450","(+/-10,707)"
People,"Sex and Age",Male,"349,882","(+/-6,643)","365,622","(+/-5,778)","352,106","(+/-5,070)","350,907","(+/-4,553)","357,201","(+/-7,886)"
People,"Sex and Age",Female,"366,572","(+/-6,413)","364,778","(+/-5,688)","373,952","(+/-4,814)","370,907","(+/-4,361)","365,249","(+/-7,238)"
People,"Sex and Age","Under 5 years","34,503","(+/-3,174)","32,713","(+/-2,420)","35,353","(+/-2,256)","39,772","(+/-2,310)","38,220","(+/-3,744)"
People,"Sex and Age","5 to 9 years","36,183","(+/-3,860)","36,743","(+/-3,093)","35,782","(+/-3,640)","45,456","(+/-3,461)","42,015","(+/-4,237)"
People,"Sex and Age","10 to 14 years","42,023","(+/-3,784)","38,629","(+/-2,577)","40,456","(+/-4,007)","42,742","(+/-2,691)","43,416","(+/-5,483)"
People,"Sex and Age","15 to 19 years","46,985","(+/-3,434)","47,433","(+/-2,795)","47,178","(+/-2,678)","51,301","(+/-3,103)","48,134","(+/-4,214)"
People,"Sex and Age","20 to 24 years","46,144","(+/-3,598)","52,773","(+/-3,085)","49,152","(+/-2,699)","41,820","(+/-2,189)","42,328","(+/-3,518)"
People,"Sex and Age","25 to 34 years","98,805","(+/-4,339)","83,997","(+/-4,095)","94,822","(+/-3,749)","85,834","(+/-3,618)","87,009","(+/-5,695)"
People,"Sex and Age","35 to 44 years","92,180","(+/-4,294)","94,198","(+/-4,126)","91,075","(+/-3,568)","92,503","(+/-3,067)","99,458","(+/-5,572)"
People,"Sex and Age","45 to 54 years","89,980","(+/-3,560)","83,915","(+/-3,336)","87,856","(+/-3,627)","94,165","(+/-3,627)","85,723","(+/-5,020)"
People,"Sex and Age","55 to 59 years","46,622","(+/-3,487)","53,204","(+/-3,884)","46,736","(+/-3,888)","49,648","(+/-2,960)","46,735","(+/-3,736)"
People,"Sex and Age","60 to 64 years","45,557","(+/-3,400)","57,712","(+/-3,798)","54,723","(+/-3,523)","53,068","(+/-3,601)","54,366","(+/-3,742)"
People,"Sex and Age","65 to 74 years","77,970","(+/-3,519)","87,378","(+/-3,272)","79,290","(+/-2,808)","69,141","(+/-2,724)","81,144","(+/-4,553)"
People,"Sex and Age","75 to 84 years","41,695","(+/-2,493)","45,821","(+/-2,806)","45,318","(+/-2,660)","40,993","(+/-2,223)","40,426","(+/-3,058)"
People,"Sex and Age","85 years and over","17,807","(+/-1,991)","15,884","(+/-1,814)","18,317","(+/-2,091)","15,371","(+/-1,661)","13,476","(+/-1,921)"
