Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population","1,031,890",(*****)
People,"Sex and Age",Male,"498,994","(+/-1,839)"
People,"Sex and Age",Female,"532,896","(+/-1,839)"
People,"Sex and Age","Under 5 years","54,398",(+/-312)
People,"Sex and Age","5 to 9 years","55,381","(+/-3,692)"
People,"Sex and Age","10 to 14 years","63,821","(+/-3,715)"
People,"Sex and Age","15 to 19 years","65,460","(+/-1,500)"
People,"Sex and Age","20 to 24 years","61,403","(+/-1,614)"
People,"Sex and Age","25 to 34 years","124,961","(+/-1,246)"
People,"Sex and Age","35 to 44 years","128,689","(+/-1,434)"
People,"Sex and Age","45 to 54 years","115,314","(+/-1,291)"
People,"Sex and Age","55 to 59 years","65,582","(+/-3,288)"
People,"Sex and Age","60 to 64 years","76,924","(+/-3,143)"
People,"Sex and Age","65 to 74 years","132,870","(+/-1,131)"
People,"Sex and Age","75 to 84 years","65,556","(+/-2,199)"
People,"Sex and Age","85 years and over","21,531","(+/-2,205)"
People,"Sex and Age","Median age (years)",42.0,(+/-0.3)
People,"Sex and Age","18 years and over","819,965",(+/-92)
People,"Sex and Age","65 years and over","219,957",(+/-899)
People,Race,"Total population","1,031,890",(*****)
People,Race,"One race","947,577","(+/-8,417)"
People,Race,White,"612,368","(+/-3,909)"
People,Race,"Black or African American","232,161","(+/-5,947)"
People,Race,"American Indian and Alaska Native","5,247","(+/-2,901)"
People,Race,Asian,"44,464","(+/-1,767)"
People,Race,"Native Hawaiian and Other Pacific Islander",287,(+/-343)
People,Race,"Some other race","53,050","(+/-6,286)"
People,Race,"Two or more races","84,313","(+/-8,417)"
People,"Hispanic or Latino and Race","Total population","1,031,890",(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","114,623",(*****)
People,"Hispanic or Latino and Race",Mexican,"36,954","(+/-5,686)"
People,"Hispanic or Latino and Race","Puerto Rican","30,955","(+/-4,484)"
People,"Hispanic or Latino and Race",Cuban,"2,455","(+/-1,217)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","44,259","(+/-5,823)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","917,267",(*****)
People,"Place of Birth","Total population","1,031,890",(*****)
