Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population","678,972",(*****)
People,"Sex and Age",Male,"321,590",(+/-265)
People,"Sex and Age",Female,"357,382",(+/-265)
People,"Sex and Age","Under 5 years","38,512",(+/-5)
People,"Sex and Age","5 to 9 years","36,388","(+/-3,956)"
People,"Sex and Age","10 to 14 years","34,113","(+/-3,949)"
People,"Sex and Age","15 to 19 years","36,112","(+/-1,776)"
People,"Sex and Age","20 to 24 years","50,928","(+/-1,830)"
People,"Sex and Age","25 to 34 years","144,710",(+/-784)
People,"Sex and Age","35 to 44 years","114,104",(+/-275)
People,"Sex and Age","45 to 54 years","71,869",(+/-107)
People,"Sex and Age","55 to 59 years","32,059","(+/-2,795)"
People,"Sex and Age","60 to 64 years","31,181","(+/-2,768)"
People,"Sex and Age","65 to 74 years","51,071",(+/-700)
People,"Sex and Age","75 to 84 years","28,985","(+/-1,526)"
People,"Sex and Age","85 years and over","8,940","(+/-1,421)"
People,"Sex and Age","Median age (years)",34.9,(+/-0.1)
People,"Sex and Age","18 years and over","552,446",(+/-197)
People,"Sex and Age","65 years and over","88,996",(+/-391)
People,Race,"Total population","678,972",(*****)
People,Race,"One race","606,259","(+/-7,025)"
People,Race,White,"263,399","(+/-2,506)"
People,Race,"Black or African American","277,432","(+/-6,534)"
People,Race,"American Indian and Alaska Native","1,636",(+/-594)
People,Race,Asian,"28,224","(+/-1,330)"
People,Race,"Native Hawaiian and Other Pacific Islander",724,(+/-553)
People,Race,"Some other race","34,844","(+/-6,458)"
People,Race,"Two or more races","72,713","(+/-7,025)"
People,"Hispanic or Latino and Race","Total population","678,972",(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","81,458",(*****)
People,"Hispanic or Latino and Race",Mexican,"16,334","(+/-4,003)"
People,"Hispanic or Latino and Race","Puerto Rican","3,879","(+/-1,307)"
People,"Hispanic or Latino and Race",Cuban,"2,993","(+/-1,377)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","58,252","(+/-4,057)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","597,514",(*****)
People,"Place of Birth","Total population","678,972",(*****)
People,"Place of Birth",Native,"583,537","(+/-6,706)"
People,"Place of Birth","Born in United States","565,717","(+/-6,951)"
People,"Place of Birth","State of residence","226,616","(+/-9,252)"
People,"Place of Birth","Different state","339,101","(+/-7,222)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","17,820","(+/-3,583)"
People,"Place of Birth","Foreign born","95,435","(+/-6,706)"
People,Ancestry,"Total population","678,972",(*****)
People,Ancestry,American,"19,305","(+/-3,054)"
People,Ancestry,Arab,"7,613","(+/-2,033)"
People,Ancestry,Czech,"2,286",(+/-780)
People,Ancestry,Danish,"2,222",(+/-832)
People,Ancestry,Dutch,"3,712",(+/-959)
People,Ancestry,English,"49,027","(+/-3,818)"
People,Ancestry,"French (except Basque)","12,502","(+/-2,005)"
People,Ancestry,"French Canadian","2,779",(+/-997)
People,Ancestry,German,"53,173","(+/-4,625)"
People,Ancestry,Greek,"3,562","(+/-1,340)"
People,Ancestry,Hungarian,"2,275",(+/-739)
People,Ancestry,Irish,"57,697","(+/-4,805)"
People,Ancestry,Italian,"34,396","(+/-4,447)"
People,Ancestry,Lithuanian,"1,818",(+/-529)
People,Ancestry,Norwegian,"4,661","(+/-1,302)"
People,Ancestry,Polish,"14,957","(+/-2,334)"
People,Ancestry,Portuguese,"3,751","(+/-2,153)"
People,Ancestry,Russian,"6,831","(+/-1,457)"
People,Ancestry,Scotch-Irish,"2,598",(+/-906)
People,Ancestry,Scottish,"12,298","(+/-3,922)"
People,Ancestry,Slovak,"1,347",(+/-553)
People,Ancestry,"Subsaharan African","28,434","(+/-5,793)"
People,Ancestry,Swedish,"5,516","(+/-1,296)"
People,Ancestry,Swiss,"1,781",(+/-695)
People,Ancestry,Ukrainian,"4,424","(+/-1,236)"
People,Ancestry,Welsh,"2,437",(+/-874)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","12,828","(+/-2,938)"
People,"Veteran Status","Civilian population 18 years and over","548,266",(+/-907)
People,"Veteran Status","Civilian veterans","17,445","(+/-2,645)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","669,458",(+/-876)
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","78,181","(+/-7,076)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","126,220",(+/-196)
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","5,742","(+/-2,420)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","456,516","(+/-1,016)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","43,256","(+/-5,013)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","86,722",(+/-390)
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","29,183","(+/-2,487)"
People,"Residence 1 Year Ago","Population 1 year and over","670,127","(+/-1,769)"
People,"Residence 1 Year Ago","Same house","529,715","(+/-12,053)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","140,412","(+/-12,029)"
People,"Residence 1 Year Ago","Different house in the U.S.","127,804","(+/-11,582)"
People,"Residence 1 Year Ago","Same county","70,944","(+/-10,504)"
People,"Residence 1 Year Ago","Different county","56,860","(+/-5,761)"
People,"Residence 1 Year Ago","Same state",0,(+/-244)
People,"Residence 1 Year Ago","Different state","56,860","(+/-5,761)"
People,"Residence 1 Year Ago",Abroad,"12,608","(+/-2,523)"
Workers,"Employment Status","Population 16 years and over","564,543","(+/-1,612)"
Workers,"Employment Status","In labor force","410,840","(+/-6,721)"
Workers,"Employment Status","Civilian labor force","406,660","(+/-6,670)"
Workers,"Employment Status",Employed,"385,274","(+/-6,981)"
Workers,"Employment Status",Unemployed,"21,386","(+/-3,245)"
Workers,"Employment Status","Armed Forces","4,180",(+/-876)
Workers,"Employment Status","Not in labor force","153,703","(+/-6,924)"
Workers,"Employment Status","Civilian labor force","406,660","(+/-6,670)"
Workers,"Employment Status","Unemployment Rate",5.3,(+/-0.8)
Workers,"Commuting to Work","Workers 16 years and over","383,558","(+/-7,194)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","109,637","(+/-6,510)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","15,914","(+/-2,608)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","87,848","(+/-5,184)"
Workers,"Commuting to Work",Walked,"43,267","(+/-4,201)"
Workers,"Commuting to Work","Other means","22,266","(+/-2,910)"
Workers,"Commuting to Work","Worked from home","104,626","(+/-6,425)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",30.4,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","385,274","(+/-6,981)"
Workers,Occupation,"Management, business, science, and arts occupations","280,424","(+/-7,549)"
Workers,Occupation,"Service occupations","47,497","(+/-4,939)"
Workers,Occupation,"Sales and office occupations","42,183","(+/-3,400)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","4,982","(+/-1,490)"
Workers,Occupation,"Production, transportation, and material moving occupations","10,188","(+/-2,505)"
Workers,Industry,"Civilian employed population 16 years and over","385,274","(+/-6,981)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",381,(+/-263)
Workers,Industry,Construction,"8,409","(+/-1,907)"
Workers,Industry,Manufacturing,"6,266","(+/-1,551)"
Workers,Industry,"Wholesale trade","2,142","(+/-1,313)"
Workers,Industry,"Retail trade","13,938","(+/-3,102)"
Workers,Industry,"Transportation and warehousing, and utilities","7,695","(+/-1,897)"
Workers,Industry,Information,"11,263","(+/-1,829)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","24,366","(+/-3,290)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","100,964","(+/-5,751)"
Workers,Industry,"Educational services, and health care and social assistance","70,856","(+/-4,997)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","30,955","(+/-3,707)"
Workers,Industry,"Other services, except public administration","36,348","(+/-3,642)"
Workers,Industry,"Public administration","71,691","(+/-6,043)"
Workers,"Class of Worker","Civilian employed population 16 years and over","385,274","(+/-6,981)"
Workers,"Class of Worker","Private wage and salary workers","265,873","(+/-8,497)"
Workers,"Class of Worker","Government workers","104,315","(+/-7,253)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","14,924","(+/-2,590)"
Workers,"Class of Worker","Unpaid family workers",162,(+/-160)
Housing,"Housing Occupancy","Total housing units","367,125",(+/-69)
Housing,"Housing Occupancy","Occupied housing units","334,673","(+/-3,520)"
Housing,"Housing Occupancy","Vacant housing units","32,452","(+/-3,511)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.8,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",4.7,(+/-1.0)
Housing,"Housing Tenure","Occupied housing units","334,673","(+/-3,520)"
Housing,"Housing Tenure",Owner-occupied,"130,934","(+/-4,679)"
Housing,"Housing Tenure",Renter-occupied,"203,739","(+/-5,012)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.21,(+/-0.06)
Housing,"Housing Tenure","Average household size of renter-occupied unit",1.73,(+/-0.04)
Housing,"Year Householder Moved into Unit","Occupied housing units","334,673","(+/-3,520)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","137,869","(+/-5,556)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","62,926","(+/-4,538)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","61,595","(+/-4,314)"
