Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE"
People,"Sex and Age","Total population","803,679","(+/-4,265)","799,012","(+/-4,592)","807,523","(+/-11,123)","811,996","(+/-14,828)","837,211","(+/-14,540)","821,498","(+/-16,070)","802,027","(+/-6,012)","817,216","(+/-1,980)","842,005","(+/-20,269)","784,303","(+/-20,232)","843,676","(+/-17,612)","843,806","(+/-8,875)","767,679","(+/-7,868)","784,928","(+/-20,740)","828,431","(+/-24,595)","850,603","(+/-18,973)","851,634","(+/-9,279)","853,391","(+/-15,411)","809,197","(+/-12,201)","803,297","(+/-17,214)","820,276","(+/-9,525)","773,713","(+/-14,492)","780,374","(+/-16,413)","772,726","(+/-17,019)","779,002","(+/-10,353)","809,482","(+/-15,020)","746,930","(+/-17,819)","765,111","(+/-17,620)"
People,"Sex and Age",Male,"406,009","(+/-3,948)","398,171","(+/-3,390)","403,091","(+/-6,851)","396,915","(+/-8,606)","407,117","(+/-8,824)","402,934","(+/-9,274)","391,182","(+/-3,930)","401,667","(+/-1,816)","410,267","(+/-10,051)","389,820","(+/-10,712)","413,899","(+/-10,715)","410,062","(+/-5,999)","373,929","(+/-4,756)","386,982","(+/-11,872)","413,340","(+/-14,185)","411,110","(+/-10,840)","413,094","(+/-6,151)","425,690","(+/-8,324)","397,129","(+/-7,086)","394,785","(+/-11,413)","406,920","(+/-6,619)","375,715","(+/-9,609)","380,959","(+/-10,284)","377,360","(+/-9,969)","380,916","(+/-7,758)","403,057","(+/-9,797)","361,225","(+/-10,222)","383,230","(+/-9,975)"
People,"Sex and Age",Female,"397,670","(+/-3,008)","400,841","(+/-3,364)","404,432","(+/-6,158)","415,081","(+/-8,887)","430,094","(+/-8,065)","418,564","(+/-10,013)","410,845","(+/-4,983)","415,549","(+/-2,571)","431,738","(+/-12,988)","394,483","(+/-12,067)","429,777","(+/-10,067)","433,744","(+/-5,569)","393,750","(+/-4,789)","397,946","(+/-11,960)","415,091","(+/-13,307)","439,493","(+/-10,676)","438,540","(+/-5,656)","427,701","(+/-8,587)","412,068","(+/-7,278)","408,512","(+/-10,483)","413,356","(+/-5,098)","397,998","(+/-7,750)","399,415","(+/-11,291)","395,366","(+/-10,310)","398,086","(+/-8,373)","406,425","(+/-9,454)","385,705","(+/-9,999)","381,881","(+/-10,785)"
People,"Sex and Age","Under 5 years","44,487","(+/-1,418)","40,009","(+/-1,574)","39,728","(+/-1,988)","49,348","(+/-4,853)","45,046","(+/-4,929)","34,581","(+/-2,760)","38,206","(+/-1,954)","34,186",(+/-433),"48,541","(+/-4,628)","42,574","(+/-4,089)","40,166","(+/-3,761)","35,950","(+/-2,101)","28,935","(+/-1,907)","38,803","(+/-4,011)","51,394","(+/-4,626)","41,064","(+/-3,713)","30,930","(+/-2,029)","43,996","(+/-2,744)","29,295","(+/-2,298)","46,822","(+/-5,294)","37,472","(+/-2,635)","38,899","(+/-3,713)","39,102","(+/-4,901)","46,025","(+/-4,496)","37,508","(+/-3,811)","40,616","(+/-3,348)","36,586","(+/-4,291)","42,001","(+/-3,745)"
People,"Sex and Age","5 to 9 years","46,587","(+/-3,160)","40,938","(+/-3,076)","38,708","(+/-4,439)","53,206","(+/-4,733)","52,346","(+/-4,906)","38,754","(+/-4,020)","41,476","(+/-3,452)","37,382","(+/-3,199)","53,317","(+/-4,786)","40,706","(+/-5,365)","42,753","(+/-4,550)","42,923","(+/-3,963)","28,882","(+/-2,798)","38,805","(+/-4,473)","51,760","(+/-5,723)","50,522","(+/-5,258)","36,141","(+/-3,523)","44,451","(+/-4,820)","31,085","(+/-3,391)","45,474","(+/-4,410)","41,978","(+/-3,270)","41,546","(+/-4,287)","46,024","(+/-5,459)","46,587","(+/-4,959)","40,243","(+/-4,677)","36,824","(+/-3,254)","35,886","(+/-4,155)","41,325","(+/-4,264)"
People,"Sex and Age","10 to 14 years","49,612","(+/-3,310)","45,566","(+/-3,165)","41,873","(+/-3,400)","49,060","(+/-4,176)","52,991","(+/-4,560)","45,216","(+/-3,796)","48,119","(+/-3,294)","43,347","(+/-3,257)","51,476","(+/-4,366)","47,251","(+/-5,202)","46,662","(+/-5,253)","44,476","(+/-3,611)","32,413","(+/-3,173)","39,489","(+/-4,685)","55,787","(+/-5,946)","52,227","(+/-5,623)","37,615","(+/-3,620)","57,927","(+/-4,905)","32,831","(+/-3,994)","49,760","(+/-6,083)","37,956","(+/-3,207)","37,893","(+/-3,800)","38,839","(+/-5,042)","53,494","(+/-4,361)","49,908","(+/-4,916)","43,307","(+/-3,326)","36,767","(+/-3,844)","44,346","(+/-4,141)"
People,"Sex and Age","15 to 19 years","53,652","(+/-2,368)","58,956","(+/-2,316)","59,510","(+/-4,081)","50,539","(+/-3,478)","52,835","(+/-3,647)","48,457","(+/-4,463)","45,146","(+/-2,499)","42,234","(+/-1,880)","53,377","(+/-3,427)","59,015","(+/-3,355)","42,640","(+/-4,298)","46,096","(+/-2,481)","34,788","(+/-2,315)","45,662","(+/-4,237)","58,254","(+/-3,672)","44,493","(+/-3,239)","37,856","(+/-3,029)","53,918","(+/-3,469)","40,221","(+/-2,244)","47,658","(+/-4,438)","44,432","(+/-3,268)","40,005","(+/-4,281)","37,674","(+/-4,295)","45,290","(+/-3,525)","50,336","(+/-3,733)","45,160","(+/-3,287)","39,506","(+/-3,860)","50,432","(+/-3,862)"
People,"Sex and Age","20 to 24 years","51,647","(+/-2,562)","66,825","(+/-2,234)","65,305","(+/-4,046)","45,289","(+/-3,400)","47,454","(+/-3,525)","45,485","(+/-4,400)","42,435","(+/-2,620)","40,474","(+/-1,787)","48,887","(+/-3,785)","69,267","(+/-4,082)","35,574","(+/-3,885)","40,184","(+/-2,521)","34,970","(+/-1,866)","41,618","(+/-3,964)","55,740","(+/-5,065)","44,194","(+/-3,803)","37,935","(+/-2,759)","52,936","(+/-3,114)","36,034","(+/-2,765)","49,967","(+/-4,364)","37,134","(+/-2,699)","34,970","(+/-3,915)","40,437","(+/-3,776)","41,433","(+/-3,302)","46,149","(+/-4,027)","45,744","(+/-3,338)","40,195","(+/-3,597)","47,325","(+/-3,949)"
People,"Sex and Age","25 to 34 years","110,513","(+/-3,054)","101,984","(+/-2,724)","101,675","(+/-4,747)","117,247","(+/-6,371)","112,429","(+/-6,122)","80,583","(+/-4,925)","106,772","(+/-3,108)","87,433","(+/-1,495)","128,657","(+/-6,273)","130,630","(+/-7,665)","90,650","(+/-6,061)","94,190","(+/-3,104)","88,627","(+/-3,540)","127,013","(+/-6,968)","112,075","(+/-7,328)","98,193","(+/-4,993)","72,455","(+/-3,106)","102,879","(+/-4,472)","79,371","(+/-3,114)","113,382","(+/-6,870)","87,823","(+/-4,438)","87,327","(+/-4,887)","83,699","(+/-5,675)","110,091","(+/-6,259)","96,822","(+/-5,957)","98,063","(+/-6,588)","102,802","(+/-6,573)","91,248","(+/-6,068)"
People,"Sex and Age","35 to 44 years","107,679","(+/-3,165)","100,706","(+/-3,034)","98,672","(+/-4,852)","104,743","(+/-4,949)","124,114","(+/-4,515)","86,006","(+/-4,463)","108,985","(+/-2,381)","93,467","(+/-1,796)","127,503","(+/-5,348)","111,050","(+/-5,586)","112,748","(+/-6,837)","100,268","(+/-3,940)","86,820","(+/-2,704)","112,522","(+/-5,952)","108,727","(+/-6,246)","109,990","(+/-6,433)","78,505","(+/-3,924)","117,938","(+/-4,190)","82,984","(+/-3,720)","105,855","(+/-5,497)","93,280","(+/-3,414)","92,699","(+/-4,929)","110,505","(+/-6,537)","109,527","(+/-6,340)","103,313","(+/-5,673)","103,776","(+/-4,836)","106,116","(+/-6,639)","103,100","(+/-5,751)"
People,"Sex and Age","45 to 54 years","92,130","(+/-2,812)","96,474","(+/-2,929)","85,768","(+/-4,194)","98,028","(+/-4,198)","103,382","(+/-4,364)","92,300","(+/-5,586)","101,530","(+/-2,937)","91,459","(+/-1,878)","114,288","(+/-5,312)","94,655","(+/-5,099)","101,996","(+/-6,276)","99,060","(+/-4,196)","91,300","(+/-3,151)","106,288","(+/-6,367)","98,721","(+/-6,154)","103,129","(+/-5,295)","91,018","(+/-3,488)","94,387","(+/-4,232)","83,472","(+/-3,908)","97,441","(+/-6,312)","96,057","(+/-4,090)","88,876","(+/-4,656)","99,474","(+/-7,087)","94,352","(+/-5,909)","114,881","(+/-6,025)","117,372","(+/-5,245)","103,086","(+/-5,772)","109,602","(+/-5,705)"
People,"Sex and Age","55 to 59 years","47,220","(+/-3,192)","50,186","(+/-2,962)","45,216","(+/-3,242)","51,284","(+/-4,241)","44,239","(+/-3,246)","49,829","(+/-4,195)","47,327","(+/-3,456)","55,481","(+/-3,513)","51,370","(+/-4,107)","41,918","(+/-3,870)","48,229","(+/-4,127)","55,938","(+/-3,960)","61,631","(+/-2,739)","50,060","(+/-4,095)","48,636","(+/-5,129)","49,421","(+/-3,611)","54,078","(+/-3,879)","45,792","(+/-3,165)","57,504","(+/-3,435)","55,453","(+/-4,729)","51,885","(+/-4,602)","47,730","(+/-3,244)","51,290","(+/-4,372)","46,418","(+/-3,312)","52,569","(+/-3,942)","59,008","(+/-4,101)","56,832","(+/-5,056)","53,116","(+/-4,013)"
People,"Sex and Age","60 to 64 years","57,026","(+/-3,076)","51,108","(+/-2,979)","56,987","(+/-3,784)","56,477","(+/-3,976)","57,144","(+/-3,757)","68,167","(+/-4,823)","59,886","(+/-4,332)","70,890","(+/-3,533)","44,631","(+/-4,204)","47,383","(+/-4,353)","60,113","(+/-4,194)","64,142","(+/-3,919)","65,660","(+/-2,704)","47,389","(+/-3,762)","48,926","(+/-3,693)","65,297","(+/-4,558)","72,786","(+/-3,742)","55,700","(+/-3,456)","64,223","(+/-3,766)","50,776","(+/-3,889)","64,100","(+/-4,445)","56,395","(+/-4,260)","57,160","(+/-4,776)","49,323","(+/-3,760)","51,551","(+/-4,614)","53,601","(+/-3,966)","49,000","(+/-3,851)","51,830","(+/-3,242)"
People,"Sex and Age","65 to 74 years","86,514","(+/-1,696)","87,433","(+/-1,810)","98,844","(+/-2,699)","82,025","(+/-2,893)","86,404","(+/-3,446)","129,894","(+/-4,307)","90,798","(+/-2,368)","121,142","(+/-1,121)","72,717","(+/-3,729)","58,486","(+/-3,993)","117,054","(+/-4,749)","117,904","(+/-2,573)","112,698","(+/-2,881)","78,416","(+/-4,418)","82,926","(+/-4,417)","103,312","(+/-3,619)","152,699","(+/-2,481)","99,088","(+/-3,255)","132,294","(+/-3,368)","79,484","(+/-4,573)","119,365","(+/-3,596)","95,483","(+/-4,143)","89,413","(+/-4,915)","76,796","(+/-4,595)","77,289","(+/-4,195)","88,246","(+/-5,013)","69,634","(+/-4,692)","75,164","(+/-4,493)"
People,"Sex and Age","75 to 84 years","43,167","(+/-2,021)","46,446","(+/-1,893)","56,280","(+/-2,838)","42,421","(+/-2,212)","46,073","(+/-2,382)","81,063","(+/-3,705)","53,759","(+/-2,743)","71,713","(+/-2,781)","37,224","(+/-3,310)","31,575","(+/-3,010)","85,961","(+/-4,046)","81,093","(+/-3,357)","74,699","(+/-2,616)","45,561","(+/-3,343)","42,426","(+/-3,412)","67,180","(+/-3,060)","112,320","(+/-4,015)","63,767","(+/-3,063)","104,902","(+/-4,597)","44,017","(+/-3,574)","82,809","(+/-3,305)","80,577","(+/-4,070)","64,925","(+/-4,483)","39,584","(+/-3,053)","44,635","(+/-3,795)","57,878","(+/-4,239)","46,972","(+/-3,355)","40,403","(+/-3,056)"
People,"Sex and Age","85 years and over","13,445","(+/-1,655)","12,381","(+/-1,566)","18,957","(+/-1,938)","12,329","(+/-1,631)","12,754","(+/-1,806)","21,163","(+/-2,355)","17,588","(+/-2,224)","28,008","(+/-2,700)","10,017","(+/-1,739)","9,793","(+/-1,698)","19,130","(+/-1,916)","21,582","(+/-2,404)","26,256","(+/-2,539)","13,302","(+/-2,215)","13,059","(+/-1,848)","21,581","(+/-2,428)","37,296","(+/-3,353)","20,612","(+/-2,127)","34,981","(+/-3,403)","17,208","(+/-2,252)","25,985","(+/-2,936)","31,313","(+/-3,330)","21,832","(+/-2,983)","13,806","(+/-2,164)","13,798","(+/-2,207)","19,887","(+/-3,352)","23,548","(+/-2,588)","15,219","(+/-2,070)"
