Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population","799,549","(+/-3,696)","757,219","(+/-8,571)","793,606","(+/-8,347)","764,506","(+/-10,655)","774,627","(+/-11,882)","797,492","(+/-9,651)","778,113","(+/-12,951)","778,270","(+/-7,756)","810,092","(+/-13,174)","833,978","(+/-9,499)","791,779","(+/-10,798)","779,898","(+/-4,033)","773,905","(+/-14,243)","796,193","(+/-7,923)"
People,"Sex and Age",Male,"393,902","(+/-4,193)","366,094","(+/-4,429)","387,540","(+/-5,568)","362,998","(+/-6,034)","372,124","(+/-7,864)","394,471","(+/-6,274)","380,630","(+/-7,856)","382,024","(+/-4,977)","400,097","(+/-7,679)","408,810","(+/-6,146)","386,371","(+/-6,899)","382,483","(+/-3,604)","364,768","(+/-8,561)","396,192","(+/-5,101)"
People,"Sex and Age",Female,"405,647","(+/-3,775)","391,125","(+/-6,067)","406,066","(+/-6,039)","401,508","(+/-6,599)","402,503","(+/-7,518)","403,021","(+/-6,025)","397,483","(+/-7,276)","396,246","(+/-5,341)","409,995","(+/-7,639)","425,168","(+/-6,288)","405,408","(+/-6,546)","397,415","(+/-2,950)","409,137","(+/-9,002)","400,001","(+/-4,608)"
People,"Sex and Age","Under 5 years","47,210","(+/-2,227)","43,008","(+/-2,456)","43,376","(+/-2,355)","46,802","(+/-2,494)","40,539","(+/-3,339)","41,904","(+/-2,754)","47,770","(+/-2,365)","44,535","(+/-2,952)","41,283","(+/-2,286)","45,569","(+/-2,939)","45,568","(+/-2,516)","44,130","(+/-1,804)","46,183","(+/-3,395)","43,873","(+/-1,904)"
People,"Sex and Age","5 to 9 years","48,909","(+/-3,491)","51,604","(+/-3,547)","51,694","(+/-3,914)","43,951","(+/-4,088)","38,934","(+/-4,099)","48,896","(+/-3,636)","53,986","(+/-3,968)","51,009","(+/-3,934)","50,537","(+/-4,481)","54,211","(+/-4,443)","44,192","(+/-3,136)","49,522","(+/-3,413)","51,626","(+/-4,899)","49,764","(+/-3,042)"
People,"Sex and Age","10 to 14 years","56,237","(+/-3,700)","51,882","(+/-3,652)","51,722","(+/-3,744)","55,374","(+/-4,040)","39,708","(+/-4,768)","60,965","(+/-3,639)","57,654","(+/-4,288)","54,464","(+/-4,758)","53,070","(+/-3,708)","53,658","(+/-4,502)","48,136","(+/-4,111)","50,764","(+/-3,149)","55,954","(+/-5,766)","56,732","(+/-3,494)"
People,"Sex and Age","15 to 19 years","49,251","(+/-2,462)","52,754","(+/-2,860)","51,357","(+/-3,579)","52,466","(+/-2,345)","51,710","(+/-4,276)","57,895","(+/-3,056)","56,500","(+/-3,035)","55,839","(+/-3,925)","59,218","(+/-3,073)","65,623","(+/-3,696)","56,212","(+/-3,197)","59,514","(+/-3,550)","53,287","(+/-4,078)","58,223","(+/-2,968)"
People,"Sex and Age","20 to 24 years","58,073","(+/-2,606)","51,226","(+/-3,375)","48,584","(+/-3,700)","44,821","(+/-2,821)","60,821","(+/-4,315)","38,923","(+/-3,341)","52,587","(+/-2,764)","53,161","(+/-3,138)","52,753","(+/-3,102)","66,406","(+/-3,248)","55,761","(+/-2,629)","59,826","(+/-3,199)","53,754","(+/-4,129)","47,658","(+/-2,676)"
People,"Sex and Age","25 to 34 years","118,933","(+/-5,039)","104,663","(+/-4,614)","96,868","(+/-4,511)","116,349","(+/-4,069)","152,037","(+/-6,298)","89,400","(+/-5,083)","104,615","(+/-4,095)","96,931","(+/-4,093)","89,779","(+/-4,290)","111,151","(+/-4,153)","117,323","(+/-3,616)","103,552","(+/-3,686)","112,225","(+/-6,199)","102,791","(+/-4,164)"
People,"Sex and Age","35 to 44 years","106,579","(+/-3,350)","94,599","(+/-4,590)","102,361","(+/-5,387)","108,437","(+/-3,912)","119,449","(+/-5,573)","114,651","(+/-4,561)","104,272","(+/-3,983)","105,808","(+/-4,552)","104,464","(+/-4,331)","107,340","(+/-4,266)","110,366","(+/-4,652)","101,378","(+/-3,757)","104,004","(+/-5,145)","103,208","(+/-3,419)"
People,"Sex and Age","45 to 54 years","89,695","(+/-3,453)","88,001","(+/-3,777)","104,219","(+/-3,677)","94,854","(+/-2,840)","91,182","(+/-4,684)","124,557","(+/-3,963)","109,277","(+/-3,978)","91,156","(+/-4,235)","105,110","(+/-4,251)","103,984","(+/-3,957)","104,428","(+/-3,916)","89,464","(+/-3,428)","105,970","(+/-5,635)","104,812","(+/-3,078)"
People,"Sex and Age","55 to 59 years","39,522","(+/-2,666)","46,285","(+/-2,584)","56,991","(+/-3,664)","45,277","(+/-3,670)","38,218","(+/-3,372)","52,580","(+/-3,143)","51,889","(+/-3,524)","43,132","(+/-3,174)","51,616","(+/-3,670)","47,683","(+/-2,754)","45,989","(+/-3,099)","45,668","(+/-3,257)","48,470","(+/-4,163)","54,102","(+/-3,189)"
People,"Sex and Age","60 to 64 years","51,592","(+/-2,861)","44,744","(+/-3,068)","48,782","(+/-3,591)","47,935","(+/-3,514)","39,401","(+/-2,977)","50,792","(+/-3,820)","45,336","(+/-3,356)","49,781","(+/-3,020)","55,397","(+/-3,303)","49,894","(+/-2,770)","46,685","(+/-3,669)","48,295","(+/-2,806)","43,767","(+/-4,510)","48,804","(+/-3,605)"
People,"Sex and Age","65 to 74 years","79,330","(+/-2,088)","77,485","(+/-2,472)","82,221","(+/-2,458)","67,060","(+/-2,283)","59,919","(+/-3,814)","69,504","(+/-3,319)","61,147","(+/-2,691)","78,313","(+/-2,756)","87,287","(+/-2,507)","78,662","(+/-2,584)","69,499","(+/-2,704)","79,786","(+/-1,688)","64,981","(+/-4,133)","75,870","(+/-2,146)"
People,"Sex and Age","75 to 84 years","41,509","(+/-2,214)","39,347","(+/-2,190)","43,619","(+/-2,500)","32,205","(+/-2,203)","34,419","(+/-2,879)","36,865","(+/-2,151)","25,985","(+/-1,711)","41,716","(+/-1,965)","48,094","(+/-2,314)","39,113","(+/-2,031)","37,133","(+/-1,775)","37,377","(+/-2,031)","25,823","(+/-2,257)","38,659","(+/-1,758)"
People,"Sex and Age","85 years and over","12,709","(+/-1,686)","11,621","(+/-1,656)","11,812","(+/-1,551)","8,975","(+/-1,365)","8,290","(+/-1,631)","10,560","(+/-1,492)","7,095","(+/-1,145)","12,425","(+/-1,877)","11,484","(+/-1,553)","10,684","(+/-1,574)","10,487","(+/-1,683)","10,622","(+/-1,651)","7,861","(+/-1,444)","11,697","(+/-1,249)"
People,"Sex and Age","Median age (years)",37.0,(+/-0.5),37.4,(+/-0.5),40.3,(+/-0.5),37.0,(+/-0.5),35.3,(+/-0.6),40.6,(+/-0.7),36.8,(+/-0.6),38.0,(+/-0.5),40.9,(+/-0.7),36.9,(+/-0.5),37.5,(+/-0.5),37.0,(+/-0.4),36.4,(+/-0.9),38.8,(+/-0.4)
People,"Sex and Age","18 years and over","615,920","(+/-3,131)","580,413","(+/-6,441)","612,724","(+/-6,977)","586,697","(+/-7,449)","629,695","(+/-9,768)","607,210","(+/-8,481)","581,928","(+/-9,696)","593,590","(+/-5,727)","628,710","(+/-9,160)","644,066","(+/-7,715)","619,554","(+/-8,407)","601,406","(+/-3,099)","582,529","(+/-12,476)","610,437","(+/-5,591)"
People,"Sex and Age","65 years and over","133,548","(+/-2,074)","128,453","(+/-3,424)","137,652","(+/-3,286)","108,240","(+/-3,216)","102,628","(+/-5,616)","116,929","(+/-4,265)","94,227","(+/-2,883)","132,454","(+/-3,436)","146,865","(+/-3,208)","128,459","(+/-3,463)","117,119","(+/-3,445)","127,785","(+/-1,921)","98,665","(+/-4,804)","126,226","(+/-2,384)"
People,Race,"Total population","799,549","(+/-3,696)","757,219","(+/-8,571)","793,606","(+/-8,347)","764,506","(+/-10,655)","774,627","(+/-11,882)","797,492","(+/-9,651)","778,113","(+/-12,951)","778,270","(+/-7,756)","810,092","(+/-13,174)","833,978","(+/-9,499)","791,779","(+/-10,798)","779,898","(+/-4,033)","773,905","(+/-14,243)","796,193","(+/-7,923)"
People,Race,"One race","732,033","(+/-8,480)","709,729","(+/-9,997)","739,593","(+/-9,365)","678,795","(+/-13,299)","714,318","(+/-12,738)","710,490","(+/-10,266)","678,334","(+/-14,421)","729,694","(+/-9,926)","709,513","(+/-14,088)","771,405","(+/-11,048)","708,716","(+/-12,271)","735,952","(+/-6,763)","713,811","(+/-13,882)","727,651","(+/-9,677)"
People,Race,White,"464,561","(+/-5,624)","292,141","(+/-6,727)","506,791","(+/-7,113)","191,660","(+/-5,308)","280,943","(+/-8,437)","500,122","(+/-9,924)","228,769","(+/-11,739)","462,653","(+/-7,241)","527,867","(+/-9,340)","514,536","(+/-7,797)","507,347","(+/-9,490)","406,910","(+/-4,890)","122,870","(+/-7,823)","541,702","(+/-5,679)"
People,Race,"Black or African American","220,793","(+/-6,369)","378,236","(+/-8,392)","185,091","(+/-8,155)","400,540","(+/-11,295)","377,808","(+/-13,160)","70,617","(+/-7,690)","225,175","(+/-10,246)","226,413","(+/-8,503)","85,024","(+/-10,757)","204,977","(+/-10,244)","117,343","(+/-8,465)","285,228","(+/-5,132)","509,083","(+/-13,508)","110,224","(+/-6,941)"
People,Race,"American Indian and Alaska Native","2,945","(+/-1,288)","2,494","(+/-1,441)","3,623","(+/-2,467)","5,197","(+/-2,528)","1,896","(+/-1,282)","2,318",(+/-989),"3,402","(+/-1,714)","3,830","(+/-1,813)","4,320","(+/-1,575)","4,701","(+/-3,483)","5,623","(+/-3,661)","2,813","(+/-1,504)","3,513","(+/-2,082)","5,260","(+/-2,519)"
People,Race,Asian,"13,758","(+/-1,525)","12,041","(+/-2,164)","15,447","(+/-2,205)","45,576","(+/-3,085)","33,295","(+/-4,274)","106,808","(+/-4,408)","116,169","(+/-6,155)","10,842","(+/-1,687)","48,009","(+/-5,492)","20,239","(+/-1,841)","29,909","(+/-3,195)","14,939","(+/-1,795)","24,289","(+/-2,363)","8,583","(+/-1,205)"
People,Race,"Native Hawaiian and Other Pacific Islander",463,(+/-141),858,(+/-780),202,(+/-224),683,(+/-720),0,(+/-226),79,(+/-155),875,(+/-574),550,(+/-585),11,(+/-28),"1,088","(+/-1,563)",757,"(+/-1,207)","3,437","(+/-3,022)",774,(+/-917),271,(+/-225)
People,Race,"Some other race","29,513","(+/-4,164)","23,959","(+/-4,879)","28,439","(+/-6,158)","35,139","(+/-6,272)","20,376","(+/-5,950)","30,546","(+/-5,970)","103,944","(+/-9,202)","25,406","(+/-4,087)","44,282","(+/-6,490)","25,864","(+/-4,758)","47,737","(+/-8,319)","22,625","(+/-3,425)","53,282","(+/-9,841)","61,611","(+/-7,260)"
People,Race,"Two or more races","67,516","(+/-6,749)","47,490","(+/-5,825)","54,013","(+/-5,713)","85,711","(+/-8,502)","60,309","(+/-7,384)","87,002","(+/-7,844)","99,779","(+/-9,936)","48,576","(+/-6,946)","100,579","(+/-7,915)","62,573","(+/-7,303)","83,063","(+/-8,800)","43,946","(+/-5,569)","60,094","(+/-8,712)","68,542","(+/-6,798)"
People,"Hispanic or Latino and Race","Total population","799,549","(+/-3,696)","757,219","(+/-8,571)","793,606","(+/-8,347)","764,506","(+/-10,655)","774,627","(+/-11,882)","797,492","(+/-9,651)","778,113","(+/-12,951)","778,270","(+/-7,756)","810,092","(+/-13,174)","833,978","(+/-9,499)","791,779","(+/-10,798)","779,898","(+/-4,033)","773,905","(+/-14,243)","796,193","(+/-7,923)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","66,872","(+/-1,823)","47,997","(+/-2,961)","58,401","(+/-4,029)","90,391","(+/-2,310)","54,536","(+/-6,993)","87,563","(+/-6,683)","194,719","(+/-7,711)","58,225","(+/-3,074)","131,037","(+/-7,245)","73,953","(+/-3,144)","105,226","(+/-7,352)","47,956",(+/-742),"92,659","(+/-8,224)","113,042","(+/-4,739)"
