Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","723,269","(+/-10,952)","711,869","(+/-10,952)"
People,"Sex and Age",Male,"360,404","(+/-6,331)","358,736","(+/-6,540)"
People,"Sex and Age",Female,"362,865","(+/-5,551)","353,133","(+/-5,687)"
People,"Sex and Age","Under 5 years","37,161","(+/-2,009)","40,259","(+/-2,072)"
People,"Sex and Age","5 to 9 years","39,764","(+/-3,332)","41,099","(+/-3,403)"
People,"Sex and Age","10 to 14 years","41,567","(+/-2,588)","46,615","(+/-3,115)"
People,"Sex and Age","15 to 19 years","39,661","(+/-1,806)","38,382","(+/-2,239)"
People,"Sex and Age","20 to 24 years","41,908","(+/-2,185)","43,825","(+/-2,267)"
People,"Sex and Age","25 to 34 years","102,070","(+/-3,065)","83,683","(+/-4,148)"
People,"Sex and Age","35 to 44 years","97,294","(+/-3,336)","95,222","(+/-4,046)"
People,"Sex and Age","45 to 54 years","89,291","(+/-2,630)","78,233","(+/-2,988)"
People,"Sex and Age","55 to 59 years","42,855","(+/-2,242)","42,048","(+/-2,474)"
People,"Sex and Age","60 to 64 years","45,118","(+/-2,343)","45,731","(+/-2,731)"
People,"Sex and Age","65 to 74 years","75,885","(+/-2,125)","90,321","(+/-2,293)"
People,"Sex and Age","75 to 84 years","49,949","(+/-2,635)","51,246","(+/-2,643)"
People,"Sex and Age","85 years and over","20,746","(+/-2,181)","15,205","(+/-1,676)"
People,"Sex and Age","Median age (years)",41.0,(+/-0.6),41.7,(+/-0.5)
People,"Sex and Age","18 years and over","580,699","(+/-7,609)","560,552","(+/-7,662)"
People,"Sex and Age","65 years and over","146,580","(+/-3,126)","156,772","(+/-3,158)"
People,Race,"Total population","723,269","(+/-10,952)","711,869","(+/-10,952)"
People,Race,"One race","550,558","(+/-11,599)","479,673","(+/-11,595)"
People,Race,White,"112,774","(+/-4,567)","201,760","(+/-4,678)"
People,Race,"Black or African American","13,073","(+/-2,547)","11,028","(+/-2,459)"
People,Race,"American Indian and Alaska Native","1,396",(+/-795),"1,337",(+/-606)
People,Race,Asian,"353,639","(+/-8,547)","173,045","(+/-7,859)"
People,Race,"Native Hawaiian and Other Pacific Islander","57,776","(+/-5,913)","77,765","(+/-6,599)"
People,Race,"Some other race","11,900","(+/-3,102)","14,738","(+/-2,747)"
People,Race,"Two or more races","172,711","(+/-8,336)","232,196","(+/-9,667)"
People,"Hispanic or Latino and Race","Total population","723,269","(+/-10,952)","711,869","(+/-10,952)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","64,290","(+/-4,200)","80,821","(+/-4,200)"
People,"Hispanic or Latino and Race",Mexican,"20,053","(+/-3,288)","29,112","(+/-4,123)"
People,"Hispanic or Latino and Race","Puerto Rican","20,278","(+/-3,486)","29,181","(+/-4,426)"
People,"Hispanic or Latino and Race",Cuban,"1,737","(+/-1,056)","1,284",(+/-618)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","22,222","(+/-3,619)","21,244","(+/-4,032)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","658,979","(+/-10,020)","631,048","(+/-10,020)"
People,"Place of Birth","Total population","723,269","(+/-10,952)","711,869","(+/-10,952)"
People,"Place of Birth",Native,"563,364","(+/-10,298)","616,019","(+/-10,623)"
People,"Place of Birth","Born in United States","537,570","(+/-9,809)","596,829","(+/-10,635)"
People,"Place of Birth","State of residence","382,449","(+/-9,351)","379,249","(+/-10,854)"
People,"Place of Birth","Different state","155,121","(+/-6,799)","217,580","(+/-8,205)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","25,794","(+/-2,994)","19,190","(+/-3,798)"
People,"Place of Birth","Foreign born","159,905","(+/-7,001)","95,850","(+/-6,655)"
People,Ancestry,"Total population","723,269","(+/-10,952)","711,869","(+/-10,952)"
People,Ancestry,American,"8,761","(+/-2,037)","7,051","(+/-1,682)"
People,Ancestry,Arab,821,(+/-484),819,(+/-354)
People,Ancestry,Czech,505,(+/-285),"1,552",(+/-928)
People,Ancestry,Danish,"1,279",(+/-669),"2,908","(+/-1,425)"
People,Ancestry,Dutch,"2,852","(+/-1,121)","5,186","(+/-2,521)"
People,Ancestry,English,"26,553","(+/-3,185)","44,423","(+/-4,858)"
People,Ancestry,"French (except Basque)","6,768","(+/-1,738)","11,742","(+/-2,271)"
People,Ancestry,"French Canadian","1,466",(+/-883),975,(+/-491)
People,Ancestry,German,"29,999","(+/-3,495)","45,587","(+/-4,116)"
People,Ancestry,Greek,467,(+/-330),"1,228",(+/-611)
People,Ancestry,Hungarian,706,(+/-418),710,(+/-398)
People,Ancestry,Irish,"26,098","(+/-3,098)","40,097","(+/-4,933)"
People,Ancestry,Italian,"12,945","(+/-2,850)","19,425","(+/-3,226)"
People,Ancestry,Lithuanian,635,(+/-389),652,(+/-432)
People,Ancestry,Norwegian,"4,759","(+/-1,782)","5,648","(+/-1,177)"
People,Ancestry,Polish,"5,347","(+/-1,517)","8,175","(+/-1,734)"
People,Ancestry,Portuguese,"11,034","(+/-2,395)","27,057","(+/-3,997)"
People,Ancestry,Russian,"1,772",(+/-776),"3,285","(+/-1,117)"
People,Ancestry,Scotch-Irish,"2,942","(+/-1,344)","2,505",(+/-848)
People,Ancestry,Scottish,"5,421","(+/-1,354)","8,365","(+/-1,595)"
People,Ancestry,Slovak,47,(+/-81),118,(+/-107)
People,Ancestry,"Subsaharan African","1,590",(+/-735),"1,187",(+/-498)
People,Ancestry,Swedish,"2,518",(+/-927),"4,714","(+/-1,094)"
People,Ancestry,Swiss,185,(+/-131),"2,178",(+/-851)
People,Ancestry,Ukrainian,935,(+/-697),"2,359","(+/-1,026)"
People,Ancestry,Welsh,"1,653","(+/-1,252)","3,272","(+/-1,785)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","2,012",(+/-882),785,(+/-393)
People,"Veteran Status","Civilian population 18 years and over","554,085","(+/-7,390)","540,485","(+/-7,201)"
People,"Veteran Status","Civilian veterans","44,542","(+/-3,165)","37,760","(+/-2,634)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","690,526","(+/-10,540)","687,636","(+/-10,501)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","88,759","(+/-4,231)","105,664","(+/-5,291)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","142,488","(+/-4,979)","151,300","(+/-4,986)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","7,011","(+/-1,456)","7,192","(+/-1,856)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","404,235","(+/-6,818)","381,843","(+/-6,740)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","38,375","(+/-3,310)","45,207","(+/-3,296)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","143,803","(+/-3,091)","154,493","(+/-3,155)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","43,373","(+/-2,845)","53,265","(+/-3,503)"
People,"Residence 1 Year Ago","Population 1 year and over","716,213","(+/-10,927)","703,799","(+/-11,000)"
People,"Residence 1 Year Ago","Same house","627,324","(+/-10,967)","623,421","(+/-10,859)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","88,889","(+/-6,078)","80,378","(+/-6,602)"
People,"Residence 1 Year Ago","Different house in the U.S.","80,977","(+/-5,932)","74,682","(+/-6,666)"
People,"Residence 1 Year Ago","Same county","47,829","(+/-5,271)","41,279","(+/-5,488)"
People,"Residence 1 Year Ago","Different county","33,148","(+/-4,328)","33,403","(+/-4,269)"
People,"Residence 1 Year Ago","Same state","3,895","(+/-1,522)","4,117","(+/-1,286)"
People,"Residence 1 Year Ago","Different state","29,253","(+/-4,137)","29,286","(+/-3,841)"
People,"Residence 1 Year Ago",Abroad,"7,912","(+/-2,123)","5,696","(+/-1,645)"
Workers,"Employment Status","Population 16 years and over","596,842","(+/-8,264)","575,515","(+/-8,107)"
Workers,"Employment Status","In labor force","390,052","(+/-7,819)","348,888","(+/-7,553)"
Workers,"Employment Status","Civilian labor force","363,438","(+/-7,707)","328,821","(+/-7,115)"
