Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","1,008,961","(+/-5,140)","955,765","(+/-5,140)"
People,"Sex and Age",Male,"509,288","(+/-4,078)","479,169","(+/-3,978)"
People,"Sex and Age",Female,"499,673","(+/-3,175)","476,596","(+/-3,736)"
People,"Sex and Age","Under 5 years","55,976","(+/-1,449)","54,932","(+/-1,906)"
People,"Sex and Age","5 to 9 years","67,684","(+/-3,649)","59,595","(+/-3,249)"
People,"Sex and Age","10 to 14 years","69,810","(+/-3,468)","69,425","(+/-2,903)"
People,"Sex and Age","15 to 19 years","70,666","(+/-2,637)","77,652","(+/-3,449)"
People,"Sex and Age","20 to 24 years","59,684","(+/-2,962)","73,598","(+/-3,508)"
People,"Sex and Age","25 to 34 years","122,689","(+/-3,960)","131,629","(+/-4,456)"
People,"Sex and Age","35 to 44 years","134,902","(+/-3,029)","123,907","(+/-3,423)"
People,"Sex and Age","45 to 54 years","117,476","(+/-2,728)","107,417","(+/-3,299)"
People,"Sex and Age","55 to 59 years","54,796","(+/-3,116)","49,804","(+/-3,334)"
People,"Sex and Age","60 to 64 years","64,998","(+/-2,969)","55,827","(+/-3,170)"
People,"Sex and Age","65 to 74 years","117,931","(+/-2,425)","89,764","(+/-2,273)"
People,"Sex and Age","75 to 84 years","56,894","(+/-2,260)","47,556","(+/-1,852)"
People,"Sex and Age","85 years and over","15,455","(+/-1,854)","14,659","(+/-1,558)"
People,"Sex and Age","Median age (years)",39.4,(+/-0.4),35.9,(+/-0.3)
People,"Sex and Age","18 years and over","769,818","(+/-4,794)","728,517","(+/-4,526)"
People,"Sex and Age","65 years and over","190,280","(+/-2,570)","151,979","(+/-2,612)"
People,Race,"Total population","1,008,961","(+/-5,140)","955,765","(+/-5,140)"
People,Race,"One race","905,738","(+/-10,839)","867,496","(+/-8,224)"
People,Race,White,"830,248","(+/-9,847)","774,900","(+/-8,314)"
People,Race,"Black or African American","7,404","(+/-2,179)","9,267","(+/-2,076)"
People,Race,"American Indian and Alaska Native","10,935","(+/-2,439)","10,671","(+/-1,895)"
People,Race,Asian,"13,610","(+/-1,622)","13,307","(+/-2,300)"
People,Race,"Native Hawaiian and Other Pacific Islander","1,109",(+/-658),"2,642","(+/-1,155)"
People,Race,"Some other race","42,432","(+/-5,009)","56,709","(+/-8,122)"
People,Race,"Two or more races","103,223","(+/-9,525)","88,269","(+/-7,472)"
People,"Hispanic or Latino and Race","Total population","1,008,961","(+/-5,140)","955,765","(+/-5,140)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","128,790","(+/-3,340)","142,867","(+/-3,339)"
People,"Hispanic or Latino and Race",Mexican,"101,015","(+/-4,779)","113,316","(+/-5,706)"
People,"Hispanic or Latino and Race","Puerto Rican","3,532","(+/-1,091)","2,543","(+/-1,264)"
People,"Hispanic or Latino and Race",Cuban,"1,258","(+/-1,040)",307,(+/-255)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","22,985","(+/-3,963)","26,701","(+/-4,501)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","880,171","(+/-4,236)","812,898","(+/-4,238)"
People,"Place of Birth","Total population","1,008,961","(+/-5,140)","955,765","(+/-5,140)"
People,"Place of Birth",Native,"960,328","(+/-6,808)","892,389","(+/-5,726)"
People,"Place of Birth","Born in United States","949,356","(+/-6,477)","883,259","(+/-5,876)"
People,"Place of Birth","State of residence","383,469","(+/-10,575)","468,842","(+/-9,789)"
People,"Place of Birth","Different state","565,887","(+/-10,329)","414,417","(+/-10,236)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","10,972","(+/-1,848)","9,130","(+/-1,729)"
People,"Place of Birth","Foreign born","48,633","(+/-4,371)","63,376","(+/-4,769)"
People,Ancestry,"Total population","1,008,961","(+/-5,140)","955,765","(+/-5,140)"
People,Ancestry,American,"46,997","(+/-4,978)","48,279","(+/-5,274)"
People,Ancestry,Arab,"1,210",(+/-673),"2,305","(+/-1,050)"
People,Ancestry,Czech,"4,384","(+/-1,610)",968,(+/-376)
People,Ancestry,Danish,"12,215","(+/-2,682)","19,544","(+/-2,692)"
People,Ancestry,Dutch,"18,258","(+/-3,316)","12,990","(+/-3,242)"
People,Ancestry,English,"164,411","(+/-9,011)","205,289","(+/-8,585)"
People,Ancestry,"French (except Basque)","20,861","(+/-2,653)","16,223","(+/-2,820)"
People,Ancestry,"French Canadian","4,893","(+/-1,804)","4,092","(+/-1,581)"
People,Ancestry,German,"182,084","(+/-8,666)","135,787","(+/-8,326)"
People,Ancestry,Greek,"2,064",(+/-851),993,(+/-515)
People,Ancestry,Hungarian,"2,545","(+/-1,491)","1,363",(+/-728)
People,Ancestry,Irish,"113,049","(+/-8,115)","65,680","(+/-5,394)"
People,Ancestry,Italian,"37,549","(+/-3,909)","24,740","(+/-3,758)"
People,Ancestry,Lithuanian,763,(+/-518),664,(+/-371)
People,Ancestry,Norwegian,"38,770","(+/-5,833)","23,002","(+/-3,141)"
People,Ancestry,Polish,"13,298","(+/-2,944)","11,917","(+/-2,317)"
People,Ancestry,Portuguese,"6,090","(+/-1,760)","2,616",(+/-948)
People,Ancestry,Russian,"4,082","(+/-1,573)","4,021","(+/-1,743)"
People,Ancestry,Scotch-Irish,"9,776","(+/-1,891)","8,111","(+/-2,067)"
People,Ancestry,Scottish,"30,834","(+/-5,348)","28,024","(+/-3,364)"
People,Ancestry,Slovak,798,(+/-567),498,(+/-348)
People,Ancestry,"Subsaharan African","2,989","(+/-1,803)","4,219","(+/-1,627)"
People,Ancestry,Swedish,"24,695","(+/-3,413)","23,741","(+/-2,765)"
People,Ancestry,Swiss,"4,926","(+/-1,284)","5,407","(+/-1,511)"
People,Ancestry,Ukrainian,"3,980","(+/-1,791)","1,348",(+/-601)
People,Ancestry,Welsh,"7,479","(+/-1,721)","14,876","(+/-2,907)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",619,(+/-526),541,(+/-367)
People,"Veteran Status","Civilian population 18 years and over","768,904","(+/-4,791)","724,379","(+/-4,679)"
People,"Veteran Status","Civilian veterans","64,352","(+/-3,721)","48,858","(+/-3,683)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","995,919","(+/-5,193)","942,104","(+/-5,312)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","141,098","(+/-6,935)","134,888","(+/-6,539)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","238,812","(+/-2,860)","227,062","(+/-2,840)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,577","(+/-1,700)","13,218","(+/-1,898)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","570,672","(+/-4,342)","567,657","(+/-4,624)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","70,629","(+/-5,310)","72,711","(+/-5,368)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","186,435","(+/-2,521)","147,385","(+/-2,616)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","60,892","(+/-3,095)","48,959","(+/-2,913)"
People,"Residence 1 Year Ago","Population 1 year and over","997,710","(+/-5,115)","947,294","(+/-5,180)"
People,"Residence 1 Year Ago","Same house","865,281","(+/-9,812)","804,071","(+/-8,648)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","132,429","(+/-8,752)","143,223","(+/-8,214)"
People,"Residence 1 Year Ago","Different house in the U.S.","128,252","(+/-9,027)","138,000","(+/-7,916)"
People,"Residence 1 Year Ago","Same county","57,608","(+/-6,632)","71,807","(+/-6,075)"
People,"Residence 1 Year Ago","Different county","70,644","(+/-6,841)","66,193","(+/-5,501)"
People,"Residence 1 Year Ago","Same state","27,748","(+/-3,867)","27,381","(+/-3,726)"
People,"Residence 1 Year Ago","Different state","42,896","(+/-5,344)","38,812","(+/-4,780)"
People,"Residence 1 Year Ago",Abroad,"4,177","(+/-1,693)","5,223","(+/-1,627)"
Workers,"Employment Status","Population 16 years and over","800,468","(+/-4,643)","757,845","(+/-4,914)"
Workers,"Employment Status","In labor force","489,004","(+/-7,010)","487,221","(+/-6,613)"
Workers,"Employment Status","Civilian labor force","488,090","(+/-7,066)","483,083","(+/-6,734)"
Workers,"Employment Status",Employed,"470,232","(+/-7,013)","466,047","(+/-7,060)"
Workers,"Employment Status",Unemployed,"17,858","(+/-2,087)","17,036","(+/-2,182)"
Workers,"Employment Status","Armed Forces",914,(+/-517),"4,138",(+/-939)
Workers,"Employment Status","Not in labor force","311,464","(+/-6,597)","270,624","(+/-6,759)"
Workers,"Employment Status","Civilian labor force","488,090","(+/-7,066)","483,083","(+/-6,734)"
Workers,"Employment Status","Unemployment Rate",3.7,(+/-0.4),3.5,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over","463,145","(+/-7,037)","460,999","(+/-6,853)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","326,857","(+/-7,956)","329,023","(+/-6,646)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","45,394","(+/-3,785)","48,933","(+/-4,306)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",833,(+/-423),"4,824","(+/-1,054)"
Workers,"Commuting to Work",Walked,"11,382","(+/-1,745)","14,117","(+/-1,823)"
Workers,"Commuting to Work","Other means","9,111","(+/-1,512)","8,628","(+/-1,483)"
Workers,"Commuting to Work","Worked from home","69,568","(+/-4,524)","55,474","(+/-3,416)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",23.7,(+/-0.5),20.3,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","470,232","(+/-7,013)","466,047","(+/-7,060)"
Workers,Occupation,"Management, business, science, and arts occupations","183,852","(+/-5,590)","187,885","(+/-6,556)"
Workers,Occupation,"Service occupations","76,392","(+/-4,376)","76,388","(+/-5,110)"
Workers,Occupation,"Sales and office occupations","93,009","(+/-4,846)","88,411","(+/-4,904)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","56,089","(+/-4,577)","50,604","(+/-3,613)"
Workers,Occupation,"Production, transportation, and material moving occupations","60,890","(+/-4,137)","62,759","(+/-4,478)"
Workers,Industry,"Civilian employed population 16 years and over","470,232","(+/-7,013)","466,047","(+/-7,060)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","12,745","(+/-1,724)","21,107","(+/-2,625)"
Workers,Industry,Construction,"51,353","(+/-4,229)","37,407","(+/-3,937)"
Workers,Industry,Manufacturing,"46,608","(+/-3,129)","45,846","(+/-3,531)"
Workers,Industry,"Wholesale trade","9,213","(+/-1,383)","8,930","(+/-1,921)"
Workers,Industry,"Retail trade","55,304","(+/-3,673)","48,827","(+/-3,588)"
Workers,Industry,"Transportation and warehousing, and utilities","23,526","(+/-2,587)","25,797","(+/-3,212)"
Workers,Industry,Information,"7,560","(+/-1,548)","6,630","(+/-1,228)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","26,225","(+/-2,963)","24,977","(+/-2,784)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","52,674","(+/-3,800)","49,589","(+/-2,921)"
Workers,Industry,"Educational services, and health care and social assistance","103,122","(+/-5,181)","105,805","(+/-5,038)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","38,416","(+/-3,701)","47,447","(+/-3,758)"
Workers,Industry,"Other services, except public administration","23,839","(+/-2,598)","19,537","(+/-2,753)"
Workers,Industry,"Public administration","19,647","(+/-2,128)","24,148","(+/-2,756)"
Workers,"Class of Worker","Civilian employed population 16 years and over","470,232","(+/-7,013)","466,047","(+/-7,060)"
Workers,"Class of Worker","Private wage and salary workers","367,429","(+/-6,841)","355,086","(+/-7,890)"
Workers,"Class of Worker","Government workers","65,320","(+/-4,055)","73,714","(+/-4,412)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","36,343","(+/-3,641)","36,069","(+/-3,035)"
Workers,"Class of Worker","Unpaid family workers","1,140",(+/-669),"1,178",(+/-634)
Housing,"Housing Occupancy","Total housing units","418,854","(+/-3,153)","396,450","(+/-3,133)"
Housing,"Housing Occupancy","Occupied housing units","374,457","(+/-4,221)","358,787","(+/-4,178)"
Housing,"Housing Occupancy","Vacant housing units","44,397","(+/-3,681)","37,663","(+/-3,622)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.6,(+/-0.3),0.7,(+/-0.3)
Housing,"Housing Occupancy","Rental vacancy rate",4.7,(+/-1.4),3.6,(+/-1.1)
Housing,"Housing Tenure","Occupied housing units","374,457","(+/-4,221)","358,787","(+/-4,178)"
Housing,"Housing Tenure",Owner-occupied,"285,846","(+/-4,546)","245,785","(+/-4,868)"
Housing,"Housing Tenure",Renter-occupied,"88,611","(+/-3,930)","113,002","(+/-5,047)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.70,(+/-0.03),2.71,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.46,(+/-0.07),2.28,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units","374,457","(+/-4,221)","358,787","(+/-4,178)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","98,049","(+/-5,028)","102,376","(+/-4,832)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","89,617","(+/-4,441)","71,370","(+/-4,562)"
