Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE"
People,"Sex and Age","Total population","751,575","(+/-21,906)","720,502","(+/-16,747)","720,148","(+/-21,274)","704,764","(+/-18,895)","754,102","(+/-16,515)","725,829","(+/-11,898)","732,352","(+/-23,440)","730,604","(+/-11,094)","742,949","(+/-17,005)","746,076","(+/-7,783)","761,048","(+/-11,757)","749,426","(+/-5,302)","725,183","(+/-10,597)","755,370","(+/-8,406)","745,893","(+/-9,342)","755,171","(+/-10,504)","728,697","(+/-7,385)"
People,"Sex and Age",Male,"353,234","(+/-11,542)","345,593","(+/-10,094)","357,988","(+/-11,869)","362,273","(+/-11,715)","363,587","(+/-10,502)","360,759","(+/-7,786)","355,695","(+/-13,492)","365,661","(+/-6,530)","360,679","(+/-10,469)","376,017","(+/-4,981)","378,911","(+/-8,391)","379,559","(+/-3,682)","350,766","(+/-6,056)","380,471","(+/-6,316)","373,771","(+/-5,657)","376,639","(+/-6,257)","356,055","(+/-5,536)"
People,"Sex and Age",Female,"398,341","(+/-13,556)","374,909","(+/-10,849)","362,160","(+/-12,469)","342,491","(+/-11,270)","390,515","(+/-9,764)","365,070","(+/-7,620)","376,657","(+/-13,597)","364,943","(+/-7,462)","382,270","(+/-10,313)","370,059","(+/-4,555)","382,137","(+/-7,098)","369,867","(+/-3,499)","374,417","(+/-6,988)","374,899","(+/-5,516)","372,122","(+/-5,890)","378,532","(+/-6,085)","372,642","(+/-5,194)"
People,"Sex and Age","Under 5 years","41,858","(+/-4,533)","41,494","(+/-4,433)","41,346","(+/-4,156)","33,908","(+/-4,290)","36,896","(+/-4,063)","39,670","(+/-4,138)","36,621","(+/-6,348)","37,732","(+/-3,702)","36,960","(+/-3,838)","39,892","(+/-2,237)","41,165","(+/-2,807)","37,874","(+/-1,292)","35,952","(+/-2,299)","40,252","(+/-2,589)","38,651","(+/-2,350)","39,934","(+/-2,517)","40,821","(+/-2,419)"
People,"Sex and Age","5 to 9 years","46,185","(+/-5,040)","48,073","(+/-5,281)","40,909","(+/-4,222)","40,475","(+/-3,554)","41,834","(+/-4,610)","43,634","(+/-4,248)","36,041","(+/-5,461)","44,545","(+/-3,946)","40,255","(+/-4,667)","48,804","(+/-3,375)","49,531","(+/-3,328)","47,622","(+/-2,194)","40,300","(+/-3,494)","49,226","(+/-3,593)","44,652","(+/-3,220)","47,780","(+/-2,925)","43,402","(+/-3,046)"
People,"Sex and Age","10 to 14 years","54,129","(+/-6,068)","52,218","(+/-5,361)","40,748","(+/-4,306)","49,004","(+/-4,454)","40,496","(+/-3,607)","41,311","(+/-4,088)","34,694","(+/-4,278)","45,926","(+/-3,962)","39,809","(+/-4,532)","52,794","(+/-4,108)","51,832","(+/-4,085)","45,990","(+/-2,801)","38,250","(+/-3,609)","51,004","(+/-3,350)","47,746","(+/-2,692)","49,862","(+/-3,131)","44,020","(+/-2,887)"
People,"Sex and Age","15 to 19 years","51,748","(+/-4,779)","46,534","(+/-4,589)","45,301","(+/-4,347)","57,103","(+/-4,999)","37,709","(+/-3,940)","41,622","(+/-3,467)","40,239","(+/-4,153)","46,593","(+/-3,459)","47,085","(+/-4,340)","54,256","(+/-2,339)","54,360","(+/-3,148)","46,079","(+/-2,163)","54,198","(+/-3,351)","56,651","(+/-2,664)","47,230","(+/-2,762)","48,932","(+/-2,631)","51,853","(+/-2,962)"
People,"Sex and Age","20 to 24 years","44,129","(+/-3,833)","42,854","(+/-4,066)","45,375","(+/-4,304)","53,159","(+/-4,270)","45,243","(+/-3,944)","37,375","(+/-3,486)","56,517","(+/-5,210)","42,005","(+/-3,765)","42,934","(+/-4,964)","49,318","(+/-2,174)","45,831","(+/-4,059)","43,647","(+/-2,320)","68,661","(+/-3,028)","56,827","(+/-3,375)","42,041","(+/-2,444)","42,888","(+/-2,931)","58,269","(+/-3,898)"
People,"Sex and Age","25 to 34 years","99,236","(+/-6,770)","88,317","(+/-5,111)","117,301","(+/-7,707)","93,770","(+/-6,436)","146,023","(+/-7,724)","89,275","(+/-5,825)","147,058","(+/-10,980)","92,275","(+/-4,687)","96,873","(+/-5,988)","88,476","(+/-2,950)","91,603","(+/-5,262)","85,052","(+/-2,695)","96,065","(+/-4,227)","89,854","(+/-4,392)","85,834","(+/-3,476)","84,176","(+/-3,555)","91,036","(+/-3,832)"
People,"Sex and Age","35 to 44 years","92,922","(+/-6,546)","87,368","(+/-5,170)","103,970","(+/-7,425)","99,021","(+/-6,667)","111,710","(+/-6,257)","95,298","(+/-5,320)","117,071","(+/-9,055)","103,154","(+/-5,699)","104,253","(+/-6,824)","96,256","(+/-3,803)","96,591","(+/-5,454)","97,926","(+/-2,289)","87,642","(+/-3,772)","108,553","(+/-4,225)","94,982","(+/-3,282)","95,264","(+/-3,593)","86,423","(+/-3,867)"
People,"Sex and Age","45 to 54 years","90,240","(+/-6,260)","84,592","(+/-5,373)","93,782","(+/-5,824)","95,135","(+/-4,373)","94,622","(+/-4,675)","87,019","(+/-5,024)","83,951","(+/-6,143)","98,450","(+/-5,393)","94,206","(+/-5,894)","95,864","(+/-3,496)","100,195","(+/-5,115)","91,010","(+/-2,143)","81,353","(+/-3,386)","102,937","(+/-3,435)","87,235","(+/-3,223)","93,313","(+/-2,576)","80,904","(+/-3,507)"
People,"Sex and Age","55 to 59 years","43,775","(+/-3,804)","40,200","(+/-3,292)","42,327","(+/-4,480)","42,826","(+/-3,494)","42,269","(+/-3,675)","45,275","(+/-3,721)","36,977","(+/-4,140)","44,168","(+/-4,127)","48,161","(+/-3,972)","48,209","(+/-3,186)","57,964","(+/-4,078)","46,626","(+/-2,583)","40,768","(+/-3,647)","44,556","(+/-3,219)","46,989","(+/-2,763)","49,499","(+/-2,790)","43,162","(+/-2,981)"
People,"Sex and Age","60 to 64 years","53,443","(+/-4,697)","52,017","(+/-4,214)","44,537","(+/-3,741)","39,679","(+/-3,145)","42,558","(+/-3,950)","54,358","(+/-4,648)","41,707","(+/-4,281)","49,718","(+/-3,632)","49,349","(+/-4,461)","46,021","(+/-2,594)","51,340","(+/-3,611)","55,849","(+/-2,702)","47,307","(+/-3,174)","43,786","(+/-3,018)","54,844","(+/-2,576)","52,703","(+/-2,969)","46,763","(+/-2,538)"
People,"Sex and Age","65 to 74 years","78,720","(+/-4,311)","77,943","(+/-4,085)","64,800","(+/-5,276)","59,385","(+/-4,589)","64,500","(+/-5,045)","87,687","(+/-4,852)","64,904","(+/-6,770)","78,631","(+/-4,400)","82,788","(+/-5,198)","72,623","(+/-2,758)","69,792","(+/-3,743)","88,225","(+/-1,832)","80,823","(+/-3,127)","66,156","(+/-2,752)","89,156","(+/-2,738)","89,187","(+/-2,947)","80,284","(+/-2,842)"
People,"Sex and Age","75 to 84 years","38,701","(+/-2,911)","43,500","(+/-3,101)","30,463","(+/-2,999)","30,576","(+/-3,709)","35,609","(+/-3,448)","47,406","(+/-3,567)","26,832","(+/-3,085)","36,561","(+/-3,104)","41,951","(+/-3,125)","39,560","(+/-2,791)","37,314","(+/-3,164)","46,844","(+/-1,777)","38,432","(+/-2,199)","32,281","(+/-2,473)","47,941","(+/-2,101)","45,058","(+/-2,241)","44,629","(+/-2,286)"
People,"Sex and Age","85 years and over","16,489","(+/-1,909)","15,392","(+/-2,099)","9,289","(+/-1,803)","10,723","(+/-1,802)","14,633","(+/-1,923)","15,899","(+/-1,963)","9,740","(+/-1,987)","10,846","(+/-1,442)","18,325","(+/-2,208)","14,003","(+/-1,862)","13,530","(+/-2,032)","16,682","(+/-1,592)","15,432","(+/-1,160)","13,287","(+/-1,614)","18,592","(+/-1,924)","16,575","(+/-1,580)","17,131","(+/-1,772)"
People,"Sex and Age","Median age (years)",39.3,(+/-1.3),39.8,(+/-1.0),37.6,(+/-0.8),37.9,(+/-0.9),37.5,(+/-0.6),42.3,(+/-1.0),36.0,(+/-0.7),40.8,(+/-0.7),41.0,(+/-0.7),39.3,(+/-0.5),39.8,(+/-0.7),41.8,(+/-0.5),38.7,(+/-0.6),38.2,(+/-0.5),42.1,(+/-0.6),42.1,(+/-0.6),39.1,(+/-0.6)
People,"Sex and Age","18 years and over","576,163","(+/-14,805)","547,683","(+/-11,380)","567,184","(+/-16,899)","547,680","(+/-14,994)","609,509","(+/-12,992)","574,540","(+/-9,469)","604,815","(+/-18,222)","571,310","(+/-11,250)","598,691","(+/-13,221)","571,999","(+/-6,245)","584,408","(+/-8,915)","588,972","(+/-4,229)","582,933","(+/-7,728)","579,945","(+/-7,452)","584,241","(+/-6,739)","583,833","(+/-7,951)","574,156","(+/-6,148)"
People,"Sex and Age","65 years and over","133,910","(+/-5,731)","136,835","(+/-6,048)","104,552","(+/-6,723)","100,684","(+/-6,079)","114,742","(+/-6,275)","150,992","(+/-6,012)","101,476","(+/-7,624)","126,038","(+/-5,619)","143,064","(+/-6,864)","126,186","(+/-3,726)","120,636","(+/-5,647)","151,751","(+/-2,145)","134,687","(+/-3,666)","111,724","(+/-3,633)","155,689","(+/-3,082)","150,820","(+/-3,987)","142,044","(+/-3,569)"
People,Race,"Total population","751,575","(+/-21,906)","720,502","(+/-16,747)","720,148","(+/-21,274)","704,764","(+/-18,895)","754,102","(+/-16,515)","725,829","(+/-11,898)","732,352","(+/-23,440)","730,604","(+/-11,094)","742,949","(+/-17,005)","746,076","(+/-7,783)","761,048","(+/-11,757)","749,426","(+/-5,302)","725,183","(+/-10,597)","755,370","(+/-8,406)","745,893","(+/-9,342)","755,171","(+/-10,504)","728,697","(+/-7,385)"
People,Race,"One race","692,254","(+/-20,225)","659,212","(+/-16,028)","581,121","(+/-21,144)","535,273","(+/-16,730)","682,747","(+/-14,038)","657,623","(+/-13,301)","664,518","(+/-22,366)","624,334","(+/-13,457)","669,154","(+/-16,871)","647,024","(+/-11,776)","660,865","(+/-12,527)","710,736","(+/-5,901)","667,229","(+/-10,014)","638,396","(+/-9,064)","712,577","(+/-9,119)","704,055","(+/-10,068)","652,418","(+/-9,402)"
People,Race,White,"278,207","(+/-9,092)","261,527","(+/-9,438)","327,887","(+/-16,156)","219,559","(+/-13,145)","538,787","(+/-12,506)","536,193","(+/-13,318)","243,437","(+/-15,114)","402,326","(+/-11,521)","443,844","(+/-14,406)","444,572","(+/-12,490)","492,294","(+/-11,196)","655,250","(+/-5,097)","483,457","(+/-9,490)","455,192","(+/-8,097)","677,558","(+/-8,581)","646,243","(+/-9,121)","511,416","(+/-7,416)"
People,Race,"Black or African American","358,230","(+/-16,918)","327,303","(+/-15,029)","37,826","(+/-6,686)","38,477","(+/-7,078)","23,976","(+/-4,753)","39,913","(+/-6,988)","285,608","(+/-14,465)","33,338","(+/-5,747)","62,256","(+/-7,814)","44,659","(+/-3,363)","41,829","(+/-5,503)","40,221","(+/-4,478)","137,911","(+/-5,325)","71,993","(+/-5,813)","18,635","(+/-2,513)","17,300","(+/-3,380)","92,484","(+/-5,816)"
People,Race,"American Indian and Alaska Native","2,274","(+/-1,306)","5,173","(+/-3,279)","11,171","(+/-3,856)","18,345","(+/-4,374)","3,787","(+/-1,971)","1,500",(+/-858),"2,450","(+/-1,355)","8,127","(+/-2,824)","3,883","(+/-2,004)","6,706","(+/-3,170)","4,495","(+/-1,974)","1,117",(+/-423),"2,282","(+/-1,274)","5,996","(+/-2,035)","1,147",(+/-534),"2,508","(+/-1,400)","6,378","(+/-2,253)"
People,Race,Asian,"15,755","(+/-3,539)","7,580","(+/-1,716)","51,992","(+/-5,047)","31,735","(+/-5,710)","78,009","(+/-6,551)","41,518","(+/-5,718)","68,917","(+/-7,744)","97,118","(+/-7,969)","110,619","(+/-11,341)","63,886","(+/-4,494)","67,356","(+/-6,654)","6,392",(+/-958),"29,995","(+/-2,307)","44,783","(+/-3,211)","7,014","(+/-1,806)","19,494","(+/-2,399)","14,498","(+/-2,551)"
People,Race,"Native Hawaiian and Other Pacific Islander",204,(+/-222),222,(+/-232),594,(+/-667),509,(+/-497),542,(+/-397),138,(+/-154),194,(+/-103),447,(+/-575),292,(+/-419),842,(+/-776),431,(+/-711),41,(+/-75),591,(+/-523),36,(+/-58),138,(+/-147),67,(+/-106),564,(+/-481)
People,Race,"Some other race","37,584","(+/-7,231)","57,407","(+/-9,917)","151,651","(+/-14,026)","226,648","(+/-14,870)","37,646","(+/-5,828)","38,361","(+/-5,865)","63,912","(+/-10,551)","82,978","(+/-10,296)","48,260","(+/-9,657)","86,359","(+/-9,666)","54,460","(+/-7,321)","7,715","(+/-2,086)","12,993","(+/-4,270)","60,396","(+/-6,970)","8,085","(+/-2,443)","18,443","(+/-4,552)","27,078","(+/-4,577)"
People,Race,"Two or more races","59,321","(+/-10,512)","61,290","(+/-8,881)","139,027","(+/-11,548)","169,491","(+/-14,824)","71,355","(+/-8,340)","68,206","(+/-7,221)","67,834","(+/-10,292)","106,270","(+/-9,267)","73,795","(+/-9,180)","99,052","(+/-9,309)","100,183","(+/-9,498)","38,690","(+/-3,489)","57,954","(+/-5,880)","116,974","(+/-8,071)","33,316","(+/-3,088)","51,116","(+/-5,353)","76,279","(+/-6,798)"
