Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population","757,933","(+/-3,403)","750,086","(+/-4,550)","764,836","(+/-3,092)","778,072","(+/-2,309)","781,999","(+/-1,571)","764,477","(+/-3,704)","747,195",(+/-791),"756,642","(+/-1,442)","760,959","(+/-3,240)"
People,"Sex and Age",Male,"372,934","(+/-2,334)","376,046","(+/-3,274)","379,865","(+/-3,217)","393,652","(+/-2,519)","386,779","(+/-1,897)","378,986","(+/-4,309)","365,353","(+/-3,281)","379,564","(+/-2,193)","378,986","(+/-2,996)"
People,"Sex and Age",Female,"384,999","(+/-2,504)","374,040","(+/-3,430)","384,971","(+/-2,835)","384,420","(+/-2,501)","395,220","(+/-1,544)","385,491","(+/-4,011)","381,842","(+/-3,322)","377,078","(+/-2,251)","381,973","(+/-3,401)"
People,"Sex and Age","Under 5 years","42,204","(+/-1,132)","45,896","(+/-1,347)","49,683","(+/-1,080)","43,792","(+/-1,488)","43,156",(+/-959),"49,287","(+/-3,479)","48,098","(+/-3,315)","41,122","(+/-1,145)","38,320","(+/-1,397)"
People,"Sex and Age","5 to 9 years","49,232","(+/-3,680)","53,103","(+/-2,952)","53,000","(+/-2,950)","49,759","(+/-2,805)","44,254","(+/-3,455)","52,111","(+/-4,652)","50,231","(+/-5,255)","45,383","(+/-2,705)","42,527","(+/-3,375)"
People,"Sex and Age","10 to 14 years","46,300","(+/-3,421)","46,723","(+/-3,056)","53,750","(+/-2,515)","50,602","(+/-3,171)","56,803","(+/-3,303)","54,450","(+/-3,815)","45,545","(+/-5,415)","47,106","(+/-2,727)","45,275","(+/-3,126)"
People,"Sex and Age","15 to 19 years","49,588","(+/-1,206)","56,062","(+/-2,001)","53,820","(+/-2,418)","59,134","(+/-2,293)","57,527","(+/-1,957)","52,261","(+/-3,288)","48,323","(+/-2,522)","49,978","(+/-1,708)","59,238","(+/-2,901)"
People,"Sex and Age","20 to 24 years","44,460","(+/-1,276)","50,590","(+/-2,115)","49,721","(+/-2,218)","67,072","(+/-2,398)","54,324","(+/-1,381)","47,990","(+/-3,157)","52,516","(+/-2,568)","49,009","(+/-1,926)","57,904","(+/-2,688)"
People,"Sex and Age","25 to 34 years","94,490","(+/-1,993)","92,358","(+/-2,368)","96,854","(+/-2,191)","97,187","(+/-2,569)","94,753","(+/-2,087)","96,917","(+/-4,374)","131,489","(+/-3,417)","95,758","(+/-2,104)","93,054","(+/-2,479)"
People,"Sex and Age","35 to 44 years","101,228","(+/-2,090)","92,622","(+/-2,416)","93,244","(+/-1,811)","97,420","(+/-2,588)","104,063","(+/-1,974)","103,010","(+/-3,895)","101,017","(+/-3,019)","92,601","(+/-1,793)","93,574","(+/-2,082)"
People,"Sex and Age","45 to 54 years","92,079","(+/-1,833)","89,254","(+/-3,142)","87,346","(+/-1,563)","94,249","(+/-2,289)","99,049","(+/-1,662)","92,746","(+/-3,481)","82,257","(+/-3,136)","89,103","(+/-1,834)","92,420","(+/-2,155)"
People,"Sex and Age","55 to 59 years","44,720","(+/-3,114)","44,070","(+/-2,994)","45,726","(+/-2,708)","46,263","(+/-3,162)","47,805","(+/-2,885)","42,766","(+/-2,485)","42,751","(+/-3,491)","45,344","(+/-2,491)","47,782","(+/-2,769)"
People,"Sex and Age","60 to 64 years","51,961","(+/-2,823)","47,480","(+/-2,411)","47,939","(+/-2,691)","46,761","(+/-2,952)","48,674","(+/-3,313)","48,031","(+/-3,205)","41,513","(+/-3,677)","53,617","(+/-2,615)","50,057","(+/-2,631)"
People,"Sex and Age","65 to 74 years","85,857","(+/-1,010)","77,677","(+/-1,785)","80,557","(+/-1,320)","73,972","(+/-1,243)","76,426","(+/-1,134)","73,715","(+/-2,724)","64,693","(+/-2,181)","87,443","(+/-1,113)","83,981","(+/-1,416)"
People,"Sex and Age","75 to 84 years","42,225","(+/-2,210)","39,801","(+/-1,876)","39,366","(+/-1,633)","38,869","(+/-1,714)","42,326","(+/-1,775)","38,383","(+/-2,103)","28,773","(+/-2,339)","45,979","(+/-1,923)","42,238","(+/-1,730)"
People,"Sex and Age","85 years and over","13,589","(+/-1,918)","14,450","(+/-1,534)","13,830","(+/-1,512)","12,992","(+/-1,552)","12,839","(+/-1,425)","12,810","(+/-1,710)","9,989","(+/-1,736)","14,199","(+/-1,796)","14,589","(+/-1,514)"
People,"Sex and Age","Median age (years)",40.3,(+/-0.4),38.3,(+/-0.4),37.9,(+/-0.4),37.0,(+/-0.3),38.5,(+/-0.4),38.0,(+/-0.7),34.8,(+/-0.4),40.3,(+/-0.3),40.1,(+/-0.4)
People,"Sex and Age","18 years and over","587,889","(+/-2,436)","570,340","(+/-3,359)","574,175","(+/-2,279)","601,057","(+/-2,380)","603,458","(+/-1,286)","574,642","(+/-6,464)","573,174","(+/-5,589)","593,320","(+/-1,912)","603,238","(+/-2,680)"
People,"Sex and Age","65 years and over","141,671","(+/-1,303)","131,928","(+/-1,910)","133,753","(+/-1,532)","125,833","(+/-1,723)","131,591","(+/-1,330)","124,908","(+/-3,443)","103,455","(+/-2,948)","147,621","(+/-1,426)","140,808","(+/-1,722)"
People,Race,"Total population","757,933","(+/-3,403)","750,086","(+/-4,550)","764,836","(+/-3,092)","778,072","(+/-2,309)","781,999","(+/-1,571)","764,477","(+/-3,704)","747,195",(+/-791),"756,642","(+/-1,442)","760,959","(+/-3,240)"
People,Race,"One race","678,245","(+/-6,177)","687,841","(+/-6,889)","707,318","(+/-5,611)","719,004","(+/-6,505)","725,292","(+/-5,564)","715,808","(+/-7,487)","668,582","(+/-11,868)","716,620","(+/-4,224)","717,330","(+/-4,703)"
People,Race,White,"479,327","(+/-5,273)","578,649","(+/-5,979)","621,759","(+/-3,953)","639,531","(+/-4,200)","644,386","(+/-3,878)","607,394","(+/-9,813)","352,508","(+/-7,960)","667,785","(+/-3,158)","669,367","(+/-3,947)"
People,Race,"Black or African American","130,766","(+/-4,534)","46,939","(+/-3,882)","41,572","(+/-3,267)","34,933","(+/-2,756)","38,126","(+/-2,660)","44,845","(+/-8,255)","235,571","(+/-10,201)","25,966","(+/-2,710)","16,705","(+/-1,982)"
People,Race,"American Indian and Alaska Native","2,423","(+/-1,325)","3,261","(+/-2,328)","2,284","(+/-1,296)","3,217","(+/-1,791)","1,632",(+/-901),"1,324",(+/-965),"5,584","(+/-3,497)","1,795",(+/-797),"1,959","(+/-1,195)"
People,Race,Asian,"12,087","(+/-1,013)","12,099","(+/-1,001)","21,824","(+/-1,827)","26,560","(+/-1,823)","30,252","(+/-2,698)","39,758","(+/-3,798)","16,796","(+/-2,784)","7,782",(+/-885),"15,391","(+/-1,357)"
People,Race,"Native Hawaiian and Other Pacific Islander",112,(+/-113),725,(+/-566),395,(+/-497),137,(+/-247),"1,662","(+/-1,860)",0,(+/-208),200,(+/-234),429,(+/-291),485,(+/-438)
People,Race,"Some other race","53,530","(+/-5,303)","46,168","(+/-4,163)","19,484","(+/-3,192)","14,626","(+/-3,710)","9,234","(+/-2,441)","22,487","(+/-3,368)","57,923","(+/-8,260)","12,863","(+/-3,052)","13,423","(+/-3,250)"
People,Race,"Two or more races","79,688","(+/-5,339)","62,245","(+/-5,343)","57,518","(+/-4,652)","59,068","(+/-5,945)","56,707","(+/-5,028)","48,669","(+/-6,644)","78,613","(+/-11,902)","40,022","(+/-3,964)","43,629","(+/-3,916)"
People,"Hispanic or Latino and Race","Total population","757,933","(+/-3,403)","750,086","(+/-4,550)","764,836","(+/-3,092)","778,072","(+/-2,309)","781,999","(+/-1,571)","764,477","(+/-3,704)","747,195",(+/-791),"756,642","(+/-1,442)","760,959","(+/-3,240)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","135,230",(+/-727),"91,466","(+/-1,336)","53,836",(+/-704),"58,659","(+/-1,113)","40,683",(+/-187),"45,567","(+/-4,796)","113,978","(+/-4,535)","25,660",(+/-627),"32,706","(+/-1,207)"
People,"Hispanic or Latino and Race",Mexican,"106,986","(+/-4,738)","67,177","(+/-5,446)","38,850","(+/-3,299)","35,943","(+/-2,648)","24,112","(+/-2,835)","30,363","(+/-4,690)","67,110","(+/-7,794)","15,029","(+/-2,415)","18,766","(+/-3,012)"
People,"Hispanic or Latino and Race","Puerto Rican","15,679","(+/-3,286)","5,498","(+/-1,997)","3,826","(+/-2,328)","3,669",(+/-952),"3,530","(+/-1,367)","4,491","(+/-2,403)","6,411","(+/-2,832)","2,085",(+/-986),"2,686","(+/-1,404)"
People,"Hispanic or Latino and Race",Cuban,766,(+/-486),723,(+/-542),437,(+/-356),"1,177","(+/-1,036)","1,901","(+/-1,374)",672,(+/-394),"3,033","(+/-2,060)","1,620","(+/-1,022)","1,216","(+/-1,029)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","11,799","(+/-3,829)","18,068","(+/-4,544)","10,723","(+/-2,818)","17,870","(+/-2,899)","11,140","(+/-2,500)","10,041","(+/-2,434)","37,424","(+/-6,768)","6,926","(+/-2,078)","10,038","(+/-2,280)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","622,703","(+/-3,368)","658,620","(+/-4,382)","711,000","(+/-3,038)","719,413","(+/-2,163)","741,316","(+/-1,575)","718,910","(+/-5,585)","633,217","(+/-4,619)","730,982","(+/-1,502)","728,253","(+/-3,167)"
People,"Place of Birth","Total population","757,933","(+/-3,403)","750,086","(+/-4,550)","764,836","(+/-3,092)","778,072","(+/-2,309)","781,999","(+/-1,571)","764,477","(+/-3,704)","747,195",(+/-791),"756,642","(+/-1,442)","760,959","(+/-3,240)"
People,"Place of Birth",Native,"713,412","(+/-5,134)","700,109","(+/-5,941)","725,467","(+/-4,965)","728,238","(+/-4,329)","733,792","(+/-4,457)","710,441","(+/-6,203)","645,405","(+/-8,263)","737,727","(+/-2,491)","734,956","(+/-3,605)"
People,"Place of Birth","Born in United States","705,336","(+/-4,965)","693,739","(+/-6,202)","717,891","(+/-4,946)","724,024","(+/-4,393)","726,935","(+/-4,513)","702,704","(+/-6,909)","636,518","(+/-8,554)","734,942","(+/-2,488)","729,251","(+/-3,768)"
People,"Place of Birth","State of residence","429,088","(+/-10,141)","527,112","(+/-9,470)","543,096","(+/-8,225)","530,630","(+/-8,324)","528,204","(+/-8,942)","537,005","(+/-8,378)","454,702","(+/-10,818)","579,683","(+/-6,255)","462,495","(+/-7,958)"
People,"Place of Birth","Different state","276,248","(+/-9,527)","166,627","(+/-7,639)","174,795","(+/-8,602)","193,394","(+/-7,620)","198,731","(+/-9,054)","165,699","(+/-7,535)","181,816","(+/-10,030)","155,259","(+/-5,839)","266,756","(+/-8,510)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,076","(+/-1,848)","6,370","(+/-1,631)","7,576","(+/-2,532)","4,214",(+/-952),"6,857","(+/-1,583)","7,737","(+/-2,280)","8,887","(+/-2,560)","2,785",(+/-809),"5,705","(+/-1,524)"
People,"Place of Birth","Foreign born","44,521","(+/-4,211)","49,977","(+/-3,773)","39,369","(+/-4,211)","49,834","(+/-3,553)","48,207","(+/-4,030)","54,036","(+/-5,055)","101,790","(+/-8,247)","18,915","(+/-2,110)","26,003","(+/-2,774)"
People,Ancestry,"Total population","757,933","(+/-3,403)","750,086","(+/-4,550)","764,836","(+/-3,092)","778,072","(+/-2,309)","781,999","(+/-1,571)","764,477","(+/-3,704)","747,195",(+/-791),"756,642","(+/-1,442)","760,959","(+/-3,240)"
People,Ancestry,American,"26,451","(+/-4,303)","57,997","(+/-6,227)","54,307","(+/-4,703)","73,647","(+/-7,934)","55,173","(+/-6,265)","68,749","(+/-7,902)","28,618","(+/-4,448)","55,488","(+/-5,357)","69,499","(+/-6,065)"
People,Ancestry,Arab,"4,306","(+/-2,016)","2,030","(+/-1,458)","2,611","(+/-1,235)","2,811","(+/-1,173)","5,606","(+/-2,273)",568,(+/-434),"3,646","(+/-2,238)","1,595",(+/-936),"1,299",(+/-839)
