Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population","798,244","(+/-1,704)","791,219","(+/-1,693)","821,239","(+/-2,652)","796,302","(+/-2,398)"
People,"Sex and Age",Male,"398,630","(+/-2,397)","391,791","(+/-2,326)","409,355","(+/-2,334)","402,537","(+/-2,943)"
People,"Sex and Age",Female,"399,614","(+/-2,417)","399,428","(+/-2,296)","411,884","(+/-2,010)","393,765","(+/-2,151)"
People,"Sex and Age","Under 5 years","42,697",(+/-943),"45,031","(+/-1,069)","50,841",(+/-794),"43,494","(+/-1,504)"
People,"Sex and Age","5 to 9 years","47,294","(+/-3,271)","48,371","(+/-2,288)","57,469","(+/-2,880)","47,162","(+/-2,421)"
People,"Sex and Age","10 to 14 years","51,945","(+/-3,205)","48,456","(+/-2,481)","54,254","(+/-3,023)","55,619","(+/-2,174)"
People,"Sex and Age","15 to 19 years","55,030","(+/-2,023)","55,113","(+/-2,078)","54,735","(+/-1,800)","60,592","(+/-2,144)"
People,"Sex and Age","20 to 24 years","60,190","(+/-2,262)","51,135","(+/-1,743)","50,659","(+/-1,910)","60,492","(+/-2,378)"
People,"Sex and Age","25 to 34 years","96,001","(+/-2,671)","94,603","(+/-2,421)","111,362","(+/-2,531)","96,660","(+/-2,275)"
People,"Sex and Age","35 to 44 years","102,742","(+/-2,465)","97,670","(+/-2,183)","117,121","(+/-2,348)","92,880","(+/-2,445)"
People,"Sex and Age","45 to 54 years","91,992","(+/-1,914)","88,637","(+/-1,766)","97,398","(+/-1,994)","86,339","(+/-2,126)"
People,"Sex and Age","55 to 59 years","46,940","(+/-2,407)","48,000","(+/-2,272)","45,844","(+/-3,118)","41,539","(+/-2,491)"
People,"Sex and Age","60 to 64 years","53,893","(+/-2,276)","54,459","(+/-2,343)","50,808","(+/-3,164)","56,649","(+/-2,334)"
People,"Sex and Age","65 to 74 years","86,888","(+/-1,285)","91,364","(+/-1,114)","76,203","(+/-1,095)","90,768","(+/-1,320)"
People,"Sex and Age","75 to 84 years","46,933","(+/-1,620)","49,175","(+/-1,550)","38,475","(+/-1,638)","44,057","(+/-1,612)"
People,"Sex and Age","85 years and over","15,699","(+/-1,573)","19,205","(+/-1,554)","16,070","(+/-1,682)","20,051","(+/-1,578)"
People,"Sex and Age","Median age (years)",39.3,(+/-0.4),40.6,(+/-0.4),37.9,(+/-0.3),38.9,(+/-0.3)
People,"Sex and Age","18 years and over","625,061","(+/-1,669)","616,884","(+/-1,727)","623,178","(+/-1,934)","616,334","(+/-2,259)"
People,"Sex and Age","65 years and over","149,520","(+/-1,356)","159,744","(+/-1,254)","130,748","(+/-1,295)","154,876","(+/-1,593)"
People,Race,"Total population","798,244","(+/-1,704)","791,219","(+/-1,693)","821,239","(+/-2,652)","796,302","(+/-2,398)"
People,Race,"One race","745,966","(+/-4,737)","748,725","(+/-4,825)","767,862","(+/-7,046)","735,543","(+/-5,590)"
People,Race,White,"678,461","(+/-2,941)","689,729","(+/-2,911)","660,816","(+/-5,215)","672,307","(+/-4,924)"
People,Race,"Black or African American","32,699","(+/-3,087)","33,282","(+/-3,121)","44,462","(+/-3,454)","18,438","(+/-1,521)"
People,Race,"American Indian and Alaska Native","1,705",(+/-832),"2,719",(+/-797),"3,349","(+/-1,737)","4,942","(+/-1,490)"
People,Race,Asian,"16,406","(+/-1,454)","11,636","(+/-1,892)","32,097","(+/-1,810)","15,667","(+/-1,620)"
People,Race,"Native Hawaiian and Other Pacific Islander",649,(+/-478),"1,375","(+/-1,401)",927,(+/-749),"1,474",(+/-515)
People,Race,"Some other race","16,046","(+/-3,038)","9,984","(+/-1,917)","26,211","(+/-4,353)","22,715","(+/-3,722)"
People,Race,"Two or more races","52,278","(+/-4,718)","42,494","(+/-4,513)","53,377","(+/-6,640)","60,759","(+/-5,231)"
People,"Hispanic or Latino and Race","Total population","798,244","(+/-1,704)","791,219","(+/-1,693)","821,239","(+/-2,652)","796,302","(+/-2,398)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","47,253",(+/-499),"32,152",(+/-897),"71,957",(+/-837),"82,786",(+/-842)
People,"Hispanic or Latino and Race",Mexican,"32,863","(+/-2,471)","18,917","(+/-2,162)","47,888","(+/-4,881)","56,794","(+/-4,125)"
