Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population","726,249","(+/-2,287)","725,930","(+/-7,474)","749,221","(+/-6,596)","739,147","(+/-2,100)"
People,"Sex and Age",Male,"370,299","(+/-3,177)","367,500","(+/-5,107)","369,448","(+/-3,713)","369,254","(+/-1,965)"
People,"Sex and Age",Female,"355,950","(+/-3,186)","358,430","(+/-4,455)","379,773","(+/-3,793)","369,893","(+/-1,845)"
People,"Sex and Age","Under 5 years","38,746","(+/-1,197)","44,218","(+/-1,759)","43,028","(+/-1,280)","43,838",(+/-505)
People,"Sex and Age","5 to 9 years","41,593","(+/-2,592)","44,152","(+/-3,369)","48,687","(+/-3,287)","48,431","(+/-2,999)"
People,"Sex and Age","10 to 14 years","48,933","(+/-2,935)","50,793","(+/-3,336)","52,731","(+/-3,678)","54,287","(+/-3,009)"
People,"Sex and Age","15 to 19 years","58,444","(+/-2,923)","52,208","(+/-2,487)","47,203","(+/-1,536)","52,758","(+/-1,592)"
People,"Sex and Age","20 to 24 years","69,578","(+/-3,485)","50,738","(+/-3,091)","45,826","(+/-1,406)","48,103","(+/-1,587)"
People,"Sex and Age","25 to 34 years","92,632","(+/-3,541)","87,876","(+/-3,251)","99,723","(+/-2,085)","97,597","(+/-1,282)"
People,"Sex and Age","35 to 44 years","90,407","(+/-3,124)","91,910","(+/-2,738)","109,435","(+/-2,218)","96,049","(+/-1,350)"
People,"Sex and Age","45 to 54 years","74,455","(+/-2,740)","78,761","(+/-2,614)","90,311","(+/-1,586)","82,133","(+/-1,156)"
People,"Sex and Age","55 to 59 years","37,071","(+/-2,269)","38,078","(+/-2,263)","42,745","(+/-2,760)","40,024","(+/-2,365)"
People,"Sex and Age","60 to 64 years","44,852","(+/-2,288)","49,398","(+/-2,623)","47,036","(+/-3,007)","47,394","(+/-2,397)"
People,"Sex and Age","65 to 74 years","75,317","(+/-1,652)","82,614","(+/-2,056)","72,725","(+/-1,066)","76,334",(+/-985)
