Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population","750,693","(+/-4,304)","775,707","(+/-7,888)","733,409","(+/-6,703)","768,776","(+/-4,620)","738,681","(+/-3,679)","758,888","(+/-4,002)"
People,"Sex and Age",Male,"371,878","(+/-3,214)","386,292","(+/-5,180)","355,644","(+/-4,058)","383,142","(+/-3,643)","370,662","(+/-2,821)","376,072","(+/-3,179)"
People,"Sex and Age",Female,"378,815","(+/-3,611)","389,415","(+/-4,569)","377,765","(+/-3,367)","385,634","(+/-3,161)","368,019","(+/-2,950)","382,816","(+/-2,943)"
People,"Sex and Age","Under 5 years","45,796","(+/-1,882)","45,409","(+/-1,916)","45,203",(+/-839),"44,364","(+/-1,870)","40,774","(+/-1,280)","43,087","(+/-1,494)"
People,"Sex and Age","5 to 9 years","46,248","(+/-3,029)","49,139","(+/-2,937)","40,959","(+/-3,468)","50,037","(+/-3,020)","47,889","(+/-2,823)","44,128","(+/-2,907)"
People,"Sex and Age","10 to 14 years","45,828","(+/-2,986)","51,005","(+/-3,281)","47,749","(+/-3,451)","52,967","(+/-2,568)","44,924","(+/-3,386)","46,453","(+/-3,205)"
People,"Sex and Age","15 to 19 years","45,150","(+/-2,348)","49,959","(+/-2,642)","44,395",(+/-980),"48,622","(+/-1,570)","43,671","(+/-2,066)","54,924","(+/-1,891)"
People,"Sex and Age","20 to 24 years","50,820","(+/-2,971)","52,514","(+/-2,652)","44,624",(+/-868),"45,996","(+/-2,399)","43,434","(+/-2,349)","62,811","(+/-2,119)"
People,"Sex and Age","25 to 34 years","95,671","(+/-2,930)","96,926","(+/-3,609)","110,645",(+/-758),"97,970","(+/-2,347)","89,649","(+/-2,498)","104,807","(+/-2,332)"
People,"Sex and Age","35 to 44 years","90,628","(+/-2,691)","97,538","(+/-3,483)","95,426","(+/-2,349)","99,789","(+/-2,480)","90,541","(+/-2,168)","95,837","(+/-2,704)"
People,"Sex and Age","45 to 54 years","87,888","(+/-2,426)","97,927","(+/-3,421)","83,283","(+/-2,179)","101,167","(+/-2,388)","94,368","(+/-2,284)","91,275","(+/-2,145)"
People,"Sex and Age","55 to 59 years","47,706","(+/-3,174)","49,828","(+/-3,590)","43,303","(+/-2,949)","47,200","(+/-2,549)","48,848","(+/-2,558)","45,872","(+/-2,905)"
People,"Sex and Age","60 to 64 years","49,959","(+/-3,097)","50,920","(+/-3,455)","47,142","(+/-3,085)","51,530","(+/-2,628)","53,264","(+/-2,999)","45,600","(+/-2,886)"
People,"Sex and Age","65 to 74 years","86,736","(+/-2,099)","81,288","(+/-2,017)","77,537","(+/-1,195)","79,261","(+/-1,585)","85,605","(+/-1,353)","74,151","(+/-1,571)"
