Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population","770,713","(+/-11,557)","742,904","(+/-14,389)","762,638","(+/-2,387)","757,390","(+/-1,443)","754,781","(+/-6,355)","785,323","(+/-11,479)"
People,"Sex and Age",Male,"382,214","(+/-6,948)","352,955","(+/-8,195)","371,900","(+/-2,968)","374,379","(+/-2,555)","372,375","(+/-5,293)","382,317","(+/-7,315)"
People,"Sex and Age",Female,"388,499","(+/-7,377)","389,949","(+/-8,926)","390,738","(+/-2,821)","383,011","(+/-2,584)","382,406","(+/-4,832)","403,006","(+/-6,619)"
People,"Sex and Age","Under 5 years","44,329","(+/-2,626)","45,168","(+/-3,506)","49,406","(+/-1,439)","44,959","(+/-1,613)","42,261","(+/-1,988)","49,513","(+/-2,819)"
People,"Sex and Age","5 to 9 years","50,434","(+/-3,945)","40,152","(+/-4,307)","52,981","(+/-3,741)","50,968","(+/-3,313)","49,399","(+/-3,882)","52,562","(+/-4,698)"
People,"Sex and Age","10 to 14 years","45,180","(+/-4,199)","47,444","(+/-3,943)","52,335","(+/-3,762)","52,536","(+/-3,417)","50,864","(+/-3,924)","54,860","(+/-4,681)"
People,"Sex and Age","15 to 19 years","50,886","(+/-3,447)","45,658","(+/-2,896)","50,415","(+/-2,365)","48,934","(+/-2,238)","50,689","(+/-2,985)","55,537","(+/-2,922)"
People,"Sex and Age","20 to 24 years","45,118","(+/-3,324)","46,010","(+/-3,304)","45,788","(+/-2,544)","46,565","(+/-3,119)","49,291","(+/-3,514)","60,614","(+/-3,393)"
People,"Sex and Age","25 to 34 years","93,874","(+/-4,619)","104,767","(+/-4,868)","98,517","(+/-3,107)","92,511","(+/-3,401)","97,569","(+/-4,073)","102,227","(+/-4,579)"
People,"Sex and Age","35 to 44 years","103,456","(+/-4,561)","105,610","(+/-5,148)","103,039","(+/-3,075)","100,276","(+/-2,916)","98,892","(+/-4,060)","111,260","(+/-3,775)"
People,"Sex and Age","45 to 54 years","92,380","(+/-4,267)","84,012","(+/-4,493)","86,554","(+/-2,764)","88,777","(+/-3,249)","88,185","(+/-3,845)","89,258","(+/-3,398)"
People,"Sex and Age","55 to 59 years","49,241","(+/-3,499)","43,423","(+/-3,300)","45,094","(+/-3,329)","44,806","(+/-2,481)","42,975","(+/-2,825)","40,747","(+/-3,450)"
People,"Sex and Age","60 to 64 years","50,791","(+/-3,291)","51,062","(+/-3,047)","51,170","(+/-3,080)","50,483","(+/-2,131)","49,798","(+/-2,851)","47,548","(+/-3,494)"
People,"Sex and Age","65 to 74 years","86,849","(+/-2,486)","80,990","(+/-2,735)","79,038","(+/-1,570)","81,354","(+/-1,312)","81,384","(+/-2,421)","74,248","(+/-2,694)"
People,"Sex and Age","75 to 84 years","42,834","(+/-2,807)","37,911","(+/-2,249)","37,632","(+/-1,760)","42,954","(+/-1,823)","40,220","(+/-1,950)","36,465","(+/-2,674)"
People,"Sex and Age","85 years and over","15,341","(+/-1,912)","10,697","(+/-1,441)","10,669","(+/-1,709)","12,267","(+/-1,429)","13,254","(+/-1,486)","10,484","(+/-1,923)"
People,"Sex and Age","Median age (years)",40.4,(+/-0.6),39.0,(+/-0.7),38.0,(+/-0.4),39.4,(+/-0.7),38.9,(+/-0.6),36.7,(+/-0.5)
People,"Sex and Age","18 years and over","596,131","(+/-7,831)","581,668","(+/-9,978)","575,088","(+/-2,028)","577,876","(+/-1,465)","581,723","(+/-5,175)","597,827","(+/-8,754)"
People,"Sex and Age","65 years and over","145,024","(+/-3,324)","129,598","(+/-3,339)","127,339","(+/-1,697)","136,575","(+/-1,544)","134,858","(+/-2,742)","121,197","(+/-3,463)"
People,Race,"Total population","770,713","(+/-11,557)","742,904","(+/-14,389)","762,638","(+/-2,387)","757,390","(+/-1,443)","754,781","(+/-6,355)","785,323","(+/-11,479)"
People,Race,"One race","675,924","(+/-11,040)","690,271","(+/-15,113)","698,085","(+/-6,691)","712,736","(+/-4,561)","713,998","(+/-8,001)","722,330","(+/-13,394)"
People,Race,White,"523,826","(+/-9,428)","200,225","(+/-8,260)","499,235","(+/-3,697)","428,398","(+/-2,708)","446,617","(+/-7,229)","495,777","(+/-7,283)"
People,Race,"Black or African American","98,428","(+/-7,615)","436,861","(+/-12,225)","172,761","(+/-5,700)","257,626","(+/-3,967)","246,010","(+/-7,007)","173,469","(+/-10,723)"
People,Race,"American Indian and Alaska Native","13,799","(+/-3,138)","4,697","(+/-2,885)","2,695",(+/-996),"4,893",(+/-736),"5,293","(+/-2,942)","6,091","(+/-2,198)"
People,Race,Asian,"17,109","(+/-2,522)","18,030","(+/-2,783)","11,853",(+/-988),"7,909","(+/-1,027)","6,119",(+/-978),"19,123","(+/-1,582)"
People,Race,"Native Hawaiian and Other Pacific Islander",284,(+/-345),258,(+/-398),"2,085","(+/-2,122)","1,574","(+/-1,283)",54,(+/-89),265,(+/-317)
People,Race,"Some other race","22,478","(+/-4,992)","30,200","(+/-6,164)","9,456","(+/-2,863)","12,336","(+/-3,153)","9,905","(+/-1,975)","27,605","(+/-6,759)"
People,Race,"Two or more races","94,789","(+/-8,502)","52,633","(+/-6,029)","64,553","(+/-6,395)","44,654","(+/-4,230)","40,783","(+/-5,540)","62,993","(+/-7,865)"
People,"Hispanic or Latino and Race","Total population","770,713","(+/-11,557)","742,904","(+/-14,389)","762,638","(+/-2,387)","757,390","(+/-1,443)","754,781","(+/-6,355)","785,323","(+/-11,479)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","100,735","(+/-5,654)","64,388","(+/-5,782)","42,635",(+/-424),"35,275","(+/-1,238)","28,871","(+/-2,308)","55,100","(+/-2,672)"
People,"Hispanic or Latino and Race",Mexican,"17,590","(+/-3,613)","13,887","(+/-3,783)","16,577","(+/-3,110)","22,244","(+/-2,359)","15,769","(+/-2,720)","14,514","(+/-4,116)"
People,"Hispanic or Latino and Race","Puerto Rican","7,266","(+/-2,591)","4,796","(+/-1,330)","2,374","(+/-1,404)","3,080",(+/-896),"1,249",(+/-826),"2,496","(+/-1,835)"
People,"Hispanic or Latino and Race",Cuban,"5,134","(+/-1,703)","2,232",(+/-956),"2,680","(+/-1,854)",608,(+/-335),"1,065",(+/-763),"2,028","(+/-1,394)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","70,745","(+/-6,897)","43,473","(+/-5,057)","21,004","(+/-2,936)","9,343","(+/-1,973)","10,788","(+/-2,712)","36,062","(+/-4,591)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","669,978","(+/-9,685)","678,516","(+/-13,672)","720,003","(+/-2,394)","722,115","(+/-1,702)","725,910","(+/-6,616)","730,223","(+/-11,449)"
People,"Place of Birth","Total population","770,713","(+/-11,557)","742,904","(+/-14,389)","762,638","(+/-2,387)","757,390","(+/-1,443)","754,781","(+/-6,355)","785,323","(+/-11,479)"
People,"Place of Birth",Native,"711,190","(+/-11,409)","692,503","(+/-14,710)","738,185","(+/-4,820)","740,056","(+/-2,336)","735,558","(+/-7,247)","733,585","(+/-12,689)"
People,"Place of Birth","Born in United States","704,375","(+/-10,895)","687,813","(+/-14,579)","732,811","(+/-4,695)","734,792","(+/-2,657)","733,376","(+/-7,124)","728,376","(+/-12,161)"
People,"Place of Birth","State of residence","559,014","(+/-12,193)","564,025","(+/-13,647)","630,723","(+/-8,722)","578,962","(+/-7,521)","592,881","(+/-8,751)","602,197","(+/-13,613)"
People,"Place of Birth","Different state","145,361","(+/-7,630)","123,788","(+/-8,698)","102,088","(+/-7,887)","155,830","(+/-7,057)","140,495","(+/-7,177)","126,179","(+/-8,248)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","6,815","(+/-2,059)","4,690","(+/-1,172)","5,374","(+/-1,533)","5,264","(+/-1,191)","2,182",(+/-717),"5,209","(+/-1,998)"
People,"Place of Birth","Foreign born","59,523","(+/-5,857)","50,401","(+/-5,518)","24,453","(+/-3,862)","17,334","(+/-2,210)","19,223","(+/-2,432)","51,738","(+/-6,082)"
