Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","700,340","(+/-4,722)","695,382","(+/-4,722)"
People,"Sex and Age",Male,"342,553","(+/-2,732)","342,573","(+/-2,705)"
People,"Sex and Age",Female,"357,787","(+/-3,158)","352,809","(+/-3,469)"
People,"Sex and Age","Under 5 years","29,004","(+/-1,233)","30,894","(+/-1,028)"
People,"Sex and Age","5 to 9 years","34,297","(+/-2,854)","32,082","(+/-2,773)"
People,"Sex and Age","10 to 14 years","34,662","(+/-2,505)","37,930","(+/-2,404)"
People,"Sex and Age","15 to 19 years","39,206","(+/-1,595)","40,780","(+/-1,587)"
People,"Sex and Age","20 to 24 years","37,702","(+/-1,627)","39,705","(+/-1,830)"
People,"Sex and Age","25 to 34 years","87,979","(+/-2,500)","80,286","(+/-1,891)"
People,"Sex and Age","35 to 44 years","91,431","(+/-1,959)","84,326","(+/-2,010)"
People,"Sex and Age","45 to 54 years","84,309","(+/-1,859)","83,793","(+/-1,496)"
People,"Sex and Age","55 to 59 years","47,584","(+/-2,687)","47,439","(+/-2,619)"
People,"Sex and Age","60 to 64 years","54,634","(+/-3,095)","57,559","(+/-2,787)"
People,"Sex and Age","65 to 74 years","94,196","(+/-1,248)","95,611","(+/-1,304)"
People,"Sex and Age","75 to 84 years","48,695","(+/-1,923)","51,122","(+/-1,316)"
People,"Sex and Age","85 years and over","16,641","(+/-1,818)","13,855","(+/-1,226)"
People,"Sex and Age","Median age (years)",44.5,(+/-0.4),45.2,(+/-0.4)
People,"Sex and Age","18 years and over","578,943","(+/-3,338)","571,001","(+/-3,390)"
People,"Sex and Age","65 years and over","159,532","(+/-1,587)","160,588","(+/-1,476)"
People,Race,"Total population","700,340","(+/-4,722)","695,382","(+/-4,722)"
People,Race,"One race","650,820","(+/-7,815)","662,699","(+/-5,109)"
People,Race,White,"621,698","(+/-7,037)","635,792","(+/-5,144)"
People,Race,"Black or African American","13,431","(+/-1,884)","11,369",(+/-970)
People,Race,"American Indian and Alaska Native","1,431",(+/-722),"4,633","(+/-1,123)"
People,Race,Asian,"9,542","(+/-1,341)","6,336",(+/-826)
People,Race,"Native Hawaiian and Other Pacific Islander",263,(+/-318),469,(+/-306)
People,Race,"Some other race","4,455","(+/-1,600)","4,100",(+/-924)
People,Race,"Two or more races","49,520","(+/-5,842)","32,683","(+/-3,148)"
People,"Hispanic or Latino and Race","Total population","700,340","(+/-4,722)","695,382","(+/-4,722)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","16,980",(+/-675),"14,204",(+/-704)
People,"Hispanic or Latino and Race",Mexican,"3,078","(+/-1,272)","4,455","(+/-1,262)"
People,"Hispanic or Latino and Race","Puerto Rican","3,744","(+/-1,298)","4,066","(+/-1,257)"
People,"Hispanic or Latino and Race",Cuban,869,(+/-377),"1,267",(+/-609)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","9,289","(+/-1,397)","4,416",(+/-954)
People,"Hispanic or Latino and Race","Not Hispanic or Latino","683,360","(+/-4,780)","681,178","(+/-4,792)"
People,"Place of Birth","Total population","700,340","(+/-4,722)","695,382","(+/-4,722)"
People,"Place of Birth",Native,"669,369","(+/-5,494)","672,905","(+/-4,822)"
