Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population","713,000","(+/-1,694)","733,289","(+/-3,556)","699,786","(+/-7,383)","699,739","(+/-4,392)","702,050","(+/-7,171)","747,036","(+/-6,029)","715,239","(+/-3,763)","727,776","(+/-3,865)"
People,"Sex and Age",Male,"356,844","(+/-2,303)","364,409","(+/-2,706)","339,473","(+/-5,544)","342,319","(+/-2,633)","358,096","(+/-5,393)","377,283","(+/-4,610)","361,923","(+/-2,947)","369,661","(+/-2,509)"
People,"Sex and Age",Female,"356,156","(+/-2,135)","368,880","(+/-2,317)","360,313","(+/-5,344)","357,420","(+/-2,653)","343,954","(+/-5,770)","369,753","(+/-3,881)","353,316","(+/-2,906)","358,115","(+/-2,431)"
People,"Sex and Age","Under 5 years","40,477","(+/-1,250)","43,216","(+/-1,553)","41,465","(+/-3,395)","41,132","(+/-1,299)","38,608","(+/-3,355)","45,411","(+/-2,149)","41,280","(+/-1,574)","35,406","(+/-1,074)"
People,"Sex and Age","5 to 9 years","44,807","(+/-2,159)","46,947","(+/-3,027)","44,068","(+/-3,120)","44,057","(+/-3,403)","32,620","(+/-3,930)","51,035","(+/-2,429)","45,953","(+/-1,692)","39,109","(+/-1,562)"
People,"Sex and Age","10 to 14 years","44,418","(+/-2,007)","55,226","(+/-3,101)","48,411","(+/-3,820)","46,954","(+/-3,163)","41,474","(+/-3,565)","58,390","(+/-2,803)","46,867","(+/-1,879)","44,169","(+/-1,801)"
People,"Sex and Age","15 to 19 years","51,480","(+/-2,112)","50,796","(+/-1,820)","41,429","(+/-2,973)","46,415","(+/-1,882)","44,694","(+/-2,780)","56,905","(+/-1,999)","45,856","(+/-1,240)","48,427","(+/-1,567)"
People,"Sex and Age","20 to 24 years","47,791","(+/-1,911)","43,345","(+/-1,994)","28,738","(+/-3,450)","42,911","(+/-1,792)","55,567","(+/-3,718)","46,475","(+/-2,488)","39,552","(+/-1,701)","44,459","(+/-1,940)"
People,"Sex and Age","25 to 34 years","87,384","(+/-2,429)","86,348","(+/-2,106)","82,176","(+/-5,576)","101,910","(+/-1,456)","136,862","(+/-5,401)","85,211","(+/-2,800)","82,625","(+/-2,165)","77,159","(+/-1,684)"
People,"Sex and Age","35 to 44 years","89,150","(+/-1,906)","108,129","(+/-2,787)","97,622","(+/-4,885)","97,465","(+/-2,129)","108,674","(+/-4,714)","106,305","(+/-2,345)","86,249","(+/-1,779)","91,180","(+/-1,800)"
