Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population","745,641","(+/-2,669)","701,580","(+/-5,661)","740,675","(+/-6,398)","751,794","(+/-3,215)"
People,"Sex and Age",Male,"365,112","(+/-3,092)","341,391","(+/-4,910)","354,685","(+/-4,674)","363,733","(+/-3,078)"
People,"Sex and Age",Female,"380,529","(+/-3,201)","360,189","(+/-4,231)","385,990","(+/-4,796)","388,061","(+/-3,596)"
People,"Sex and Age","Under 5 years","40,029","(+/-1,586)","39,797","(+/-2,610)","44,164","(+/-2,450)","43,025","(+/-1,826)"
People,"Sex and Age","5 to 9 years","46,209","(+/-3,200)","44,631","(+/-4,192)","44,468","(+/-3,772)","41,795","(+/-3,394)"
People,"Sex and Age","10 to 14 years","51,126","(+/-3,258)","45,296","(+/-3,821)","49,919","(+/-3,841)","52,291","(+/-3,808)"
People,"Sex and Age","15 to 19 years","61,723","(+/-3,158)","54,827","(+/-3,023)","53,015","(+/-2,781)","54,326","(+/-3,116)"
People,"Sex and Age","20 to 24 years","48,001","(+/-3,254)","44,533","(+/-2,997)","53,661","(+/-3,550)","46,707","(+/-3,054)"
People,"Sex and Age","25 to 34 years","88,780","(+/-3,656)","77,428","(+/-4,258)","92,076","(+/-4,466)","92,444","(+/-3,572)"
People,"Sex and Age","35 to 44 years","103,574","(+/-3,642)","90,254","(+/-4,241)","94,399","(+/-3,651)","100,801","(+/-3,000)"
People,"Sex and Age","45 to 54 years","88,532","(+/-3,123)","86,683","(+/-4,406)","90,271","(+/-3,295)","92,208","(+/-3,085)"
People,"Sex and Age","55 to 59 years","44,859","(+/-3,301)","40,550","(+/-3,167)","40,109","(+/-3,194)","44,486","(+/-2,697)"
People,"Sex and Age","60 to 64 years","47,015","(+/-3,119)","49,040","(+/-3,195)","46,840","(+/-3,116)","53,306","(+/-2,638)"
People,"Sex and Age","65 to 74 years","76,162","(+/-1,830)","79,946","(+/-1,860)","78,310","(+/-1,861)","77,235","(+/-1,485)"
People,"Sex and Age","75 to 84 years","37,737","(+/-1,878)","36,982","(+/-1,999)","39,431","(+/-2,210)","43,105","(+/-1,472)"
People,"Sex and Age","85 years and over","11,894","(+/-1,720)","11,613","(+/-1,585)","14,012","(+/-1,772)","10,065","(+/-1,739)"
People,"Sex and Age","Median age (years)",38.3,(+/-0.5),40.4,(+/-0.6),38.7,(+/-0.7),40.0,(+/-0.4)
People,"Sex and Age","18 years and over","573,485","(+/-2,109)","540,018","(+/-4,373)","569,369","(+/-4,766)","581,584","(+/-2,936)"
People,"Sex and Age","65 years and over","125,793","(+/-1,733)","128,541","(+/-2,006)","131,753","(+/-2,056)","130,405","(+/-1,750)"
People,Race,"Total population","745,641","(+/-2,669)","701,580","(+/-5,661)","740,675","(+/-6,398)","751,794","(+/-3,215)"
People,Race,"One race","706,296","(+/-6,735)","675,651","(+/-7,263)","706,976","(+/-7,694)","697,912","(+/-5,826)"
People,Race,White,"473,560","(+/-3,059)","223,113","(+/-3,912)","431,826","(+/-4,254)","506,745","(+/-4,598)"
People,Race,"Black or African American","201,709","(+/-6,570)","438,722","(+/-8,298)","246,188","(+/-7,893)","160,726","(+/-5,173)"
People,Race,"American Indian and Alaska Native","2,706","(+/-1,487)","2,137","(+/-1,032)","8,342","(+/-1,939)","2,044","(+/-1,154)"
People,Race,Asian,"5,958","(+/-1,050)","4,175","(+/-1,370)","8,200","(+/-1,193)","9,516","(+/-1,751)"
People,Race,"Native Hawaiian and Other Pacific Islander",269,(+/-351),71,(+/-137),"1,041","(+/-1,195)",53,(+/-79)
People,Race,"Some other race","22,094","(+/-5,341)","7,433","(+/-2,170)","11,379","(+/-3,185)","18,828","(+/-3,883)"
People,Race,"Two or more races","39,345","(+/-5,930)","25,929","(+/-4,721)","33,699","(+/-4,961)","53,882","(+/-5,168)"
