Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population","741,792","(+/-10,292)","764,420","(+/-12,115)","781,181","(+/-10,579)","788,949","(+/-8,229)","760,843","(+/-6,500)","785,446","(+/-6,414)","790,923","(+/-3,756)","782,602","(+/-5,587)"
People,"Sex and Age",Male,"353,772","(+/-6,405)","373,029","(+/-7,302)","387,325","(+/-5,918)","398,007","(+/-5,448)","370,771","(+/-4,804)","392,737","(+/-3,976)","389,250","(+/-2,782)","391,885","(+/-4,247)"
People,"Sex and Age",Female,"388,020","(+/-5,983)","391,391","(+/-6,855)","393,856","(+/-6,126)","390,942","(+/-4,996)","390,072","(+/-3,807)","392,709","(+/-3,854)","401,673","(+/-2,868)","390,717","(+/-3,870)"
People,"Sex and Age","Under 5 years","41,956","(+/-2,236)","39,368","(+/-2,559)","40,590","(+/-2,235)","46,579","(+/-2,022)","44,782","(+/-1,662)","45,657","(+/-1,670)","43,697","(+/-1,200)","45,787","(+/-1,566)"
People,"Sex and Age","5 to 9 years","38,803","(+/-3,730)","48,270","(+/-3,980)","41,923","(+/-2,703)","51,409","(+/-2,983)","48,989","(+/-3,154)","50,869","(+/-3,297)","50,986","(+/-2,555)","48,000","(+/-3,397)"
People,"Sex and Age","10 to 14 years","44,157","(+/-3,936)","49,113","(+/-3,388)","49,962","(+/-3,146)","51,586","(+/-3,495)","45,306","(+/-3,297)","50,606","(+/-3,169)","50,198","(+/-2,398)","50,777","(+/-2,988)"
People,"Sex and Age","15 to 19 years","47,751","(+/-2,625)","46,085","(+/-2,509)","51,746","(+/-2,464)","57,376","(+/-2,438)","47,950","(+/-1,940)","55,059","(+/-2,691)","53,653","(+/-1,745)","55,356","(+/-2,857)"
People,"Sex and Age","20 to 24 years","53,297","(+/-2,847)","36,601","(+/-3,162)","60,778","(+/-3,311)","52,903","(+/-3,350)","48,978","(+/-1,912)","45,582","(+/-2,419)","58,859","(+/-1,738)","49,002","(+/-2,150)"
People,"Sex and Age","25 to 34 years","118,470","(+/-3,301)","87,784","(+/-4,150)","99,341","(+/-3,646)","93,870","(+/-4,002)","122,247","(+/-2,961)","93,726","(+/-3,838)","100,512","(+/-1,916)","90,823","(+/-2,316)"
People,"Sex and Age","35 to 44 years","98,896","(+/-3,021)","100,491","(+/-3,279)","100,501","(+/-3,518)","101,249","(+/-3,491)","102,367","(+/-2,981)","102,983","(+/-3,334)","97,379","(+/-1,838)","96,428","(+/-2,247)"
People,"Sex and Age","45 to 54 years","81,207","(+/-3,604)","96,448","(+/-3,779)","87,558","(+/-3,154)","88,530","(+/-3,611)","86,692","(+/-2,928)","92,733","(+/-2,805)","92,704","(+/-1,743)","94,360","(+/-2,563)"
People,"Sex and Age","55 to 59 years","42,591","(+/-2,773)","51,367","(+/-3,238)","46,054","(+/-3,424)","47,962","(+/-2,640)","39,804","(+/-2,769)","44,877","(+/-2,501)","47,593","(+/-2,787)","47,222","(+/-2,721)"
People,"Sex and Age","60 to 64 years","46,521","(+/-3,492)","55,249","(+/-3,331)","57,067","(+/-3,028)","51,079","(+/-2,343)","50,311","(+/-3,053)","56,151","(+/-2,770)","49,568","(+/-2,908)","56,598","(+/-2,862)"
People,"Sex and Age","65 to 74 years","77,175","(+/-2,418)","90,948","(+/-2,842)","85,410","(+/-2,550)","86,773","(+/-2,116)","73,503","(+/-2,231)","86,795","(+/-2,204)","84,716","(+/-1,154)","86,367","(+/-1,766)"
People,"Sex and Age","75 to 84 years","37,767","(+/-2,426)","45,377","(+/-2,452)","45,342","(+/-2,433)","45,962","(+/-1,997)","36,586","(+/-2,179)","45,029","(+/-1,799)","45,836","(+/-1,686)","46,672","(+/-2,125)"
