Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","697,780","(+/-6,712)","704,274","(+/-6,712)"
People,"Sex and Age",Male,"342,085","(+/-4,884)","357,793","(+/-4,481)"
People,"Sex and Age",Female,"355,695","(+/-4,661)","346,481","(+/-5,086)"
People,"Sex and Age","Under 5 years","29,076","(+/-1,925)","33,703","(+/-1,994)"
People,"Sex and Age","5 to 9 years","32,293","(+/-2,697)","32,466","(+/-2,649)"
People,"Sex and Age","10 to 14 years","35,459","(+/-2,588)","40,026","(+/-2,786)"
People,"Sex and Age","15 to 19 years","41,606","(+/-2,438)","42,658","(+/-2,416)"
People,"Sex and Age","20 to 24 years","45,208","(+/-2,282)","38,594","(+/-2,487)"
People,"Sex and Age","25 to 34 years","87,169","(+/-3,985)","88,986","(+/-3,810)"
People,"Sex and Age","35 to 44 years","87,504","(+/-2,886)","92,302","(+/-2,935)"
People,"Sex and Age","45 to 54 years","85,244","(+/-3,462)","83,273","(+/-3,330)"
People,"Sex and Age","55 to 59 years","50,085","(+/-3,664)","47,687","(+/-3,024)"
People,"Sex and Age","60 to 64 years","58,056","(+/-3,606)","60,701","(+/-3,402)"
People,"Sex and Age","65 to 74 years","88,152","(+/-2,456)","86,996","(+/-2,595)"
People,"Sex and Age","75 to 84 years","46,548","(+/-1,950)","42,808","(+/-1,913)"
People,"Sex and Age","85 years and over","11,380","(+/-1,474)","14,074","(+/-1,378)"
People,"Sex and Age","Median age (years)",43.8,(+/-0.6),43.0,(+/-0.6)
People,"Sex and Age","18 years and over","578,084","(+/-5,757)","573,255","(+/-5,750)"
People,"Sex and Age","65 years and over","146,080","(+/-3,155)","143,878","(+/-3,383)"
People,Race,"Total population","697,780","(+/-6,712)","704,274","(+/-6,712)"
People,Race,"One race","649,114","(+/-7,813)","655,057","(+/-7,742)"
People,Race,White,"612,509","(+/-7,497)","614,670","(+/-7,053)"
People,Race,"Black or African American","10,173","(+/-2,931)","11,272","(+/-2,664)"
People,Race,"American Indian and Alaska Native",939,(+/-519),"1,184",(+/-626)
People,Race,Asian,"17,933","(+/-2,609)","18,070","(+/-2,311)"
People,Race,"Native Hawaiian and Other Pacific Islander",68,(+/-116),163,(+/-251)
People,Race,"Some other race","7,492","(+/-2,374)","9,698","(+/-2,958)"
People,Race,"Two or more races","48,666","(+/-5,517)","49,217","(+/-5,231)"
People,"Hispanic or Latino and Race","Total population","697,780","(+/-6,712)","704,274","(+/-6,712)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","32,994","(+/-3,864)","32,456","(+/-3,970)"
People,"Hispanic or Latino and Race",Mexican,"5,848","(+/-2,204)","6,177","(+/-2,462)"
People,"Hispanic or Latino and Race","Puerto Rican","11,207","(+/-2,765)","10,035","(+/-2,586)"
People,"Hispanic or Latino and Race",Cuban,684,(+/-401),950,(+/-661)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","15,255","(+/-3,415)","15,294","(+/-3,767)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","664,786","(+/-7,647)","671,818","(+/-7,759)"
People,"Place of Birth","Total population","697,780","(+/-6,712)","704,274","(+/-6,712)"
People,"Place of Birth",Native,"652,438","(+/-7,914)","654,743","(+/-7,214)"
People,"Place of Birth","Born in United States","640,148","(+/-8,606)","646,485","(+/-7,331)"
People,"Place of Birth","State of residence","278,676","(+/-10,177)","287,260","(+/-7,715)"
People,"Place of Birth","Different state","361,472","(+/-8,808)","359,225","(+/-8,818)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","12,290","(+/-2,883)","8,258","(+/-1,748)"
People,"Place of Birth","Foreign born","45,342","(+/-4,799)","49,531","(+/-4,276)"
People,Ancestry,"Total population","697,780","(+/-6,712)","704,274","(+/-6,712)"
People,Ancestry,American,"30,013","(+/-3,711)","30,898","(+/-3,532)"
People,Ancestry,Arab,"3,891","(+/-1,229)","4,691","(+/-1,680)"
People,Ancestry,Czech,"1,310",(+/-715),"1,629",(+/-798)
People,Ancestry,Danish,"1,949",(+/-843),"1,750",(+/-590)
