Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE"
People,"Sex and Age","Total population","777,528","(+/-6,286)","786,799","(+/-6,644)","782,374","(+/-7,151)","795,843","(+/-7,648)","767,729","(+/-10,029)","766,057","(+/-9,390)","778,678","(+/-11,305)","749,983","(+/-12,817)","770,658","(+/-12,233)","768,591","(+/-14,342)","775,849","(+/-9,170)","770,752","(+/-8,212)"
People,"Sex and Age",Male,"378,189","(+/-3,397)","385,252","(+/-4,906)","386,938","(+/-4,639)","386,538","(+/-5,306)","375,885","(+/-6,356)","380,568","(+/-6,534)","387,973","(+/-7,636)","379,049","(+/-8,072)","377,366","(+/-7,533)","372,296","(+/-8,339)","382,840","(+/-5,762)","380,255","(+/-6,433)"
People,"Sex and Age",Female,"399,339","(+/-3,968)","401,547","(+/-5,070)","395,436","(+/-4,882)","409,305","(+/-5,062)","391,844","(+/-6,720)","385,489","(+/-6,359)","390,705","(+/-6,631)","370,934","(+/-8,049)","393,292","(+/-7,492)","396,295","(+/-8,437)","393,009","(+/-6,077)","390,497","(+/-6,837)"
People,"Sex and Age","Under 5 years","43,786","(+/-1,317)","39,127","(+/-1,960)","41,652","(+/-2,281)","58,372","(+/-2,113)","37,274","(+/-2,734)","39,100","(+/-2,775)","35,883","(+/-2,688)","47,066","(+/-3,476)","47,730","(+/-3,088)","46,665","(+/-3,756)","40,497","(+/-2,627)","41,376","(+/-2,817)"
People,"Sex and Age","5 to 9 years","46,675","(+/-3,228)","42,586","(+/-3,986)","43,191","(+/-2,982)","55,283","(+/-3,796)","40,506","(+/-3,056)","38,908","(+/-3,116)","43,111","(+/-3,323)","45,298","(+/-4,215)","48,603","(+/-3,484)","43,574","(+/-4,057)","45,020","(+/-2,776)","45,707","(+/-4,022)"
People,"Sex and Age","10 to 14 years","46,407","(+/-3,086)","49,501","(+/-4,025)","50,488","(+/-3,362)","54,685","(+/-3,379)","48,996","(+/-3,079)","45,473","(+/-3,707)","50,796","(+/-3,562)","39,926","(+/-4,275)","48,001","(+/-3,511)","52,811","(+/-3,900)","48,857","(+/-3,659)","51,508","(+/-3,777)"
People,"Sex and Age","15 to 19 years","46,392","(+/-2,150)","49,445","(+/-2,583)","48,032","(+/-2,414)","48,531","(+/-2,373)","46,772","(+/-2,580)","57,621","(+/-2,838)","45,356","(+/-2,618)","39,159","(+/-3,105)","48,876","(+/-2,981)","49,884","(+/-3,083)","51,536","(+/-3,063)","51,047","(+/-3,330)"
People,"Sex and Age","20 to 24 years","50,816","(+/-2,468)","46,136","(+/-3,643)","43,186","(+/-2,995)","42,005","(+/-2,517)","43,614","(+/-3,102)","53,753","(+/-2,985)","40,677","(+/-3,024)","45,198","(+/-3,115)","45,008","(+/-3,491)","52,780","(+/-3,179)","44,203","(+/-3,023)","45,294","(+/-3,406)"
People,"Sex and Age","25 to 34 years","103,538","(+/-2,108)","85,075","(+/-3,489)","87,482","(+/-3,498)","88,794","(+/-3,621)","80,988","(+/-3,538)","101,886","(+/-4,597)","82,615","(+/-4,007)","146,664","(+/-4,589)","103,950","(+/-3,967)","117,205","(+/-5,840)","85,693","(+/-4,155)","98,790","(+/-5,365)"
People,"Sex and Age","35 to 44 years","106,112","(+/-1,995)","90,599","(+/-3,341)","100,536","(+/-3,473)","89,055","(+/-3,202)","97,845","(+/-4,663)","100,655","(+/-3,844)","103,920","(+/-4,636)","125,863","(+/-4,982)","111,004","(+/-5,247)","100,222","(+/-4,846)","105,810","(+/-4,178)","106,993","(+/-4,217)"
People,"Sex and Age","45 to 54 years","96,368","(+/-1,870)","98,455","(+/-3,420)","104,203","(+/-3,483)","87,310","(+/-3,337)","104,627","(+/-4,527)","100,352","(+/-3,796)","109,673","(+/-4,691)","90,548","(+/-4,103)","98,544","(+/-4,809)","97,043","(+/-4,452)","106,542","(+/-3,915)","100,166","(+/-4,450)"
People,"Sex and Age","55 to 59 years","51,590","(+/-3,240)","53,124","(+/-3,935)","56,622","(+/-3,967)","47,794","(+/-3,285)","55,901","(+/-3,338)","51,537","(+/-3,504)","61,679","(+/-4,000)","42,038","(+/-4,146)","43,968","(+/-3,665)","46,565","(+/-3,897)","52,773","(+/-3,624)","52,739","(+/-4,048)"
People,"Sex and Age","60 to 64 years","50,854","(+/-3,124)","63,204","(+/-3,453)","58,123","(+/-3,645)","55,235","(+/-3,614)","58,850","(+/-3,403)","50,475","(+/-3,333)","56,324","(+/-3,933)","39,981","(+/-3,644)","52,316","(+/-3,331)","44,531","(+/-3,663)","54,556","(+/-3,562)","48,400","(+/-4,324)"
People,"Sex and Age","65 to 74 years","80,288","(+/-1,914)","100,467","(+/-2,533)","85,197","(+/-2,727)","93,985","(+/-3,197)","82,309","(+/-3,101)","77,234","(+/-3,511)","83,147","(+/-3,324)","50,354","(+/-3,600)","74,595","(+/-3,635)","71,350","(+/-4,174)","79,432","(+/-2,981)","75,901","(+/-4,052)"
People,"Sex and Age","75 to 84 years","42,156","(+/-1,821)","54,377","(+/-2,676)","47,525","(+/-2,329)","54,194","(+/-2,937)","50,539","(+/-2,648)","35,447","(+/-2,224)","47,891","(+/-2,805)","28,317","(+/-2,542)","36,821","(+/-2,741)","34,567","(+/-2,780)","43,070","(+/-2,819)","39,397","(+/-2,954)"
People,"Sex and Age","85 years and over","12,546","(+/-1,717)","14,703","(+/-1,624)","16,137","(+/-1,667)","20,600","(+/-2,018)","19,508","(+/-2,343)","13,616","(+/-2,215)","17,606","(+/-2,220)","9,571","(+/-1,658)","11,242","(+/-1,396)","11,394","(+/-2,002)","17,860","(+/-2,179)","13,434","(+/-1,453)"
People,"Sex and Age","Median age (years)",39.5,(+/-0.4),43.9,(+/-0.5),42.6,(+/-0.5),40.5,(+/-0.6),43.8,(+/-0.7),39.5,(+/-0.8),43.7,(+/-0.7),35.8,(+/-0.4),38.8,(+/-0.6),36.8,(+/-0.5),41.9,(+/-0.6),39.9,(+/-0.8)
People,"Sex and Age","18 years and over","611,326","(+/-4,976)","623,295","(+/-5,948)","614,240","(+/-6,839)","595,249","(+/-6,459)","611,381","(+/-7,768)","613,296","(+/-7,377)","617,606","(+/-9,129)","592,870","(+/-9,400)","595,032","(+/-9,358)","596,128","(+/-10,966)","611,052","(+/-8,355)","600,201","(+/-8,558)"
People,"Sex and Age","65 years and over","134,990","(+/-2,245)","169,547","(+/-3,329)","148,859","(+/-3,306)","168,779","(+/-3,991)","152,356","(+/-4,425)","126,297","(+/-4,210)","148,644","(+/-4,646)","88,242","(+/-4,793)","122,658","(+/-4,751)","117,311","(+/-5,709)","140,362","(+/-4,255)","128,732","(+/-5,278)"
People,Race,"Total population","777,528","(+/-6,286)","786,799","(+/-6,644)","782,374","(+/-7,151)","795,843","(+/-7,648)","767,729","(+/-10,029)","766,057","(+/-9,390)","778,678","(+/-11,305)","749,983","(+/-12,817)","770,658","(+/-12,233)","768,591","(+/-14,342)","775,849","(+/-9,170)","770,752","(+/-8,212)"
People,Race,"One race","697,981","(+/-9,460)","708,446","(+/-10,161)","710,300","(+/-10,320)","723,860","(+/-11,439)","684,390","(+/-10,260)","688,295","(+/-10,325)","697,482","(+/-10,210)","577,606","(+/-15,771)","600,702","(+/-16,027)","683,081","(+/-15,550)","672,126","(+/-10,738)","703,337","(+/-10,425)"
People,Race,White,"470,589","(+/-7,101)","515,452","(+/-8,400)","505,557","(+/-9,948)","647,445","(+/-9,330)","466,140","(+/-9,353)","340,640","(+/-9,769)","541,315","(+/-10,410)","229,601","(+/-8,036)","301,207","(+/-10,702)","154,933","(+/-9,014)","488,865","(+/-9,235)","305,925","(+/-10,457)"
People,Race,"Black or African American","122,419","(+/-5,611)","85,412","(+/-5,988)","102,932","(+/-5,929)","20,190","(+/-3,317)","40,072","(+/-4,381)","89,191","(+/-6,366)","38,643","(+/-5,195)","64,831","(+/-8,632)","72,736","(+/-7,008)","376,422","(+/-10,616)","40,224","(+/-5,475)","122,251","(+/-8,547)"
People,Race,"American Indian and Alaska Native","4,666","(+/-3,881)","4,797","(+/-2,225)","3,893","(+/-1,933)","3,249","(+/-1,802)","1,746",(+/-866),"18,103","(+/-5,448)","3,487","(+/-2,403)","17,001","(+/-5,712)","5,524","(+/-2,667)","4,392","(+/-2,467)",891,(+/-517),"10,058","(+/-6,246)"
People,Race,Asian,"39,821","(+/-2,385)","28,848","(+/-2,196)","61,754","(+/-4,136)","21,584","(+/-2,936)","122,622","(+/-4,957)","146,301","(+/-5,557)","68,966","(+/-5,011)","84,971","(+/-5,320)","74,853","(+/-5,126)","50,018","(+/-5,549)","98,027","(+/-4,023)","151,097","(+/-6,668)"
People,Race,"Native Hawaiian and Other Pacific Islander",501,(+/-432),180,(+/-254),93,(+/-148),0,(+/-225),256,(+/-300),209,(+/-279),54,(+/-94),287,(+/-293),475,(+/-400),310,(+/-366),44,(+/-72),0,(+/-225)
People,Race,"Some other race","59,985","(+/-6,798)","73,757","(+/-7,877)","36,071","(+/-6,410)","31,392","(+/-7,127)","53,554","(+/-8,075)","93,851","(+/-7,981)","45,017","(+/-6,114)","180,915","(+/-14,088)","145,907","(+/-11,535)","97,006","(+/-12,181)","44,075","(+/-5,384)","114,006","(+/-8,705)"
People,Race,"Two or more races","79,547","(+/-6,878)","78,353","(+/-7,950)","72,074","(+/-7,373)","71,983","(+/-8,098)","83,339","(+/-8,091)","77,762","(+/-7,610)","81,196","(+/-6,753)","172,377","(+/-13,001)","169,956","(+/-11,859)","85,510","(+/-8,701)","103,723","(+/-8,902)","67,415","(+/-8,866)"
People,"Hispanic or Latino and Race","Total population","777,528","(+/-6,286)","786,799","(+/-6,644)","782,374","(+/-7,151)","795,843","(+/-7,648)","767,729","(+/-10,029)","766,057","(+/-9,390)","778,678","(+/-11,305)","749,983","(+/-12,817)","770,658","(+/-12,233)","768,591","(+/-14,342)","775,849","(+/-9,170)","770,752","(+/-8,212)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","126,046","(+/-2,088)","143,580","(+/-3,298)","95,574","(+/-6,723)","91,025","(+/-5,930)","137,857","(+/-9,015)","184,912","(+/-7,657)","116,934","(+/-8,001)","383,768","(+/-11,288)","335,370","(+/-10,132)","169,455","(+/-11,552)","131,847","(+/-8,023)","188,982","(+/-8,726)"
People,"Hispanic or Latino and Race",Mexican,"20,482","(+/-6,034)","42,457","(+/-6,351)","8,837","(+/-2,887)","28,829","(+/-7,679)","8,455","(+/-2,888)","33,812","(+/-6,838)","11,524","(+/-3,595)","25,155","(+/-6,732)","38,028","(+/-5,709)","10,352","(+/-3,818)","9,361","(+/-3,168)","22,115","(+/-5,976)"
People,"Hispanic or Latino and Race","Puerto Rican","58,263","(+/-6,286)","50,629","(+/-5,523)","31,124","(+/-4,832)","27,585","(+/-5,132)","19,138","(+/-3,337)","38,022","(+/-4,619)","27,324","(+/-5,041)","59,596","(+/-7,237)","49,402","(+/-6,526)","38,771","(+/-8,625)","26,906","(+/-4,618)","22,750","(+/-4,415)"
People,"Hispanic or Latino and Race",Cuban,"2,007","(+/-1,002)","3,535","(+/-1,672)","3,781","(+/-1,897)","2,717","(+/-1,224)","10,728","(+/-2,824)","5,840","(+/-1,670)","7,510","(+/-2,374)","30,984","(+/-5,256)","10,818","(+/-3,041)","4,458","(+/-2,241)","6,647","(+/-2,627)","4,868","(+/-1,666)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino","45,294","(+/-6,192)","46,959","(+/-5,575)","51,832","(+/-6,399)","31,894","(+/-6,425)","99,536","(+/-7,907)","107,238","(+/-7,883)","70,576","(+/-7,630)","268,033","(+/-12,896)","237,122","(+/-11,339)","115,874","(+/-10,546)","88,933","(+/-7,953)","139,249","(+/-8,061)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","651,482","(+/-6,452)","643,219","(+/-6,561)","686,800","(+/-8,489)","704,818","(+/-7,303)","629,872","(+/-11,268)","581,145","(+/-9,416)","661,744","(+/-10,250)","366,215","(+/-11,755)","435,288","(+/-12,359)","599,136","(+/-13,237)","644,002","(+/-10,225)","581,770","(+/-11,177)"
People,"Place of Birth","Total population","777,528","(+/-6,286)","786,799","(+/-6,644)","782,374","(+/-7,151)","795,843","(+/-7,648)","767,729","(+/-10,029)","766,057","(+/-9,390)","778,678","(+/-11,305)","749,983","(+/-12,817)","770,658","(+/-12,233)","768,591","(+/-14,342)","775,849","(+/-9,170)","770,752","(+/-8,212)"
People,"Place of Birth",Native,"689,456","(+/-7,545)","701,543","(+/-9,200)","662,456","(+/-9,597)","718,642","(+/-8,351)","562,709","(+/-11,547)","523,882","(+/-12,392)","639,277","(+/-11,732)","417,382","(+/-13,397)","483,059","(+/-13,431)","523,304","(+/-16,319)","605,050","(+/-9,901)","513,650","(+/-11,632)"
People,"Place of Birth","Born in United States","667,724","(+/-7,560)","680,731","(+/-9,058)","647,956","(+/-10,116)","702,472","(+/-8,416)","548,603","(+/-11,219)","506,160","(+/-12,264)","624,492","(+/-11,478)","382,842","(+/-13,288)","458,387","(+/-12,800)","498,985","(+/-15,409)","594,092","(+/-9,934)","498,289","(+/-10,804)"
People,"Place of Birth","State of residence","431,489","(+/-10,992)","470,133","(+/-9,412)","416,441","(+/-11,917)","512,288","(+/-10,262)","336,486","(+/-10,656)","354,605","(+/-12,671)","447,569","(+/-10,535)","249,838","(+/-12,496)","353,286","(+/-12,176)","362,541","(+/-15,848)","412,457","(+/-13,079)","337,167","(+/-10,727)"
People,"Place of Birth","Different state","236,235","(+/-9,527)","210,598","(+/-7,998)","231,515","(+/-9,544)","190,184","(+/-8,487)","212,117","(+/-9,869)","151,555","(+/-7,997)","176,923","(+/-7,666)","133,004","(+/-7,026)","105,101","(+/-6,842)","136,444","(+/-8,884)","181,635","(+/-9,743)","161,122","(+/-7,866)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","21,732","(+/-3,374)","20,812","(+/-3,569)","14,500","(+/-2,839)","16,170","(+/-2,825)","14,106","(+/-2,259)","17,722","(+/-2,836)","14,785","(+/-2,770)","34,540","(+/-3,935)","24,672","(+/-4,005)","24,319","(+/-5,838)","10,958","(+/-2,305)","15,361","(+/-3,238)"
People,"Place of Birth","Foreign born","88,072","(+/-6,051)","85,256","(+/-5,896)","119,918","(+/-7,841)","77,201","(+/-7,762)","205,020","(+/-9,519)","242,175","(+/-9,054)","139,401","(+/-7,738)","332,601","(+/-10,164)","287,599","(+/-11,502)","245,287","(+/-12,856)","170,799","(+/-8,917)","257,102","(+/-9,707)"
People,Ancestry,"Total population","777,528","(+/-6,286)","786,799","(+/-6,644)","782,374","(+/-7,151)","795,843","(+/-7,648)","767,729","(+/-10,029)","766,057","(+/-9,390)","778,678","(+/-11,305)","749,983","(+/-12,817)","770,658","(+/-12,233)","768,591","(+/-14,342)","775,849","(+/-9,170)","770,752","(+/-8,212)"
People,Ancestry,American,"25,932","(+/-4,098)","30,504","(+/-5,149)","24,956","(+/-4,253)","52,891","(+/-7,745)","25,327","(+/-4,272)","14,845","(+/-2,725)","32,060","(+/-5,043)","13,285","(+/-2,997)","16,085","(+/-2,609)","28,026","(+/-5,198)","22,360","(+/-4,101)","19,888","(+/-3,863)"
People,Ancestry,Arab,"3,645","(+/-1,552)","2,158","(+/-1,103)","6,988","(+/-2,611)","9,613","(+/-3,796)","7,630","(+/-1,952)","5,885","(+/-1,736)","8,641","(+/-2,887)","20,770","(+/-5,968)","17,496","(+/-5,478)","6,693","(+/-3,037)","14,679","(+/-5,067)","11,110","(+/-3,062)"
People,Ancestry,Czech,"2,359","(+/-2,133)","1,529",(+/-717),"1,493",(+/-775),"2,540","(+/-1,126)","2,438",(+/-831),"1,269",(+/-738),"3,011","(+/-1,010)","1,267",(+/-770),"1,567",(+/-894),718,(+/-559),"3,092","(+/-1,103)",940,(+/-488)
People,Ancestry,Danish,706,(+/-402),784,(+/-725),"1,909","(+/-1,030)","1,286",(+/-640),"1,474",(+/-782),"1,634","(+/-1,002)","2,298",(+/-877),"1,404","(+/-1,276)",385,(+/-252),334,(+/-394),"1,184",(+/-588),"1,262",(+/-622)
People,Ancestry,Dutch,"2,780",(+/-972),"5,147","(+/-1,253)","4,048","(+/-1,486)","6,358","(+/-1,597)","9,304","(+/-1,846)","2,806",(+/-775),"9,758","(+/-2,180)","1,612",(+/-842),"3,418","(+/-1,025)",751,(+/-446),"9,120","(+/-2,226)","3,438","(+/-1,144)"
People,Ancestry,English,"59,164","(+/-5,061)","64,277","(+/-4,987)","52,224","(+/-5,489)","43,431","(+/-3,728)","35,837","(+/-4,808)","24,583","(+/-2,970)","58,131","(+/-4,576)","11,614","(+/-2,538)","13,024","(+/-2,192)","9,380","(+/-2,216)","46,731","(+/-4,743)","27,639","(+/-3,336)"
People,Ancestry,"French (except Basque)","9,765","(+/-2,932)","8,582","(+/-1,738)","7,457","(+/-1,629)","9,225","(+/-2,065)","7,862","(+/-1,822)","4,207","(+/-1,132)","10,633","(+/-2,317)","3,417","(+/-1,207)","3,872","(+/-1,304)","2,179",(+/-954),"8,427","(+/-2,239)","5,693","(+/-1,310)"
People,Ancestry,"French Canadian","1,223",(+/-591),"1,186",(+/-622),"1,836",(+/-837),"1,578",(+/-661),"1,690",(+/-930),"1,624",(+/-708),"3,078","(+/-1,152)",292,(+/-252),699,(+/-421),489,(+/-309),"2,076",(+/-945),"1,166",(+/-704)
People,Ancestry,German,"106,399","(+/-7,475)","97,630","(+/-5,938)","88,406","(+/-6,770)","89,372","(+/-6,806)","67,112","(+/-5,957)","44,593","(+/-4,190)","99,382","(+/-6,008)","21,481","(+/-2,753)","32,183","(+/-4,130)","16,524","(+/-2,642)","72,613","(+/-6,109)","41,461","(+/-4,487)"
People,Ancestry,Greek,"4,062","(+/-1,446)","4,187","(+/-1,538)","3,422","(+/-1,014)","4,724","(+/-1,397)","8,454","(+/-1,863)","3,424",(+/-963),"5,346","(+/-1,545)","2,015","(+/-1,099)","3,300","(+/-1,216)","1,356",(+/-902),"6,980","(+/-1,952)","3,153","(+/-1,268)"
People,Ancestry,Hungarian,"3,932","(+/-1,145)","4,678","(+/-1,064)","9,521","(+/-1,913)","12,811","(+/-3,654)","6,370","(+/-1,427)","8,292","(+/-1,897)","9,714","(+/-2,372)","1,871","(+/-1,477)","4,015","(+/-1,239)","1,943",(+/-730),"5,592","(+/-1,448)","8,767","(+/-2,081)"
People,Ancestry,Irish,"138,813","(+/-8,027)","135,872","(+/-8,893)","118,584","(+/-6,894)","146,096","(+/-8,699)","91,701","(+/-6,328)","79,498","(+/-7,560)","122,804","(+/-6,375)","33,593","(+/-4,197)","43,947","(+/-5,233)","27,153","(+/-3,973)","102,245","(+/-6,996)","62,224","(+/-5,514)"
People,Ancestry,Italian,"124,593","(+/-7,142)","132,788","(+/-8,847)","124,572","(+/-8,359)","171,733","(+/-9,913)","125,502","(+/-7,569)","88,651","(+/-6,794)","138,264","(+/-7,915)","45,416","(+/-4,605)","72,949","(+/-6,265)","31,466","(+/-4,185)","146,559","(+/-10,176)","68,926","(+/-6,982)"
People,Ancestry,Lithuanian,"2,649",(+/-808),"2,849",(+/-909),"2,648","(+/-1,037)","6,055","(+/-2,812)","2,956","(+/-1,153)","1,890",(+/-755),"3,470","(+/-1,076)",809,(+/-469),491,(+/-278),520,(+/-317),"3,043","(+/-1,123)","2,671","(+/-1,165)"
People,Ancestry,Norwegian,"2,389","(+/-1,058)","3,972","(+/-1,711)","3,582","(+/-1,302)","4,178","(+/-1,348)","2,886",(+/-958),"3,409","(+/-1,825)","6,562","(+/-1,738)",689,(+/-395),"1,323",(+/-602),975,(+/-550),"3,402","(+/-1,078)","3,569","(+/-1,624)"
People,Ancestry,Polish,"37,077","(+/-4,581)","34,918","(+/-4,727)","47,009","(+/-5,055)","58,946","(+/-7,118)","35,538","(+/-4,334)","31,179","(+/-4,194)","47,576","(+/-4,601)","18,160","(+/-3,201)","31,262","(+/-4,119)","11,262","(+/-2,189)","41,841","(+/-5,154)","31,655","(+/-3,751)"
People,Ancestry,Portuguese,"2,257",(+/-857),"1,982","(+/-1,013)","3,728","(+/-1,420)","4,963","(+/-1,360)","1,554",(+/-789),"7,732","(+/-2,533)","11,886","(+/-2,801)","13,260","(+/-3,581)","6,357","(+/-1,804)","9,855","(+/-3,137)","5,328","(+/-2,232)","4,472","(+/-1,801)"
People,Ancestry,Russian,"6,782","(+/-1,835)","7,129","(+/-1,472)","15,705","(+/-3,593)","10,148","(+/-3,222)","17,631","(+/-3,215)","9,045","(+/-2,161)","13,651","(+/-2,223)","5,071","(+/-1,496)","6,006","(+/-1,593)","3,107","(+/-1,204)","13,323","(+/-2,389)","11,315","(+/-2,028)"
People,Ancestry,Scotch-Irish,"4,122","(+/-1,216)","3,418","(+/-1,033)","3,647","(+/-1,315)","2,920",(+/-957),"2,350",(+/-876),"1,986",(+/-822),"3,988",(+/-945),700,(+/-429),954,(+/-502),665,(+/-418),"3,508","(+/-1,293)","2,560","(+/-1,008)"
People,Ancestry,Scottish,"6,059","(+/-1,595)","9,140","(+/-2,174)","9,897","(+/-2,483)","9,181","(+/-1,796)","6,607","(+/-1,537)","4,875","(+/-1,368)","8,820","(+/-1,764)","3,073","(+/-1,133)","2,739",(+/-988),"1,639",(+/-770),"10,036","(+/-2,381)","5,252","(+/-1,294)"
People,Ancestry,Slovak,"1,280",(+/-559),"3,091","(+/-1,253)","3,947","(+/-1,490)","2,463",(+/-973),"2,028",(+/-897),"2,634","(+/-1,046)","4,188","(+/-1,466)","1,244",(+/-762),"1,939","(+/-1,730)",608,(+/-380),"2,447","(+/-1,123)","1,895",(+/-804)
People,Ancestry,"Subsaharan African","11,106","(+/-3,375)","3,454","(+/-1,587)","12,019","(+/-3,565)","1,493",(+/-912),"5,175","(+/-2,025)","9,046","(+/-2,532)","3,634","(+/-1,803)","9,187","(+/-4,068)","7,080","(+/-3,332)","44,654","(+/-7,865)","5,298","(+/-2,120)","13,805","(+/-3,914)"
People,Ancestry,Swedish,"2,200","(+/-1,138)","5,249","(+/-1,852)","4,755","(+/-1,322)","4,003","(+/-1,222)","2,198",(+/-748),"1,447",(+/-799),"5,938","(+/-1,359)","1,461",(+/-623),"2,916","(+/-1,869)","1,498","(+/-1,104)","3,969","(+/-1,154)","2,442",(+/-741)
People,Ancestry,Swiss,468,(+/-252),686,(+/-355),"1,075",(+/-570),"1,234",(+/-641),"1,381",(+/-700),442,(+/-369),"1,244",(+/-617),792,(+/-415),195,(+/-160),517,(+/-566),"1,008",(+/-509),940,(+/-414)
People,Ancestry,Ukrainian,"4,951","(+/-1,358)","6,542","(+/-2,098)","6,846","(+/-2,477)","5,202","(+/-1,425)","8,418","(+/-2,343)","6,409","(+/-1,755)","9,723","(+/-1,789)","3,604","(+/-1,099)","4,259","(+/-2,564)","2,186","(+/-1,239)","7,925","(+/-1,972)","7,256","(+/-2,185)"
People,Ancestry,Welsh,"2,941",(+/-973),"4,839","(+/-1,770)","1,850",(+/-672),"1,927","(+/-1,241)","1,491",(+/-662),"1,403",(+/-621),"3,217","(+/-1,039)",940,(+/-783),920,(+/-584),561,(+/-479),"1,865",(+/-837),"1,396",(+/-744)
People,Ancestry,"West Indian (excluding Hispanic origin groups)","10,390","(+/-3,046)","9,648","(+/-3,530)","13,092","(+/-3,953)","4,813","(+/-1,708)","10,677","(+/-2,613)","16,629","(+/-4,114)","8,251","(+/-2,808)","8,955","(+/-2,789)","11,532","(+/-3,137)","75,185","(+/-9,998)","16,571","(+/-4,380)","15,427","(+/-3,566)"
