Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE"
People,"Sex and Age","Total population","775,252","(+/-10,561)","777,290","(+/-12,905)","760,691","(+/-17,611)","767,277","(+/-6,128)","737,913","(+/-18,724)","706,077","(+/-23,906)","720,452","(+/-22,209)","740,016","(+/-23,945)","725,054","(+/-22,296)","719,080","(+/-22,752)","753,280","(+/-13,354)","734,996","(+/-16,880)","726,044","(+/-19,973)","740,563","(+/-26,175)","714,768","(+/-20,214)","765,060","(+/-9,506)","772,624","(+/-5,812)","784,352","(+/-5,307)","769,461","(+/-5,366)","783,546","(+/-2,815)","767,195","(+/-4,571)","762,999",(+/-621),"764,335","(+/-6,063)","767,751","(+/-5,074)","766,396","(+/-1,597)","768,744","(+/-7,395)"
People,"Sex and Age",Male,"384,084","(+/-7,100)","385,414","(+/-7,962)","374,351","(+/-9,924)","378,374","(+/-4,648)","349,608","(+/-10,182)","343,927","(+/-13,870)","351,565","(+/-11,601)","338,767","(+/-12,443)","341,729","(+/-11,647)","353,710","(+/-13,169)","371,219","(+/-7,494)","352,069","(+/-11,357)","340,188","(+/-11,867)","364,106","(+/-16,634)","339,417","(+/-12,926)","367,273","(+/-6,110)","387,010","(+/-5,130)","387,756","(+/-3,519)","384,291","(+/-4,251)","383,494","(+/-2,468)","390,183","(+/-3,423)","374,289","(+/-1,220)","378,842","(+/-4,111)","386,558","(+/-3,620)","371,914",(+/-926),"371,766","(+/-5,196)"
People,"Sex and Age",Female,"391,168","(+/-6,473)","391,876","(+/-7,760)","386,340","(+/-9,796)","388,903","(+/-5,548)","388,305","(+/-10,802)","362,150","(+/-12,105)","368,887","(+/-14,174)","401,249","(+/-14,122)","383,325","(+/-14,151)","365,370","(+/-13,173)","382,061","(+/-7,476)","382,927","(+/-9,561)","385,856","(+/-12,144)","376,457","(+/-13,598)","375,351","(+/-10,902)","397,787","(+/-5,827)","385,614","(+/-4,534)","396,596","(+/-3,351)","385,170","(+/-3,281)","400,052","(+/-2,647)","377,012","(+/-2,873)","388,710","(+/-1,275)","385,493","(+/-3,914)","381,193","(+/-3,145)","394,482","(+/-1,026)","396,978","(+/-4,329)"
People,"Sex and Age","Under 5 years","37,884","(+/-3,532)","44,221","(+/-3,695)","35,525","(+/-3,231)","41,830","(+/-2,502)","42,131","(+/-3,922)","32,796","(+/-3,752)","42,776","(+/-6,307)","40,630","(+/-5,282)","51,738","(+/-5,208)","31,848","(+/-3,646)","39,194","(+/-2,859)","30,931","(+/-3,093)","35,432","(+/-4,258)","41,146","(+/-4,962)","47,325","(+/-4,240)","38,890","(+/-2,764)","51,624","(+/-2,263)","44,721","(+/-1,410)","35,156","(+/-1,553)","37,224","(+/-1,463)","35,975","(+/-1,425)","40,530",(+/-445),"36,481","(+/-1,820)","38,865","(+/-1,605)","39,539",(+/-329),"41,296","(+/-2,092)"
People,"Sex and Age","5 to 9 years","36,779","(+/-3,397)","46,998","(+/-4,117)","38,626","(+/-3,677)","44,722","(+/-3,765)","40,837","(+/-3,714)","36,139","(+/-4,325)","29,364","(+/-3,698)","47,511","(+/-6,034)","42,120","(+/-5,049)","37,269","(+/-4,316)","45,381","(+/-3,779)","24,009","(+/-4,199)","31,229","(+/-4,352)","41,134","(+/-4,627)","51,915","(+/-5,351)","40,267","(+/-3,653)","51,370","(+/-4,087)","45,984","(+/-3,241)","36,853","(+/-2,696)","40,646","(+/-2,851)","38,442","(+/-2,043)","44,195","(+/-2,321)","44,974","(+/-3,252)","41,324","(+/-2,388)","41,604","(+/-2,450)","41,162","(+/-3,070)"
People,"Sex and Age","10 to 14 years","43,528","(+/-3,733)","50,010","(+/-4,255)","45,546","(+/-3,872)","53,197","(+/-4,189)","45,816","(+/-3,461)","37,436","(+/-4,125)","33,900","(+/-4,883)","49,915","(+/-5,842)","47,356","(+/-4,508)","40,230","(+/-5,133)","48,399","(+/-3,947)","23,452","(+/-3,936)","36,833","(+/-5,991)","50,342","(+/-5,630)","46,780","(+/-4,950)","52,334","(+/-3,927)","53,470","(+/-3,987)","46,969","(+/-2,824)","36,260","(+/-2,616)","43,831","(+/-2,965)","43,576","(+/-2,370)","45,263","(+/-2,405)","45,697","(+/-3,113)","44,486","(+/-2,813)","44,772","(+/-2,371)","43,899","(+/-3,131)"
People,"Sex and Age","15 to 19 years","48,245","(+/-3,318)","49,396","(+/-3,236)","45,186","(+/-3,105)","48,950","(+/-3,062)","45,000","(+/-3,550)","33,004","(+/-3,978)","34,399","(+/-3,774)","47,265","(+/-4,104)","35,508","(+/-3,439)","39,880","(+/-3,918)","43,628","(+/-1,955)","25,877","(+/-2,489)","40,515","(+/-3,688)","41,056","(+/-4,000)","52,551","(+/-3,838)","52,149","(+/-3,046)","49,938","(+/-3,048)","57,039","(+/-1,937)","61,627","(+/-3,166)","55,260","(+/-2,653)","46,501","(+/-2,011)","55,231","(+/-1,684)","47,945","(+/-2,529)","46,333","(+/-1,769)","53,103",(+/-694),"48,306","(+/-2,779)"
People,"Sex and Age","20 to 24 years","49,687","(+/-3,583)","51,056","(+/-3,722)","40,817","(+/-3,382)","46,614","(+/-3,294)","44,561","(+/-2,498)","32,306","(+/-3,265)","47,795","(+/-5,104)","36,961","(+/-3,979)","42,528","(+/-4,117)","44,044","(+/-4,974)","40,829","(+/-2,057)","42,713","(+/-4,287)","52,219","(+/-3,982)","46,054","(+/-4,714)","47,301","(+/-4,337)","45,789","(+/-3,025)","47,795","(+/-2,680)","56,180","(+/-1,969)","65,989","(+/-3,015)","60,949","(+/-2,361)","50,900","(+/-2,512)","49,525","(+/-1,799)","39,601","(+/-1,940)","45,867","(+/-1,965)","49,177",(+/-652),"55,053","(+/-2,072)"
People,"Sex and Age","25 to 34 years","87,860","(+/-3,753)","103,040","(+/-4,409)","81,667","(+/-5,739)","93,192","(+/-4,716)","96,619","(+/-5,444)","84,789","(+/-5,882)","177,922","(+/-8,094)","113,539","(+/-6,943)","114,177","(+/-6,616)","143,627","(+/-8,292)","94,726","(+/-3,835)","160,407","(+/-6,906)","125,223","(+/-6,804)","120,028","(+/-7,419)","105,724","(+/-5,725)","90,525","(+/-3,820)","83,068","(+/-4,058)","96,695","(+/-3,311)","84,552","(+/-2,936)","100,111","(+/-3,095)","89,751","(+/-2,832)","94,426","(+/-1,084)","81,350","(+/-3,170)","94,457","(+/-2,347)","103,351",(+/-674),"113,462","(+/-3,297)"
People,"Sex and Age","35 to 44 years","85,796","(+/-4,141)","98,711","(+/-4,041)","89,427","(+/-4,421)","98,607","(+/-3,988)","89,830","(+/-4,577)","99,295","(+/-6,085)","115,034","(+/-6,865)","92,847","(+/-5,809)","98,698","(+/-5,622)","113,732","(+/-6,975)","101,238","(+/-3,597)","104,072","(+/-7,022)","108,843","(+/-7,559)","110,600","(+/-7,164)","86,389","(+/-6,157)","103,256","(+/-3,817)","92,241","(+/-3,706)","102,359","(+/-3,063)","88,696","(+/-2,527)","103,072","(+/-2,311)","95,179","(+/-2,279)","94,584","(+/-1,375)","95,382","(+/-3,255)","91,041","(+/-2,066)","98,034",(+/-594),"95,564","(+/-3,542)"
