Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population","754,008","(+/-3,805)","784,882","(+/-13,038)","768,524","(+/-5,505)","769,250",(+/-560),"750,316","(+/-9,830)","765,747","(+/-10,112)","794,214","(+/-4,031)","776,092","(+/-5,363)","771,994","(+/-8,603)","774,062","(+/-5,580)","763,974","(+/-3,617)","772,165","(+/-14,745)","799,277","(+/-15,323)","790,986","(+/-15,473)"
People,"Sex and Age",Male,"363,918","(+/-3,780)","386,176","(+/-7,446)","391,824","(+/-4,264)","373,721","(+/-2,490)","363,923","(+/-6,643)","370,402","(+/-6,272)","384,164","(+/-3,612)","386,210","(+/-3,927)","388,128","(+/-5,010)","383,573","(+/-4,060)","371,599","(+/-3,104)","373,130","(+/-8,405)","390,628","(+/-8,633)","384,658","(+/-8,613)"
People,"Sex and Age",Female,"390,090","(+/-4,512)","398,706","(+/-7,625)","376,700","(+/-4,372)","395,529","(+/-2,574)","386,393","(+/-5,754)","395,345","(+/-5,438)","410,050","(+/-3,757)","389,882","(+/-4,182)","383,866","(+/-5,562)","390,489","(+/-4,098)","392,375","(+/-3,434)","399,035","(+/-8,779)","408,649","(+/-9,142)","406,328","(+/-9,381)"
People,"Sex and Age","Under 5 years","41,107","(+/-2,232)","45,665","(+/-3,052)","43,973","(+/-1,805)","38,628",(+/-937),"36,860","(+/-2,060)","41,181","(+/-2,034)","41,225","(+/-1,679)","40,904","(+/-1,576)","51,095","(+/-2,025)","39,765","(+/-1,991)","33,681","(+/-2,180)","41,787","(+/-3,656)","44,733","(+/-3,656)","54,135","(+/-3,676)"
People,"Sex and Age","5 to 9 years","44,209","(+/-2,931)","48,249","(+/-4,107)","47,282","(+/-3,028)","40,337","(+/-3,168)","42,052","(+/-3,338)","49,339","(+/-4,212)","40,623","(+/-2,929)","47,155","(+/-3,937)","50,595","(+/-3,326)","44,443","(+/-3,289)","37,501","(+/-2,352)","45,714","(+/-4,670)","53,855","(+/-3,628)","49,882","(+/-4,086)"
People,"Sex and Age","10 to 14 years","45,699","(+/-3,021)","48,687","(+/-3,535)","47,449","(+/-2,924)","44,160","(+/-3,276)","39,535","(+/-3,061)","45,706","(+/-3,816)","46,842","(+/-3,282)","53,014","(+/-3,406)","46,518","(+/-3,429)","45,582","(+/-3,582)","35,772","(+/-2,400)","54,791","(+/-4,329)","56,699","(+/-5,121)","48,143","(+/-4,361)"
People,"Sex and Age","15 to 19 years","50,682","(+/-2,938)","54,697","(+/-3,567)","51,175","(+/-3,101)","56,372","(+/-2,782)","51,978","(+/-3,505)","60,926","(+/-2,683)","50,502","(+/-2,888)","56,483","(+/-3,005)","51,843","(+/-3,472)","47,545","(+/-2,383)","43,190","(+/-2,662)","57,312","(+/-3,260)","52,880","(+/-4,480)","43,866","(+/-3,416)"
People,"Sex and Age","20 to 24 years","53,456","(+/-3,203)","51,724","(+/-3,454)","60,127","(+/-2,517)","63,390","(+/-2,692)","53,333","(+/-3,598)","54,583","(+/-2,139)","53,953","(+/-2,575)","47,452","(+/-2,594)","52,283","(+/-3,171)","45,719","(+/-3,109)","42,895","(+/-2,936)","51,008","(+/-3,245)","45,958","(+/-3,936)","48,035","(+/-3,010)"
People,"Sex and Age","25 to 34 years","94,616","(+/-4,205)","121,193","(+/-5,074)","100,242","(+/-3,496)","111,473","(+/-2,913)","89,227","(+/-4,155)","97,859","(+/-3,119)","95,113","(+/-3,032)","90,893","(+/-3,840)","108,334","(+/-3,902)","94,015","(+/-3,401)","89,412","(+/-3,372)","113,176","(+/-6,013)","98,852","(+/-5,716)","139,366","(+/-5,942)"
People,"Sex and Age","35 to 44 years","88,219","(+/-3,234)","117,551","(+/-5,207)","95,270","(+/-3,519)","99,550","(+/-2,499)","87,649","(+/-3,794)","93,769","(+/-2,466)","93,109","(+/-2,536)","98,704","(+/-3,304)","100,953","(+/-4,166)","92,849","(+/-3,156)","92,511","(+/-2,467)","110,153","(+/-5,656)","117,486","(+/-5,557)","117,133","(+/-5,623)"
