Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE"
People,"Sex and Age","Total population","796,831","(+/-7,373)","787,945","(+/-1,787)","784,597","(+/-16,866)","803,311","(+/-3,960)","790,574","(+/-3,448)","773,456","(+/-5,297)","769,701","(+/-9,713)","786,259","(+/-8,133)","776,106","(+/-3,384)","784,462","(+/-3,132)","772,345","(+/-8,909)","804,132","(+/-5,621)","781,848","(+/-3,788)","784,185","(+/-1,123)","790,183","(+/-17,939)"
People,"Sex and Age",Male,"393,182","(+/-5,376)","393,029","(+/-2,350)","388,057","(+/-9,867)","408,039","(+/-3,055)","393,837","(+/-3,233)","387,623","(+/-3,757)","378,347","(+/-5,814)","384,960","(+/-5,686)","381,878","(+/-2,541)","380,998","(+/-1,912)","366,371","(+/-5,836)","398,624","(+/-3,531)","380,601","(+/-2,912)","390,028","(+/-2,201)","388,242","(+/-10,652)"
People,"Sex and Age",Female,"403,649","(+/-4,682)","394,916","(+/-2,405)","396,540","(+/-9,716)","395,272","(+/-3,248)","396,737","(+/-3,308)","385,833","(+/-4,000)","391,354","(+/-6,009)","401,299","(+/-5,313)","394,228","(+/-3,045)","403,464","(+/-2,290)","405,974","(+/-5,383)","405,508","(+/-3,983)","401,247","(+/-2,943)","394,157","(+/-2,333)","401,941","(+/-10,240)"
People,"Sex and Age","Under 5 years","45,849","(+/-2,898)","43,257",(+/-996),"46,609","(+/-3,536)","44,662","(+/-1,408)","41,712","(+/-1,619)","38,743","(+/-1,753)","40,699","(+/-2,975)","47,270","(+/-3,093)","43,084","(+/-1,371)","43,807",(+/-974),"42,150","(+/-2,602)","43,315","(+/-1,725)","41,767","(+/-1,161)","38,958","(+/-1,843)","52,801","(+/-3,656)"
People,"Sex and Age","5 to 9 years","48,336","(+/-3,683)","47,100","(+/-2,665)","47,226","(+/-4,277)","50,574","(+/-2,374)","45,256","(+/-2,946)","41,018","(+/-3,086)","44,664","(+/-3,112)","52,257","(+/-4,072)","47,332","(+/-3,154)","48,857","(+/-3,434)","44,948","(+/-3,712)","49,844","(+/-2,754)","45,213","(+/-3,759)","44,841","(+/-2,736)","51,259","(+/-4,492)"
People,"Sex and Age","10 to 14 years","52,737","(+/-3,833)","51,642","(+/-2,765)","48,838","(+/-4,384)","53,484","(+/-2,528)","51,155","(+/-2,965)","44,587","(+/-3,021)","46,961","(+/-3,287)","52,322","(+/-4,026)","47,362","(+/-2,819)","49,875","(+/-3,436)","42,530","(+/-3,843)","56,605","(+/-3,090)","46,763","(+/-3,824)","42,450","(+/-2,599)","52,186","(+/-3,932)"
People,"Sex and Age","15 to 19 years","57,279","(+/-2,392)","49,206","(+/-1,967)","57,883","(+/-3,186)","54,104","(+/-2,200)","56,123","(+/-2,162)","47,006","(+/-2,027)","46,307","(+/-2,420)","54,683","(+/-2,414)","49,784","(+/-1,564)","51,832","(+/-1,385)","47,435","(+/-2,214)","59,361","(+/-2,248)","47,706","(+/-2,005)","49,091","(+/-1,892)","47,722","(+/-3,515)"
People,"Sex and Age","20 to 24 years","52,644","(+/-2,414)","43,442","(+/-1,977)","60,183","(+/-2,978)","44,204","(+/-2,350)","52,743","(+/-2,503)","42,924","(+/-2,266)","39,297","(+/-2,113)","53,826","(+/-2,907)","44,484","(+/-2,009)","51,993","(+/-1,332)","51,809","(+/-2,008)","55,987","(+/-2,415)","47,098","(+/-1,661)","53,068","(+/-2,041)","41,114","(+/-3,390)"
People,"Sex and Age","25 to 34 years","116,523","(+/-3,998)","97,254","(+/-1,873)","134,885","(+/-5,371)","97,946","(+/-2,503)","94,765","(+/-2,497)","89,902","(+/-3,231)","87,630","(+/-3,965)","91,888","(+/-4,594)","99,579","(+/-2,314)","104,802","(+/-2,013)","123,486","(+/-3,857)","91,766","(+/-2,136)","102,277","(+/-3,010)","93,828","(+/-2,451)","124,255","(+/-5,703)"
People,"Sex and Age","35 to 44 years","110,187","(+/-3,385)","97,397","(+/-1,921)","112,373","(+/-4,534)","106,855","(+/-2,614)","93,839","(+/-1,956)","89,580","(+/-2,824)","95,563","(+/-3,091)","95,065","(+/-3,411)","93,902","(+/-1,684)","96,619","(+/-1,968)","96,486","(+/-3,163)","98,958","(+/-2,322)","95,433","(+/-2,563)","88,316","(+/-1,757)","111,281","(+/-5,045)"
