Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population","710,371","(+/-10,150)","704,844","(+/-4,889)","681,430","(+/-10,356)","710,184","(+/-4,202)","709,945","(+/-11,205)","716,584","(+/-10,319)"
People,"Sex and Age",Male,"358,730","(+/-6,428)","352,572","(+/-3,473)","336,974","(+/-6,433)","348,338","(+/-2,867)","352,318","(+/-6,408)","356,275","(+/-6,795)"
People,"Sex and Age",Female,"351,641","(+/-6,650)","352,272","(+/-3,652)","344,456","(+/-7,060)","361,846","(+/-2,811)","357,627","(+/-6,622)","360,309","(+/-6,389)"
People,"Sex and Age","Under 5 years","30,347","(+/-2,208)","35,462","(+/-1,683)","33,533","(+/-2,360)","27,573","(+/-1,415)","34,313","(+/-2,458)","36,922","(+/-2,206)"
People,"Sex and Age","5 to 9 years","34,654","(+/-3,227)","37,416","(+/-2,776)","33,979","(+/-3,066)","34,918","(+/-2,210)","39,937","(+/-3,284)","41,738","(+/-3,602)"
People,"Sex and Age","10 to 14 years","40,590","(+/-3,517)","48,833","(+/-3,156)","38,190","(+/-3,492)","35,776","(+/-2,370)","41,955","(+/-4,210)","47,173","(+/-3,774)"
People,"Sex and Age","15 to 19 years","40,022","(+/-2,503)","41,250","(+/-2,509)","38,935","(+/-2,445)","45,838","(+/-2,391)","42,213","(+/-2,600)","47,759","(+/-2,501)"
People,"Sex and Age","20 to 24 years","44,301","(+/-3,420)","34,346","(+/-2,499)","34,258","(+/-2,880)","58,940","(+/-2,457)","35,262","(+/-2,826)","46,250","(+/-2,814)"
People,"Sex and Age","25 to 34 years","121,965","(+/-5,162)","90,107","(+/-3,794)","107,716","(+/-5,278)","84,298","(+/-2,114)","89,907","(+/-4,338)","97,899","(+/-4,435)"
People,"Sex and Age","35 to 44 years","111,757","(+/-3,651)","89,392","(+/-3,425)","116,334","(+/-4,104)","88,000","(+/-2,292)","96,538","(+/-4,742)","98,727","(+/-3,656)"
People,"Sex and Age","45 to 54 years","91,760","(+/-3,727)","74,218","(+/-2,944)","97,138","(+/-3,384)","77,111","(+/-1,722)","90,498","(+/-3,391)","92,243","(+/-4,009)"
People,"Sex and Age","55 to 59 years","40,167","(+/-3,021)","36,237","(+/-2,926)","40,220","(+/-3,219)","38,876","(+/-3,135)","44,816","(+/-3,161)","38,904","(+/-3,297)"
People,"Sex and Age","60 to 64 years","37,681","(+/-2,680)","53,041","(+/-3,013)","38,326","(+/-3,027)","50,682","(+/-2,765)","46,679","(+/-2,750)","41,564","(+/-3,084)"
People,"Sex and Age","65 to 74 years","69,508","(+/-2,837)","95,710","(+/-2,201)","65,463","(+/-2,743)","99,032","(+/-1,909)","87,613","(+/-2,879)","75,173","(+/-2,838)"
People,"Sex and Age","75 to 84 years","35,744","(+/-2,542)","52,653","(+/-2,004)","28,859","(+/-2,191)","53,750","(+/-2,021)","44,584","(+/-2,761)","38,735","(+/-2,566)"
People,"Sex and Age","85 years and over","11,875","(+/-1,256)","16,179","(+/-1,873)","8,479","(+/-1,383)","15,390","(+/-1,844)","15,630","(+/-2,057)","13,497","(+/-1,642)"
People,"Sex and Age","Median age (years)",38.9,(+/-0.5),42.1,(+/-0.4),40.1,(+/-0.6),42.5,(+/-0.5),42.4,(+/-0.6),38.9,(+/-0.7)
People,"Sex and Age","18 years and over","579,816","(+/-8,376)","556,224","(+/-3,816)","550,379","(+/-7,969)","590,142","(+/-3,122)","565,703","(+/-8,125)","561,293","(+/-8,239)"
People,"Sex and Age","65 years and over","117,127","(+/-3,995)","164,542","(+/-2,983)","102,801","(+/-3,580)","168,172","(+/-2,349)","147,827","(+/-3,977)","127,405","(+/-3,677)"
People,Race,"Total population","710,371","(+/-10,150)","704,844","(+/-4,889)","681,430","(+/-10,356)","710,184","(+/-4,202)","709,945","(+/-11,205)","716,584","(+/-10,319)"
People,Race,"One race","611,893","(+/-10,805)","619,556","(+/-7,312)","580,031","(+/-12,523)","630,461","(+/-6,441)","635,755","(+/-10,567)","607,867","(+/-11,282)"
People,Race,White,"468,825","(+/-10,764)","556,497","(+/-7,872)","454,988","(+/-9,846)","569,264","(+/-6,467)","573,562","(+/-9,779)","504,062","(+/-12,051)"
People,Race,"Black or African American","19,175","(+/-2,788)","4,545","(+/-1,170)","34,853","(+/-4,564)","7,169","(+/-1,363)","12,568","(+/-5,254)","9,096","(+/-2,148)"
People,Race,"American Indian and Alaska Native","6,903","(+/-2,041)","12,399","(+/-2,036)","5,476","(+/-1,856)","8,728","(+/-1,611)","5,678","(+/-2,301)","6,184","(+/-1,850)"
People,Race,Asian,"73,552","(+/-3,484)","6,548","(+/-1,265)","46,942","(+/-4,253)","19,363","(+/-1,731)","23,350","(+/-3,140)","24,636","(+/-3,288)"
People,Race,"Native Hawaiian and Other Pacific Islander","3,891",(+/-939),522,(+/-352),"2,913","(+/-1,344)","1,238",(+/-339),"1,850","(+/-1,037)","5,062",(+/-678)
People,Race,"Some other race","39,547","(+/-6,199)","39,045","(+/-5,793)","34,859","(+/-7,271)","24,699","(+/-3,919)","18,747","(+/-3,371)","58,827","(+/-7,896)"
People,Race,"Two or more races","98,478","(+/-7,071)","85,288","(+/-6,249)","101,399","(+/-8,892)","79,723","(+/-5,321)","74,190","(+/-6,729)","108,717","(+/-8,514)"
People,"Hispanic or Latino and Race","Total population","710,371","(+/-10,150)","704,844","(+/-4,889)","681,430","(+/-10,356)","710,184","(+/-4,202)","709,945","(+/-11,205)","716,584","(+/-10,319)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","112,775","(+/-5,065)","114,586","(+/-2,421)","106,201","(+/-5,377)","67,427",(+/-874),"72,613","(+/-5,782)","157,961","(+/-5,727)"
People,"Hispanic or Latino and Race",Mexican,"79,514","(+/-5,413)","98,327","(+/-3,933)","78,751","(+/-7,237)","50,574","(+/-2,802)","54,573","(+/-6,177)","130,084","(+/-6,687)"
People,"Hispanic or Latino and Race","Puerto Rican","5,039","(+/-1,697)","1,106",(+/-620),"3,253","(+/-1,501)","4,256","(+/-1,594)","2,331","(+/-1,051)","4,477","(+/-1,931)"
People,"Hispanic or Latino and Race",Cuban,"1,575",(+/-733),867,(+/-734),"3,178","(+/-1,220)",795,(+/-561),"1,258",(+/-575),"1,398",(+/-732)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","26,647","(+/-4,429)","14,286","(+/-3,406)","21,019","(+/-5,424)","11,802","(+/-2,363)","14,451","(+/-3,228)","22,002","(+/-5,118)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","597,596","(+/-10,870)","590,258","(+/-5,526)","575,229","(+/-9,507)","642,757","(+/-4,286)","637,332","(+/-10,182)","558,623","(+/-9,403)"
People,"Place of Birth","Total population","710,371","(+/-10,150)","704,844","(+/-4,889)","681,430","(+/-10,356)","710,184","(+/-4,202)","709,945","(+/-11,205)","716,584","(+/-10,319)"
People,"Place of Birth",Native,"608,645","(+/-11,090)","663,510","(+/-5,799)","586,850","(+/-10,987)","675,362","(+/-5,441)","657,796","(+/-10,998)","634,503","(+/-10,905)"
People,"Place of Birth","Born in United States","595,286","(+/-11,159)","657,973","(+/-5,842)","575,805","(+/-10,887)","665,292","(+/-6,193)","649,193","(+/-10,934)","621,535","(+/-11,149)"
People,"Place of Birth","State of residence","284,050","(+/-9,367)","308,206","(+/-8,806)","294,110","(+/-9,614)","322,305","(+/-9,100)","354,115","(+/-11,571)","350,647","(+/-10,042)"
People,"Place of Birth","Different state","311,236","(+/-10,537)","349,767","(+/-8,667)","281,695","(+/-9,575)","342,987","(+/-8,704)","295,078","(+/-9,437)","270,888","(+/-8,880)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","13,359","(+/-2,808)","5,537","(+/-1,309)","11,045","(+/-2,036)","10,070","(+/-2,139)","8,603","(+/-1,521)","12,968","(+/-2,528)"
People,"Place of Birth","Foreign born","101,726","(+/-6,026)","41,334","(+/-3,506)","94,580","(+/-7,059)","34,822","(+/-3,247)","52,149","(+/-4,459)","82,081","(+/-5,640)"
People,Ancestry,"Total population","710,371","(+/-10,150)","704,844","(+/-4,889)","681,430","(+/-10,356)","710,184","(+/-4,202)","709,945","(+/-11,205)","716,584","(+/-10,319)"
People,Ancestry,American,"34,548","(+/-5,972)","30,975","(+/-4,319)","29,283","(+/-5,294)","24,688","(+/-3,560)","29,957","(+/-4,513)","33,563","(+/-5,889)"
People,Ancestry,Arab,"5,444","(+/-2,253)","1,004",(+/-750),"6,293","(+/-3,185)","2,288","(+/-1,070)","2,705","(+/-1,389)","3,001","(+/-1,459)"
People,Ancestry,Czech,"3,264","(+/-1,151)","1,936",(+/-770),"2,158",(+/-896),"3,821","(+/-1,404)","3,489","(+/-1,116)","1,990",(+/-742)
People,Ancestry,Danish,"6,958","(+/-1,510)","5,015","(+/-1,410)","4,319","(+/-1,166)","7,729","(+/-1,594)","8,071","(+/-2,419)","4,386","(+/-1,261)"
People,Ancestry,Dutch,"10,627","(+/-1,716)","10,922","(+/-2,311)","9,867","(+/-1,974)","11,990","(+/-2,246)","12,359","(+/-2,465)","9,179","(+/-1,756)"
People,Ancestry,English,"89,194","(+/-6,085)","94,103","(+/-6,293)","82,535","(+/-6,089)","104,071","(+/-6,478)","105,386","(+/-8,526)","91,401","(+/-6,205)"
People,Ancestry,"French (except Basque)","14,459","(+/-2,059)","13,933","(+/-1,990)","13,601","(+/-2,255)","16,155","(+/-3,131)","18,964","(+/-2,941)","16,744","(+/-3,007)"
People,Ancestry,"French Canadian","4,411","(+/-1,558)","2,695",(+/-758),"2,665",(+/-798),"5,529","(+/-2,568)","3,094","(+/-1,257)","3,231","(+/-1,611)"
People,Ancestry,German,"100,850","(+/-5,862)","107,134","(+/-7,072)","101,354","(+/-7,503)","119,006","(+/-7,264)","128,779","(+/-9,213)","107,893","(+/-6,810)"
People,Ancestry,Greek,"1,697",(+/-692),"1,663",(+/-756),"2,293",(+/-988),"2,360","(+/-1,113)","2,311","(+/-1,036)","2,005","(+/-1,076)"
People,Ancestry,Hungarian,"4,706","(+/-1,635)","1,759",(+/-788),"2,608","(+/-1,292)","1,936",(+/-529),"3,293","(+/-1,364)","1,067",(+/-720)
People,Ancestry,Irish,"70,027","(+/-5,400)","66,867","(+/-6,524)","66,655","(+/-5,235)","84,542","(+/-5,672)","82,580","(+/-6,601)","65,944","(+/-5,876)"
People,Ancestry,Italian,"27,201","(+/-3,054)","20,591","(+/-2,844)","22,857","(+/-2,944)","27,737","(+/-4,117)","26,900","(+/-3,515)","23,172","(+/-3,959)"
People,Ancestry,Lithuanian,"1,561",(+/-794),686,(+/-313),"1,676","(+/-1,079)","1,015",(+/-681),876,(+/-627),631,(+/-413)
People,Ancestry,Norwegian,"19,243","(+/-2,449)","16,550","(+/-2,795)","20,616","(+/-2,943)","19,459","(+/-2,608)","26,400","(+/-3,382)","20,102","(+/-2,781)"
People,Ancestry,Polish,"11,079","(+/-1,828)","8,121","(+/-2,019)","13,723","(+/-2,114)","8,037","(+/-1,419)","11,894","(+/-2,103)","9,257","(+/-2,017)"
People,Ancestry,Portuguese,"2,884","(+/-1,065)","3,584","(+/-1,410)","2,581","(+/-1,036)","4,277","(+/-1,305)","3,362","(+/-1,200)","2,993","(+/-1,465)"
People,Ancestry,Russian,"6,612","(+/-1,781)","2,778",(+/-990),"7,492","(+/-1,665)","4,357","(+/-1,342)","5,107","(+/-1,598)","6,063","(+/-1,756)"
People,Ancestry,Scotch-Irish,"8,336","(+/-1,712)","7,441","(+/-1,966)","9,772","(+/-2,918)","7,188","(+/-1,628)","8,561","(+/-2,379)","6,058","(+/-1,572)"
People,Ancestry,Scottish,"20,441","(+/-2,790)","17,834","(+/-2,432)","18,437","(+/-2,894)","24,855","(+/-3,022)","20,012","(+/-2,485)","21,886","(+/-3,362)"
People,Ancestry,Slovak,660,(+/-426),379,(+/-317),283,(+/-226),205,(+/-146),523,(+/-432),174,(+/-229)
People,Ancestry,"Subsaharan African","3,981","(+/-1,765)",500,(+/-447),"5,131","(+/-1,658)","1,487",(+/-477),"2,845","(+/-1,525)","2,486","(+/-1,158)"
People,Ancestry,Swedish,"16,954","(+/-2,434)","17,531","(+/-3,691)","16,348","(+/-3,347)","12,940","(+/-2,292)","18,003","(+/-2,257)","14,515","(+/-2,577)"
People,Ancestry,Swiss,"4,267","(+/-1,200)","2,680","(+/-1,047)","3,426",(+/-981),"3,521","(+/-1,218)","5,081","(+/-1,630)","3,468",(+/-945)
People,Ancestry,Ukrainian,"3,968","(+/-1,266)","1,859","(+/-1,391)","5,157","(+/-1,739)","2,720","(+/-1,003)","4,388","(+/-1,473)","5,638","(+/-3,827)"
People,Ancestry,Welsh,"4,189","(+/-1,234)","5,956","(+/-1,312)","5,519","(+/-1,343)","6,768","(+/-1,378)","7,247","(+/-1,445)","5,522","(+/-1,247)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",972,(+/-670),88,(+/-113),968,(+/-686),"1,592",(+/-914),842,(+/-631),232,(+/-200)
People,"Veteran Status","Civilian population 18 years and over","579,277","(+/-8,403)","555,253","(+/-3,842)","550,209","(+/-7,978)","589,598","(+/-3,146)","565,598","(+/-8,131)","560,803","(+/-8,217)"
People,"Veteran Status","Civilian veterans","33,541","(+/-2,564)","48,446","(+/-2,925)","26,681","(+/-2,845)","48,121","(+/-2,733)","36,810","(+/-2,657)","39,054","(+/-3,602)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","706,077","(+/-10,190)","692,630","(+/-4,875)","677,524","(+/-10,382)","705,784","(+/-4,242)","706,193","(+/-11,216)","704,817","(+/-10,295)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","93,383","(+/-5,343)","126,496","(+/-6,069)","96,044","(+/-5,754)","123,626","(+/-5,413)","98,930","(+/-5,250)","103,755","(+/-5,897)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","130,357","(+/-4,756)","148,424","(+/-2,680)","130,923","(+/-5,552)","119,779","(+/-2,188)","144,070","(+/-6,137)","154,923","(+/-4,560)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","7,737","(+/-1,903)","10,569","(+/-1,807)","4,310","(+/-1,185)","6,883","(+/-1,452)","7,781","(+/-1,721)","8,499","(+/-2,208)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","460,181","(+/-7,960)","382,176","(+/-3,861)","445,572","(+/-7,877)","419,733","(+/-2,597)","416,970","(+/-7,581)","425,326","(+/-7,979)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","47,341","(+/-4,093)","59,074","(+/-4,788)","55,028","(+/-4,637)","60,304","(+/-3,907)","43,194","(+/-3,471)","51,039","(+/-5,050)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","115,539","(+/-4,001)","162,030","(+/-3,029)","101,029","(+/-3,567)","166,272","(+/-2,331)","145,153","(+/-3,958)","124,568","(+/-3,673)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","38,305","(+/-2,591)","56,853","(+/-2,878)","36,706","(+/-2,710)","56,439","(+/-3,608)","47,955","(+/-3,290)","44,217","(+/-3,186)"
People,"Residence 1 Year Ago","Population 1 year and over","704,628","(+/-10,067)","700,808","(+/-4,812)","674,076","(+/-10,398)","704,665","(+/-4,179)","703,297","(+/-11,403)","709,356","(+/-10,316)"
People,"Residence 1 Year Ago","Same house","601,127","(+/-10,275)","623,246","(+/-9,205)","573,756","(+/-12,598)","590,564","(+/-9,164)","619,781","(+/-13,214)","622,027","(+/-12,805)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","103,501","(+/-8,597)","77,562","(+/-6,810)","100,320","(+/-8,985)","114,101","(+/-8,918)","83,516","(+/-8,009)","87,329","(+/-7,112)"
People,"Residence 1 Year Ago","Different house in the U.S.","97,095","(+/-8,398)","75,922","(+/-6,674)","94,819","(+/-8,909)","110,551","(+/-8,853)","80,039","(+/-7,776)","83,655","(+/-6,596)"
People,"Residence 1 Year Ago","Same county","48,345","(+/-5,836)","39,647","(+/-5,382)","55,554","(+/-7,285)","57,803","(+/-7,239)","41,562","(+/-6,253)","40,728","(+/-6,321)"
People,"Residence 1 Year Ago","Different county","48,750","(+/-5,386)","36,275","(+/-4,403)","39,265","(+/-6,107)","52,748","(+/-5,905)","38,477","(+/-5,217)","42,927","(+/-4,593)"
People,"Residence 1 Year Ago","Same state","18,810","(+/-2,800)","19,203","(+/-3,344)","21,410","(+/-4,577)","23,635","(+/-3,908)","22,298","(+/-3,498)","27,840","(+/-3,906)"
People,"Residence 1 Year Ago","Different state","29,940","(+/-4,904)","17,072","(+/-3,202)","17,855","(+/-3,483)","29,113","(+/-3,986)","16,179","(+/-3,583)","15,087","(+/-2,606)"
People,"Residence 1 Year Ago",Abroad,"6,406","(+/-2,144)","1,640",(+/-889),"5,501","(+/-1,965)","3,550","(+/-1,251)","3,477","(+/-1,246)","3,674","(+/-1,925)"
Workers,"Employment Status","Population 16 years and over","595,634","(+/-8,545)","575,288","(+/-4,211)","567,802","(+/-8,420)","602,902","(+/-3,160)","583,989","(+/-8,136)","580,452","(+/-8,084)"
Workers,"Employment Status","In labor force","409,794","(+/-7,811)","313,178","(+/-6,527)","389,132","(+/-7,659)","342,476","(+/-5,890)","368,023","(+/-8,557)","370,466","(+/-9,292)"
Workers,"Employment Status","Civilian labor force","409,255","(+/-7,840)","312,207","(+/-6,557)","388,962","(+/-7,649)","341,932","(+/-5,899)","367,918","(+/-8,573)","369,976","(+/-9,329)"
Workers,"Employment Status",Employed,"394,022","(+/-7,775)","298,117","(+/-6,389)","373,223","(+/-7,834)","324,692","(+/-6,414)","357,404","(+/-8,674)","352,455","(+/-9,151)"
Workers,"Employment Status",Unemployed,"15,233","(+/-2,116)","14,090","(+/-2,209)","15,739","(+/-2,152)","17,240","(+/-2,762)","10,514","(+/-1,945)","17,521","(+/-2,313)"
Workers,"Employment Status","Armed Forces",539,(+/-365),971,(+/-566),170,(+/-215),544,(+/-344),105,(+/-117),490,(+/-441)
Workers,"Employment Status","Not in labor force","185,840","(+/-5,837)","262,110","(+/-7,143)","178,670","(+/-6,177)","260,426","(+/-5,877)","215,966","(+/-6,914)","209,986","(+/-5,605)"
Workers,"Employment Status","Civilian labor force","409,255","(+/-7,840)","312,207","(+/-6,557)","388,962","(+/-7,649)","341,932","(+/-5,899)","367,918","(+/-8,573)","369,976","(+/-9,329)"
Workers,"Employment Status","Unemployment Rate",3.7,(+/-0.5),4.5,(+/-0.7),4.0,(+/-0.6),5.0,(+/-0.8),2.9,(+/-0.5),4.7,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","388,307","(+/-7,688)","291,976","(+/-6,409)","365,532","(+/-8,157)","318,118","(+/-6,452)","351,373","(+/-8,804)","345,584","(+/-8,976)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","226,614","(+/-6,129)","215,135","(+/-6,815)","214,684","(+/-8,356)","216,911","(+/-6,523)","229,116","(+/-8,099)","228,670","(+/-7,216)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","30,838","(+/-3,910)","29,071","(+/-3,655)","32,172","(+/-4,784)","29,951","(+/-3,352)","32,260","(+/-4,888)","38,463","(+/-3,648)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","15,558","(+/-2,797)","1,505",(+/-697),"16,904","(+/-2,678)","4,446","(+/-1,372)","2,722",(+/-793),"5,001","(+/-1,554)"
Workers,"Commuting to Work",Walked,"19,131","(+/-2,707)","11,223","(+/-2,129)","10,390","(+/-1,902)","13,939","(+/-2,211)","7,670","(+/-1,855)","8,421","(+/-1,689)"
Workers,"Commuting to Work","Other means","9,337","(+/-1,609)","5,570","(+/-1,261)","14,155","(+/-2,416)","10,375","(+/-1,979)","8,681","(+/-2,104)","8,041","(+/-2,026)"
Workers,"Commuting to Work","Worked from home","86,829","(+/-5,086)","29,472","(+/-2,994)","77,227","(+/-4,778)","42,496","(+/-3,527)","70,924","(+/-4,189)","56,988","(+/-4,405)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.0,(+/-0.9),20.7,(+/-0.9),26.0,(+/-0.9),19.8,(+/-0.6),24.7,(+/-0.9),23.8,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over","394,022","(+/-7,775)","298,117","(+/-6,389)","373,223","(+/-7,834)","324,692","(+/-6,414)","357,404","(+/-8,674)","352,455","(+/-9,151)"
Workers,Occupation,"Management, business, science, and arts occupations","210,578","(+/-7,777)","109,784","(+/-4,973)","179,077","(+/-5,924)","129,568","(+/-5,493)","160,953","(+/-6,045)","152,845","(+/-5,998)"
Workers,Occupation,"Service occupations","53,221","(+/-4,523)","55,919","(+/-4,797)","60,276","(+/-4,806)","61,370","(+/-4,435)","54,259","(+/-4,415)","59,919","(+/-4,690)"
Workers,Occupation,"Sales and office occupations","65,936","(+/-4,636)","57,110","(+/-3,875)","67,371","(+/-4,085)","65,628","(+/-4,992)","68,193","(+/-4,891)","68,941","(+/-5,126)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","28,971","(+/-3,986)","31,626","(+/-3,517)","24,817","(+/-3,034)","29,845","(+/-3,354)","29,151","(+/-3,144)","29,306","(+/-3,433)"
Workers,Occupation,"Production, transportation, and material moving occupations","35,316","(+/-3,780)","43,678","(+/-4,045)","41,682","(+/-4,011)","38,281","(+/-2,907)","44,848","(+/-4,131)","41,444","(+/-3,572)"
