Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE"
People,"Sex and Age","Total population","763,720","(+/-6,109)","713,964","(+/-20,223)","768,800","(+/-21,266)","781,948","(+/-8,823)","757,986","(+/-9,246)","777,885","(+/-5,349)","778,593","(+/-3,277)","764,570","(+/-5,201)","765,968","(+/-7,312)","781,862","(+/-8,399)","773,134","(+/-7,628)","752,466","(+/-11,114)","765,875","(+/-3,630)","753,602","(+/-5,679)","750,180","(+/-3,953)","761,148","(+/-1,983)","749,982","(+/-9,870)"
People,"Sex and Age",Male,"378,619","(+/-3,518)","344,971","(+/-10,748)","357,615","(+/-11,887)","383,446","(+/-5,478)","365,782","(+/-5,196)","384,054","(+/-3,133)","385,770","(+/-2,124)","383,809","(+/-3,119)","384,815","(+/-4,276)","385,926","(+/-5,250)","381,416","(+/-4,519)","364,632","(+/-6,709)","381,323","(+/-2,643)","375,736","(+/-3,072)","382,253","(+/-2,547)","379,370","(+/-1,653)","369,798","(+/-6,171)"
People,"Sex and Age",Female,"385,101","(+/-3,799)","368,993","(+/-11,642)","411,185","(+/-11,850)","398,502","(+/-5,260)","392,204","(+/-6,019)","393,831","(+/-3,132)","392,823","(+/-2,135)","380,761","(+/-3,215)","381,153","(+/-4,404)","395,936","(+/-5,295)","391,718","(+/-4,412)","387,834","(+/-7,160)","384,552","(+/-2,776)","377,866","(+/-3,778)","367,927","(+/-2,717)","381,778","(+/-1,584)","380,184","(+/-6,478)"
People,"Sex and Age","Under 5 years","36,228","(+/-1,349)","46,154","(+/-4,972)","40,672","(+/-5,155)","40,124","(+/-2,308)","41,152","(+/-2,056)","44,227","(+/-1,323)","38,911",(+/-895),"35,552","(+/-1,351)","37,906","(+/-1,328)","43,408","(+/-1,923)","45,133","(+/-1,462)","34,956","(+/-2,861)","38,196","(+/-1,289)","33,850","(+/-1,304)","32,347",(+/-976),"37,171",(+/-695),"37,352","(+/-2,633)"
People,"Sex and Age","5 to 9 years","39,749","(+/-2,926)","44,941","(+/-4,804)","35,568","(+/-4,969)","45,278","(+/-3,905)","41,880","(+/-4,093)","45,236","(+/-3,225)","45,494","(+/-2,961)","42,280","(+/-2,670)","41,253","(+/-2,795)","44,795","(+/-3,329)","47,049","(+/-3,098)","34,570","(+/-2,946)","42,189","(+/-2,137)","39,063","(+/-2,428)","35,344","(+/-2,241)","39,709","(+/-2,238)","41,960","(+/-3,140)"
People,"Sex and Age","10 to 14 years","46,252","(+/-3,096)","49,903","(+/-4,899)","40,894","(+/-4,984)","48,258","(+/-2,906)","52,182","(+/-3,458)","51,595","(+/-2,667)","46,122","(+/-3,294)","42,535","(+/-2,687)","44,696","(+/-2,295)","51,757","(+/-3,310)","49,972","(+/-3,434)","38,244","(+/-3,173)","44,094","(+/-1,946)","39,854","(+/-2,424)","41,343","(+/-1,974)","44,232","(+/-2,213)","42,768","(+/-3,204)"
People,"Sex and Age","15 to 19 years","45,973","(+/-1,617)","45,818","(+/-3,804)","52,901","(+/-3,572)","51,958","(+/-2,361)","52,758","(+/-2,224)","57,347","(+/-2,027)","52,220","(+/-1,386)","47,375","(+/-1,870)","46,345","(+/-1,703)","51,517","(+/-2,794)","49,224","(+/-1,711)","48,747","(+/-2,822)","49,757","(+/-1,754)","45,120","(+/-1,747)","56,065","(+/-1,876)","53,391","(+/-1,398)","40,828","(+/-2,469)"
People,"Sex and Age","20 to 24 years","41,645","(+/-2,203)","41,108","(+/-4,300)","59,973","(+/-4,371)","44,358","(+/-2,251)","48,957","(+/-2,213)","46,681","(+/-2,245)","50,242","(+/-1,361)","46,830","(+/-2,012)","45,136","(+/-1,677)","46,391","(+/-2,484)","46,210","(+/-1,866)","57,380","(+/-3,053)","45,407","(+/-1,607)","43,264","(+/-1,743)","59,952","(+/-1,877)","45,782","(+/-1,544)","29,619","(+/-2,844)"
People,"Sex and Age","25 to 34 years","82,022","(+/-2,805)","112,017","(+/-7,162)","159,438","(+/-7,716)","90,996","(+/-3,861)","96,667","(+/-4,323)","92,527","(+/-2,695)","93,054","(+/-1,388)","91,112","(+/-2,528)","90,832","(+/-2,810)","99,015","(+/-3,019)","95,036","(+/-2,677)","107,530","(+/-5,012)","87,805","(+/-2,123)","86,460","(+/-2,028)","83,999","(+/-1,754)","85,783","(+/-1,634)","97,112","(+/-4,726)"
People,"Sex and Age","35 to 44 years","99,709","(+/-2,301)","92,889","(+/-5,985)","113,348","(+/-6,413)","102,174","(+/-3,730)","106,867","(+/-3,527)","102,405","(+/-2,401)","100,915","(+/-2,051)","91,424","(+/-2,821)","93,724","(+/-3,053)","106,816","(+/-3,724)","97,138","(+/-2,923)","103,341","(+/-4,064)","87,050","(+/-2,069)","86,379","(+/-2,270)","84,579","(+/-1,630)","91,921","(+/-1,583)","99,480","(+/-3,895)"
