Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","536,470","(+/-9,293)","559,492","(+/-9,293)"
People,"Sex and Age",Male,"260,859","(+/-6,897)","274,640","(+/-6,598)"
People,"Sex and Age",Female,"275,611","(+/-5,375)","284,852","(+/-5,720)"
People,"Sex and Age","Under 5 years","25,118","(+/-2,223)","27,600","(+/-2,249)"
People,"Sex and Age","5 to 9 years","25,799","(+/-3,268)","32,667","(+/-3,741)"
People,"Sex and Age","10 to 14 years","29,322","(+/-3,387)","26,550","(+/-3,745)"
People,"Sex and Age","15 to 19 years","39,367","(+/-2,887)","31,868","(+/-2,791)"
People,"Sex and Age","20 to 24 years","31,890","(+/-2,952)","39,288","(+/-2,532)"
People,"Sex and Age","25 to 34 years","75,875","(+/-3,685)","77,911","(+/-3,920)"
People,"Sex and Age","35 to 44 years","70,231","(+/-4,066)","72,699","(+/-4,418)"
People,"Sex and Age","45 to 54 years","62,261","(+/-3,584)","64,277","(+/-3,635)"
People,"Sex and Age","55 to 59 years","35,577","(+/-2,696)","37,795","(+/-2,491)"
People,"Sex and Age","60 to 64 years","34,400","(+/-3,251)","43,091","(+/-2,869)"
People,"Sex and Age","65 to 74 years","61,804","(+/-2,501)","61,957","(+/-2,565)"
People,"Sex and Age","75 to 84 years","32,224","(+/-2,563)","33,003","(+/-2,416)"
People,"Sex and Age","85 years and over","12,602","(+/-1,752)","10,786","(+/-1,813)"
People,"Sex and Age","Median age (years)",40.8,(+/-0.7),40.8,(+/-0.9)
People,"Sex and Age","18 years and over","435,928","(+/-7,321)","456,777","(+/-7,171)"
People,"Sex and Age","65 years and over","106,630","(+/-3,198)","105,746","(+/-3,584)"
People,Race,"Total population","536,470","(+/-9,293)","559,492","(+/-9,293)"
People,Race,"One race","452,576","(+/-10,484)","495,497","(+/-10,655)"
People,Race,White,"350,835","(+/-8,441)","412,658","(+/-8,607)"
People,Race,"Black or African American","33,370","(+/-5,245)","26,344","(+/-4,555)"
