Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population","788,014","(+/-2,515)","806,407","(+/-3,206)","798,804","(+/-3,185)","808,625","(+/-3,178)","793,338","(+/-13,346)","796,534","(+/-11,694)","813,590","(+/-11,896)","773,599","(+/-9,187)","747,578","(+/-8,637)"
People,"Sex and Age",Male,"388,614","(+/-3,246)","397,962","(+/-2,457)","394,404","(+/-2,954)","399,451","(+/-3,245)","389,772","(+/-7,612)","397,585","(+/-8,067)","399,337","(+/-5,796)","376,270","(+/-6,565)","353,600","(+/-5,232)"
People,"Sex and Age",Female,"399,400","(+/-3,000)","408,445","(+/-2,813)","404,400","(+/-3,185)","409,174","(+/-3,289)","403,566","(+/-7,716)","398,949","(+/-6,442)","414,253","(+/-8,972)","397,329","(+/-5,756)","393,978","(+/-4,671)"
People,"Sex and Age","Under 5 years","39,023","(+/-2,129)","41,992","(+/-1,055)","44,681","(+/-1,408)","47,576","(+/-1,239)","46,610","(+/-4,291)","47,439","(+/-3,818)","48,765","(+/-3,276)","41,263","(+/-1,950)","53,683","(+/-1,596)"
People,"Sex and Age","5 to 9 years","40,246","(+/-2,640)","49,597","(+/-3,262)","45,136","(+/-3,038)","51,819","(+/-3,796)","51,443","(+/-5,097)","47,271","(+/-3,362)","43,906","(+/-4,288)","44,014","(+/-3,052)","54,662","(+/-3,965)"
People,"Sex and Age","10 to 14 years","41,078","(+/-2,964)","43,164","(+/-3,243)","45,900","(+/-3,180)","50,347","(+/-3,700)","54,458","(+/-4,144)","49,584","(+/-3,200)","51,201","(+/-3,902)","56,012","(+/-3,386)","50,474","(+/-4,023)"
People,"Sex and Age","15 to 19 years","46,095","(+/-2,423)","52,411","(+/-1,851)","46,246","(+/-1,978)","56,952","(+/-2,492)","49,411","(+/-3,564)","46,089","(+/-2,644)","56,357","(+/-3,874)","51,919","(+/-3,136)","47,409","(+/-2,088)"
People,"Sex and Age","20 to 24 years","48,017","(+/-2,180)","59,568","(+/-1,465)","48,478","(+/-1,828)","60,648","(+/-2,286)","39,184","(+/-3,264)","45,142","(+/-2,972)","66,449","(+/-4,657)","39,810","(+/-2,977)","52,993","(+/-1,634)"
People,"Sex and Age","25 to 34 years","95,819","(+/-3,464)","104,669","(+/-2,196)","107,824","(+/-1,921)","103,092","(+/-3,095)","111,624","(+/-4,857)","114,714","(+/-5,006)","132,902","(+/-5,382)","89,025","(+/-4,030)","118,809","(+/-2,684)"
People,"Sex and Age","35 to 44 years","91,699","(+/-2,771)","102,470","(+/-2,182)","100,602","(+/-2,114)","109,550","(+/-2,608)","119,898","(+/-5,643)","109,132","(+/-4,944)","106,094","(+/-4,223)","101,700","(+/-3,330)","94,230","(+/-2,542)"
People,"Sex and Age","45 to 54 years","102,376","(+/-2,572)","96,750","(+/-1,912)","98,898","(+/-1,861)","99,776","(+/-2,041)","104,418","(+/-4,734)","94,253","(+/-4,079)","94,389","(+/-4,130)","95,198","(+/-3,479)","83,783","(+/-2,628)"
People,"Sex and Age","55 to 59 years","53,495","(+/-3,142)","51,494","(+/-3,226)","52,687","(+/-2,552)","48,598","(+/-3,287)","42,700","(+/-3,390)","51,441","(+/-3,868)","48,187","(+/-3,772)","47,776","(+/-2,860)","37,996","(+/-2,981)"
People,"Sex and Age","60 to 64 years","60,400","(+/-2,806)","52,886","(+/-3,157)","52,724","(+/-2,585)","50,879","(+/-3,502)","49,172","(+/-3,980)","51,735","(+/-3,462)","47,905","(+/-2,940)","54,985","(+/-3,613)","46,617","(+/-2,750)"
People,"Sex and Age","65 to 74 years","98,513","(+/-1,537)","90,368","(+/-1,631)","90,714","(+/-1,445)","78,323","(+/-1,532)","76,587","(+/-3,351)","83,800","(+/-2,633)","72,598","(+/-3,147)","90,206","(+/-2,623)","68,236","(+/-2,484)"
People,"Sex and Age","75 to 84 years","54,298","(+/-1,974)","46,824","(+/-2,057)","50,339","(+/-2,169)","40,064","(+/-1,810)","38,435","(+/-2,463)","43,968","(+/-2,098)","33,710","(+/-2,106)","47,386","(+/-2,470)","29,198","(+/-2,132)"
