Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population","855,830","(+/-8,777)","857,385","(+/-9,619)","818,995","(+/-10,325)","885,524","(+/-10,511)"
People,"Sex and Age",Male,"430,121","(+/-5,582)","439,871","(+/-7,158)","414,373","(+/-7,137)","447,382","(+/-8,183)"
People,"Sex and Age",Female,"425,709","(+/-5,652)","417,514","(+/-5,985)","404,622","(+/-6,505)","438,142","(+/-6,619)"
People,"Sex and Age","Under 5 years","56,138","(+/-2,176)","52,424","(+/-2,698)","52,271","(+/-3,543)","69,048","(+/-4,140)"
People,"Sex and Age","5 to 9 years","61,947","(+/-3,337)","57,246","(+/-4,115)","57,683","(+/-3,324)","79,255","(+/-4,859)"
People,"Sex and Age","10 to 14 years","67,126","(+/-3,164)","67,407","(+/-3,999)","58,150","(+/-3,678)","80,462","(+/-4,864)"
People,"Sex and Age","15 to 19 years","69,639","(+/-2,209)","66,965","(+/-3,334)","70,163","(+/-3,105)","75,318","(+/-3,264)"
People,"Sex and Age","20 to 24 years","78,113","(+/-3,064)","64,164","(+/-3,639)","92,652","(+/-3,457)","56,544","(+/-3,914)"
People,"Sex and Age","25 to 34 years","126,859","(+/-4,059)","125,462","(+/-5,199)","119,131","(+/-5,045)","135,138","(+/-6,137)"
People,"Sex and Age","35 to 44 years","118,316","(+/-3,346)","122,062","(+/-4,355)","98,035","(+/-4,742)","129,781","(+/-4,990)"
People,"Sex and Age","45 to 54 years","96,236","(+/-3,663)","95,532","(+/-4,423)","89,350","(+/-4,187)","102,758","(+/-4,623)"
People,"Sex and Age","55 to 59 years","39,313","(+/-3,012)","41,987","(+/-3,773)","36,106","(+/-2,879)","36,779","(+/-3,352)"
People,"Sex and Age","60 to 64 years","39,461","(+/-2,723)","40,160","(+/-3,112)","40,114","(+/-2,792)","36,690","(+/-3,420)"
People,"Sex and Age","65 to 74 years","64,328","(+/-2,733)","71,797","(+/-2,848)","62,686","(+/-3,297)","55,801","(+/-3,620)"
People,"Sex and Age","75 to 84 years","28,372","(+/-1,887)","38,906","(+/-2,165)","31,220","(+/-2,188)","21,035","(+/-2,088)"
People,"Sex and Age","85 years and over","9,982","(+/-1,324)","13,273","(+/-1,802)","11,434","(+/-1,505)","6,915","(+/-1,226)"
People,"Sex and Age","Median age (years)",32.1,(+/-0.4),34.5,(+/-0.5),31.2,(+/-0.6),31.1,(+/-0.7)
People,"Sex and Age","18 years and over","628,036","(+/-6,971)","638,077","(+/-8,622)","609,222","(+/-7,486)","608,494","(+/-9,398)"
People,"Sex and Age","65 years and over","102,682","(+/-3,153)","123,976","(+/-3,777)","105,340","(+/-4,222)","83,751","(+/-4,749)"
People,Race,"Total population","855,830","(+/-8,777)","857,385","(+/-9,619)","818,995","(+/-10,325)","885,524","(+/-10,511)"
People,Race,"One race","781,587","(+/-9,505)","781,357","(+/-11,689)","744,296","(+/-11,142)","784,451","(+/-13,174)"
People,Race,White,"711,241","(+/-8,933)","640,212","(+/-10,848)","654,267","(+/-11,577)","680,027","(+/-13,225)"
People,Race,"Black or African American","10,638","(+/-1,705)","8,873","(+/-2,866)","6,190","(+/-1,907)","12,679","(+/-4,048)"
People,Race,"American Indian and Alaska Native","4,822","(+/-1,452)","10,661","(+/-3,042)","13,281","(+/-1,321)","8,023","(+/-2,742)"
People,Race,Asian,"19,482","(+/-2,508)","23,105","(+/-4,653)","21,742","(+/-3,341)","20,400","(+/-3,449)"
People,Race,"Native Hawaiian and Other Pacific Islander","4,150","(+/-1,413)","9,892","(+/-3,099)","7,237","(+/-1,946)","12,646","(+/-3,896)"
People,Race,"Some other race","31,254","(+/-4,889)","88,614","(+/-8,777)","41,579","(+/-6,472)","50,676","(+/-7,735)"
People,Race,"Two or more races","74,243","(+/-5,388)","76,028","(+/-7,585)","74,699","(+/-5,685)","101,073","(+/-10,175)"
People,"Hispanic or Latino and Race","Total population","855,830","(+/-8,777)","857,385","(+/-9,619)","818,995","(+/-10,325)","885,524","(+/-10,511)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","123,777","(+/-4,754)","170,157","(+/-8,407)","108,217","(+/-7,176)","144,797","(+/-10,250)"
People,"Hispanic or Latino and Race",Mexican,"89,006","(+/-5,507)","128,785","(+/-8,820)","59,185","(+/-6,438)","82,471","(+/-9,050)"
People,"Hispanic or Latino and Race","Puerto Rican","3,187","(+/-1,665)","2,993","(+/-1,670)","5,115","(+/-1,981)","3,313","(+/-1,640)"
People,"Hispanic or Latino and Race",Cuban,910,(+/-665),"1,290",(+/-900),221,(+/-294),412,(+/-309)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","30,674","(+/-4,062)","37,089","(+/-6,142)","43,696","(+/-5,206)","58,601","(+/-7,015)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","732,053","(+/-8,749)","687,228","(+/-10,044)","710,778","(+/-11,145)","740,727","(+/-13,047)"
People,"Place of Birth","Total population","855,830","(+/-8,777)","857,385","(+/-9,619)","818,995","(+/-10,325)","885,524","(+/-10,511)"
People,"Place of Birth",Native,"797,538","(+/-10,649)","764,050","(+/-10,324)","748,037","(+/-10,697)","804,325","(+/-12,161)"
People,"Place of Birth","Born in United States","787,434","(+/-10,497)","753,400","(+/-10,038)","740,322","(+/-10,855)","796,515","(+/-12,250)"
People,"Place of Birth","State of residence","531,512","(+/-9,474)","496,962","(+/-10,478)","471,878","(+/-10,270)","575,064","(+/-11,228)"
People,"Place of Birth","Different state","255,922","(+/-9,671)","256,438","(+/-9,003)","268,444","(+/-8,463)","221,451","(+/-10,262)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","10,104","(+/-1,963)","10,650","(+/-2,021)","7,715","(+/-1,601)","7,810","(+/-1,645)"
People,"Place of Birth","Foreign born","58,292","(+/-4,594)","93,335","(+/-6,944)","70,958","(+/-5,610)","81,199","(+/-7,329)"
People,Ancestry,"Total population","855,830","(+/-8,777)","857,385","(+/-9,619)","818,995","(+/-10,325)","885,524","(+/-10,511)"
People,Ancestry,American,"36,509","(+/-4,460)","31,690","(+/-4,607)","34,101","(+/-5,369)","45,739","(+/-6,488)"
People,Ancestry,Arab,"1,532",(+/-858),"2,233","(+/-1,349)","2,058",(+/-963),"3,713","(+/-2,035)"
People,Ancestry,Czech,"1,555",(+/-752),"1,398",(+/-755),"1,470",(+/-535),891,(+/-691)
People,Ancestry,Danish,"29,614","(+/-4,781)","24,507","(+/-4,394)","31,367","(+/-3,329)","37,745","(+/-4,788)"
People,Ancestry,Dutch,"15,824","(+/-2,494)","13,381","(+/-2,567)","11,046","(+/-1,885)","18,534","(+/-3,747)"
People,Ancestry,English,"223,762","(+/-10,375)","216,423","(+/-12,020)","235,202","(+/-10,669)","253,016","(+/-12,733)"
People,Ancestry,"French (except Basque)","11,626","(+/-2,489)","11,496","(+/-2,199)","11,235","(+/-2,009)","12,072","(+/-2,524)"
