Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population","647,464",(*****)
People,"Sex and Age",Male,"322,938","(+/-1,813)"
People,"Sex and Age",Female,"324,526","(+/-1,813)"
People,"Sex and Age","Under 5 years","27,168","(+/-1,204)"
People,"Sex and Age","5 to 9 years","29,952","(+/-1,804)"
People,"Sex and Age","10 to 14 years","35,665","(+/-2,260)"
People,"Sex and Age","15 to 19 years","42,725","(+/-1,978)"
People,"Sex and Age","20 to 24 years","40,699","(+/-2,218)"
People,"Sex and Age","25 to 34 years","76,173","(+/-1,748)"
People,"Sex and Age","35 to 44 years","81,880","(+/-1,121)"
People,"Sex and Age","45 to 54 years","76,737","(+/-1,248)"
People,"Sex and Age","55 to 59 years","41,956","(+/-2,477)"
People,"Sex and Age","60 to 64 years","51,088","(+/-2,452)"
People,"Sex and Age","65 to 74 years","85,810",(+/-796)
People,"Sex and Age","75 to 84 years","44,819","(+/-1,458)"
People,"Sex and Age","85 years and over","12,792","(+/-1,396)"
People,"Sex and Age","Median age (years)",43.7,(+/-0.3)
People,"Sex and Age","18 years and over","532,638","(+/-1,049)"
People,"Sex and Age","65 years and over","143,421","(+/-1,000)"
People,Race,"Total population","647,464",(*****)
People,Race,"One race","609,958","(+/-3,434)"
People,Race,White,"582,287","(+/-3,159)"
People,Race,"Black or African American","7,843","(+/-1,171)"
People,Race,"American Indian and Alaska Native","1,493",(+/-613)
People,Race,Asian,"11,202","(+/-1,554)"
People,Race,"Native Hawaiian and Other Pacific Islander",229,(+/-213)
People,Race,"Some other race","6,904","(+/-1,937)"
People,Race,"Two or more races","37,506","(+/-3,434)"
People,"Hispanic or Latino and Race","Total population","647,464",(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","16,128",(+/-256)
People,"Hispanic or Latino and Race",Mexican,"2,915",(+/-768)
People,"Hispanic or Latino and Race","Puerto Rican","3,700",(+/-954)
People,"Hispanic or Latino and Race",Cuban,"1,337",(+/-789)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","8,176","(+/-1,234)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","631,336",(+/-256)
People,"Place of Birth","Total population","647,464",(*****)
People,"Place of Birth",Native,"618,417","(+/-2,783)"
People,"Place of Birth","Born in United States","610,857","(+/-3,130)"
People,"Place of Birth","State of residence","301,217","(+/-5,835)"
People,"Place of Birth","Different state","309,640","(+/-5,637)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","7,560","(+/-1,480)"
People,"Place of Birth","Foreign born","29,047","(+/-2,783)"
People,Ancestry,"Total population","647,464",(*****)
People,Ancestry,American,"48,912","(+/-5,331)"
People,Ancestry,Arab,"3,589","(+/-1,517)"
People,Ancestry,Czech,"2,341",(+/-835)
People,Ancestry,Danish,"1,944",(+/-755)
People,Ancestry,Dutch,"7,193","(+/-1,499)"
People,Ancestry,English,"120,441","(+/-6,084)"
People,Ancestry,"French (except Basque)","56,286","(+/-4,511)"
People,Ancestry,"French Canadian","44,515","(+/-4,002)"
People,Ancestry,German,"68,843","(+/-5,635)"
People,Ancestry,Greek,"4,023","(+/-1,232)"
People,Ancestry,Hungarian,"2,979",(+/-757)
People,Ancestry,Irish,"111,091","(+/-6,198)"
People,Ancestry,Italian,"48,721","(+/-3,910)"
People,Ancestry,Lithuanian,"1,920",(+/-615)
People,Ancestry,Norwegian,"6,860","(+/-1,409)"
People,Ancestry,Polish,"23,298","(+/-3,132)"
People,Ancestry,Portuguese,"2,185",(+/-828)
People,Ancestry,Russian,"6,477","(+/-1,837)"
People,Ancestry,Scotch-Irish,"7,824","(+/-1,686)"
People,Ancestry,Scottish,"23,069","(+/-2,598)"
People,Ancestry,Slovak,627,(+/-274)
People,Ancestry,"Subsaharan African","1,458",(+/-632)
People,Ancestry,Swedish,"8,176","(+/-1,698)"
People,Ancestry,Swiss,"3,572","(+/-1,680)"
People,Ancestry,Ukrainian,"3,186",(+/-974)
People,Ancestry,Welsh,"7,110","(+/-1,754)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,086",(+/-530)
People,"Veteran Status","Civilian population 18 years and over","532,285","(+/-1,089)"
People,"Veteran Status","Civilian veterans","33,725","(+/-2,130)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","642,064",(+/-243)
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","91,751","(+/-4,715)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","114,792","(+/-1,050)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","6,662","(+/-1,634)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","386,838","(+/-1,306)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","46,143","(+/-3,296)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","140,434","(+/-1,026)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","38,946","(+/-2,045)"
People,"Residence 1 Year Ago","Population 1 year and over","642,670","(+/-1,020)"
People,"Residence 1 Year Ago","Same house","572,434","(+/-5,212)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","70,236","(+/-5,209)"
People,"Residence 1 Year Ago","Different house in the U.S.","68,084","(+/-5,182)"
People,"Residence 1 Year Ago","Same county","28,524","(+/-3,872)"
People,"Residence 1 Year Ago","Different county","39,560","(+/-3,598)"
People,"Residence 1 Year Ago","Same state","12,817","(+/-2,067)"
People,"Residence 1 Year Ago","Different state","26,743","(+/-3,113)"
People,"Residence 1 Year Ago",Abroad,"2,152",(+/-737)
Workers,"Employment Status","Population 16 years and over","547,286","(+/-1,485)"
Workers,"Employment Status","In labor force","355,375","(+/-5,248)"
Workers,"Employment Status","Civilian labor force","355,022","(+/-5,205)"
Workers,"Employment Status",Employed,"345,752","(+/-5,298)"
Workers,"Employment Status",Unemployed,"9,270","(+/-1,523)"
Workers,"Employment Status","Armed Forces",353,(+/-243)
Workers,"Employment Status","Not in labor force","191,911","(+/-5,282)"
Workers,"Employment Status","Civilian labor force","355,022","(+/-5,205)"
Workers,"Employment Status","Unemployment Rate",2.6,(+/-0.4)
Workers,"Commuting to Work","Workers 16 years and over","339,587","(+/-5,553)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","231,289","(+/-6,352)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","28,744","(+/-2,360)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","3,184","(+/-1,121)"
Workers,"Commuting to Work",Walked,"15,450","(+/-2,088)"
Workers,"Commuting to Work","Other means","5,878","(+/-1,155)"
Workers,"Commuting to Work","Worked from home","55,042","(+/-3,755)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.2,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over","345,752","(+/-5,298)"
Workers,Occupation,"Management, business, science, and arts occupations","163,418","(+/-5,528)"
Workers,Occupation,"Service occupations","51,971","(+/-4,014)"
Workers,Occupation,"Sales and office occupations","59,819","(+/-3,627)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","33,313","(+/-2,762)"
Workers,Occupation,"Production, transportation, and material moving occupations","37,231","(+/-2,977)"
Workers,Industry,"Civilian employed population 16 years and over","345,752","(+/-5,298)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","8,502","(+/-1,459)"
Workers,Industry,Construction,"29,472","(+/-2,949)"
Workers,Industry,Manufacturing,"34,128","(+/-2,786)"
Workers,Industry,"Wholesale trade","4,939","(+/-1,117)"
