Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population","866,374","(+/-2,411)","903,697","(+/-2,411)"
People,"Sex and Age",Male,"428,467","(+/-3,486)","454,164","(+/-2,409)"
People,"Sex and Age",Female,"437,907","(+/-3,210)","449,533","(+/-2,393)"
People,"Sex and Age","Under 5 years","42,807","(+/-1,319)","44,646","(+/-1,079)"
People,"Sex and Age","5 to 9 years","44,148","(+/-3,247)","48,665","(+/-2,729)"
People,"Sex and Age","10 to 14 years","53,834","(+/-3,284)","52,597","(+/-2,648)"
People,"Sex and Age","15 to 19 years","56,414","(+/-2,119)","55,731","(+/-2,129)"
People,"Sex and Age","20 to 24 years","48,943","(+/-2,256)","63,067","(+/-2,577)"
People,"Sex and Age","25 to 34 years","92,781","(+/-2,406)","113,472","(+/-2,613)"
People,"Sex and Age","35 to 44 years","101,788","(+/-2,319)","111,828","(+/-2,267)"
People,"Sex and Age","45 to 54 years","111,919","(+/-1,930)","110,454","(+/-1,807)"
People,"Sex and Age","55 to 59 years","57,084","(+/-2,982)","58,500","(+/-2,972)"
People,"Sex and Age","60 to 64 years","58,262","(+/-3,189)","62,939","(+/-2,806)"
People,"Sex and Age","65 to 74 years","117,256","(+/-1,371)","108,161","(+/-1,234)"
People,"Sex and Age","75 to 84 years","62,031","(+/-2,007)","57,684","(+/-1,499)"
People,"Sex and Age","85 years and over","19,107","(+/-1,962)","15,953","(+/-1,358)"
People,"Sex and Age","Median age (years)",44.1,(+/-0.3),41.4,(+/-0.4)
People,"Sex and Age","18 years and over","692,442","(+/-1,847)","725,987","(+/-2,025)"
People,"Sex and Age","65 years and over","198,394","(+/-1,347)","181,798","(+/-1,340)"
People,Race,"Total population","866,374","(+/-2,411)","903,697","(+/-2,411)"
People,Race,"One race","829,972","(+/-4,417)","852,142","(+/-4,792)"
People,Race,White,"792,004","(+/-3,665)","802,080","(+/-3,808)"
People,Race,"Black or African American","27,788","(+/-3,007)","29,553","(+/-2,908)"
People,Race,"American Indian and Alaska Native",762,(+/-607),"1,016",(+/-554)
People,Race,Asian,"4,869",(+/-867),"7,785",(+/-903)
People,Race,"Native Hawaiian and Other Pacific Islander",193,(+/-177),0,(+/-204)
People,Race,"Some other race","4,356","(+/-1,676)","11,708","(+/-2,318)"
People,Race,"Two or more races","36,402","(+/-3,486)","51,555","(+/-4,567)"
People,"Hispanic or Latino and Race","Total population","866,374","(+/-2,411)","903,697","(+/-2,411)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","10,844","(+/-1,206)","26,993",(+/-995)
People,"Hispanic or Latino and Race",Mexican,"4,550","(+/-1,242)","10,238","(+/-2,873)"
People,"Hispanic or Latino and Race","Puerto Rican","1,465",(+/-772),"4,014","(+/-1,445)"
People,"Hispanic or Latino and Race",Cuban,443,(+/-315),"1,155",(+/-537)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","4,386","(+/-1,327)","11,586","(+/-2,238)"
