Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population","730,388","(+/-5,797)","747,345","(+/-3,169)","739,552","(+/-4,869)","719,795","(+/-5,558)","746,152","(+/-4,633)","738,802","(+/-3,155)","747,209","(+/-4,928)","741,712","(+/-1,919)"
People,"Sex and Age",Male,"364,938","(+/-3,767)","376,357","(+/-2,390)","374,327","(+/-2,978)","346,864","(+/-3,320)","370,683","(+/-3,173)","375,131","(+/-2,520)","378,572","(+/-2,986)","372,536","(+/-1,896)"
People,"Sex and Age",Female,"365,450","(+/-4,401)","370,988","(+/-2,244)","365,225","(+/-3,116)","372,931","(+/-4,209)","375,469","(+/-3,078)","363,671","(+/-2,128)","368,637","(+/-2,932)","369,176","(+/-2,014)"
People,"Sex and Age","Under 5 years","39,070","(+/-1,549)","36,917",(+/-697),"38,337","(+/-1,093)","46,354","(+/-1,501)","36,055","(+/-1,408)","36,327","(+/-1,257)","36,029",(+/-992),"38,785","(+/-1,265)"
People,"Sex and Age","5 to 9 years","45,184","(+/-3,680)","41,493","(+/-2,558)","41,178","(+/-2,179)","50,914","(+/-3,040)","43,716","(+/-2,275)","39,303","(+/-2,278)","39,500","(+/-1,997)","45,780","(+/-2,785)"
People,"Sex and Age","10 to 14 years","42,406","(+/-3,006)","41,725","(+/-2,794)","43,625","(+/-2,139)","47,108","(+/-3,355)","43,266","(+/-2,548)","44,607","(+/-2,740)","46,895","(+/-2,050)","45,204","(+/-2,662)"
People,"Sex and Age","15 to 19 years","46,803","(+/-2,528)","51,871","(+/-1,416)","55,801","(+/-1,779)","52,090","(+/-1,799)","46,486","(+/-2,229)","45,641","(+/-1,581)","43,716","(+/-1,370)","47,025","(+/-1,666)"
People,"Sex and Age","20 to 24 years","46,823","(+/-2,419)","66,605","(+/-1,314)","60,269","(+/-1,354)","53,457","(+/-1,636)","40,141","(+/-1,893)","47,652","(+/-1,856)","36,731","(+/-1,477)","43,850","(+/-1,396)"
People,"Sex and Age","25 to 34 years","93,532","(+/-4,227)","107,997","(+/-1,543)","86,489","(+/-1,675)","117,299","(+/-3,054)","82,615","(+/-2,611)","85,288","(+/-2,315)","78,859","(+/-1,407)","89,645","(+/-2,544)"
People,"Sex and Age","35 to 44 years","90,412","(+/-3,362)","102,762","(+/-1,389)","89,127","(+/-2,080)","99,053","(+/-2,447)","97,535","(+/-2,312)","91,414","(+/-1,686)","88,510","(+/-1,712)","92,591","(+/-1,885)"
People,"Sex and Age","45 to 54 years","89,904","(+/-3,392)","84,300","(+/-1,402)","82,224","(+/-1,736)","75,769","(+/-2,486)","91,654","(+/-2,058)","88,201","(+/-1,863)","87,798","(+/-1,522)","88,671","(+/-1,610)"
People,"Sex and Age","55 to 59 years","49,350","(+/-3,464)","44,049","(+/-2,241)","42,333","(+/-1,925)","38,787","(+/-2,630)","51,686","(+/-3,264)","51,480","(+/-2,205)","53,611","(+/-2,252)","50,691","(+/-2,324)"
People,"Sex and Age","60 to 64 years","51,003","(+/-2,775)","45,022","(+/-1,840)","53,846","(+/-2,287)","39,302","(+/-2,235)","58,636","(+/-2,829)","54,984","(+/-2,143)","63,395","(+/-2,390)","52,997","(+/-2,280)"
People,"Sex and Age","65 to 74 years","82,788","(+/-2,661)","75,068","(+/-1,055)","86,611","(+/-1,260)","62,223","(+/-2,458)","91,775","(+/-1,998)","91,696","(+/-1,150)","104,590","(+/-1,267)","89,934","(+/-1,323)"
People,"Sex and Age","75 to 84 years","39,787","(+/-2,006)","36,067","(+/-1,652)","44,554","(+/-1,810)","27,070","(+/-1,615)","45,979","(+/-1,795)","45,010","(+/-1,766)","50,225","(+/-1,321)","42,681","(+/-1,502)"
People,"Sex and Age","85 years and over","13,326","(+/-1,614)","13,469","(+/-1,560)","15,158","(+/-1,714)","10,369","(+/-1,434)","16,608","(+/-1,732)","17,199","(+/-1,546)","17,350","(+/-1,441)","13,858","(+/-1,494)"
People,"Sex and Age","Median age (years)",40.6,(+/-0.6),37.4,(+/-0.3),40.1,(+/-0.4),34.3,(+/-0.4),43.0,(+/-0.4),42.7,(+/-0.4),45.3,(+/-0.3),41.5,(+/-0.4)
People,"Sex and Age","18 years and over","574,055","(+/-5,131)","599,527","(+/-2,611)","588,297","(+/-3,008)","545,657","(+/-5,142)","592,666","(+/-3,906)","590,475","(+/-2,773)","594,643","(+/-3,085)","581,557","(+/-1,811)"
People,"Sex and Age","65 years and over","135,901","(+/-2,971)","124,604","(+/-1,541)","146,323","(+/-1,520)","99,662","(+/-2,948)","154,362","(+/-2,572)","153,905","(+/-1,346)","172,165","(+/-1,502)","146,473","(+/-1,293)"
People,Race,"Total population","730,388","(+/-5,797)","747,345","(+/-3,169)","739,552","(+/-4,869)","719,795","(+/-5,558)","746,152","(+/-4,633)","738,802","(+/-3,155)","747,209","(+/-4,928)","741,712","(+/-1,919)"
People,Race,"One race","647,074","(+/-8,958)","690,689","(+/-5,694)","706,674","(+/-5,875)","616,831","(+/-9,370)","703,475","(+/-6,145)","695,234","(+/-4,385)","707,541","(+/-5,737)","694,499","(+/-5,253)"
People,Race,White,"555,963","(+/-7,955)","596,542","(+/-4,727)","664,416","(+/-5,164)","305,001","(+/-5,591)","653,608","(+/-6,135)","644,927","(+/-3,608)","672,561","(+/-5,427)","630,577","(+/-3,700)"
People,Race,"Black or African American","40,084","(+/-4,317)","33,369","(+/-3,139)","7,334",(+/-939),"224,535","(+/-5,485)","13,439","(+/-2,225)","15,254","(+/-1,695)","3,272",(+/-991),"12,765","(+/-2,110)"
People,Race,"American Indian and Alaska Native","4,126","(+/-2,328)","2,387","(+/-1,390)","3,182",(+/-749),"6,997","(+/-2,321)","1,269",(+/-534),"3,242",(+/-816),"12,403",(+/-913),"14,862","(+/-1,462)"
People,Race,Asian,"13,950","(+/-2,493)","37,655","(+/-1,713)","17,608","(+/-1,457)","37,797","(+/-3,232)","22,585","(+/-2,220)","19,672","(+/-1,220)","11,134","(+/-1,151)","18,700","(+/-2,003)"
People,Race,"Native Hawaiian and Other Pacific Islander",657,(+/-592),34,(+/-3),266,(+/-366),63,(+/-78),325,(+/-397),505,(+/-469),323,(+/-251),0,(+/-159)
