Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population","584,057",(*****)
People,"Sex and Age",Male,"295,735","(+/-2,677)"
People,"Sex and Age",Female,"288,322","(+/-2,677)"
People,"Sex and Age","Under 5 years","30,651","(+/-1,469)"
People,"Sex and Age","5 to 9 years","36,438","(+/-2,371)"
People,"Sex and Age","10 to 14 years","38,128","(+/-2,677)"
People,"Sex and Age","15 to 19 years","40,417","(+/-2,635)"
People,"Sex and Age","20 to 24 years","34,570","(+/-1,819)"
People,"Sex and Age","25 to 34 years","76,458","(+/-2,844)"
People,"Sex and Age","35 to 44 years","82,098","(+/-2,123)"
People,"Sex and Age","45 to 54 years","61,052","(+/-2,088)"
People,"Sex and Age","55 to 59 years","31,373","(+/-2,597)"
People,"Sex and Age","60 to 64 years","40,775","(+/-2,707)"
People,"Sex and Age","65 to 74 years","70,262","(+/-1,082)"
People,"Sex and Age","75 to 84 years","30,198","(+/-1,743)"
People,"Sex and Age","85 years and over","11,637","(+/-1,598)"
People,"Sex and Age","Median age (years)",39.3,(+/-0.4)
People,"Sex and Age","18 years and over","454,092","(+/-1,097)"
People,"Sex and Age","65 years and over","112,097","(+/-1,150)"
People,Race,"Total population","584,057",(*****)
People,Race,"One race","535,388","(+/-4,766)"
People,Race,White,"492,128","(+/-3,847)"
People,Race,"Black or African American","4,038","(+/-1,192)"
People,Race,"American Indian and Alaska Native","14,337","(+/-2,890)"
People,Race,Asian,"5,057","(+/-1,136)"
People,Race,"Native Hawaiian and Other Pacific Islander",118,(+/-145)
People,Race,"Some other race","19,710","(+/-3,519)"
People,Race,"Two or more races","48,669","(+/-4,766)"
People,"Hispanic or Latino and Race","Total population","584,057",(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)","62,799",(*****)
People,"Hispanic or Latino and Race",Mexican,"47,488","(+/-2,592)"
People,"Hispanic or Latino and Race","Puerto Rican","1,435",(+/-700)
People,"Hispanic or Latino and Race",Cuban,310,(+/-303)
People,"Hispanic or Latino and Race","Other Hispanic or Latino","13,566","(+/-2,449)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino","521,258",(*****)
People,"Place of Birth","Total population","584,057",(*****)
People,"Place of Birth",Native,"562,779","(+/-2,697)"
People,"Place of Birth","Born in United States","558,236","(+/-2,865)"
People,"Place of Birth","State of residence","244,497","(+/-8,037)"
People,"Place of Birth","Different state","313,739","(+/-7,596)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,543","(+/-1,473)"
People,"Place of Birth","Foreign born","21,278","(+/-2,697)"
People,Ancestry,"Total population","584,057",(*****)
People,Ancestry,American,"29,029","(+/-4,168)"
People,Ancestry,Arab,860,(+/-732)
People,Ancestry,Czech,"2,964","(+/-1,568)"
People,Ancestry,Danish,"5,148","(+/-1,140)"
People,Ancestry,Dutch,"7,777","(+/-1,645)"
People,Ancestry,English,"89,760","(+/-6,739)"
People,Ancestry,"French (except Basque)","12,120","(+/-2,283)"
People,Ancestry,"French Canadian","1,846",(+/-752)
People,Ancestry,German,"123,404","(+/-7,686)"
People,Ancestry,Greek,"2,426","(+/-1,179)"
People,Ancestry,Hungarian,"1,307",(+/-749)
People,Ancestry,Irish,"60,725","(+/-4,783)"
People,Ancestry,Italian,"13,379","(+/-2,243)"
People,Ancestry,Lithuanian,434,(+/-282)
People,Ancestry,Norwegian,"18,058","(+/-3,098)"
People,Ancestry,Polish,"10,703","(+/-2,032)"
People,Ancestry,Portuguese,"1,353",(+/-902)
People,Ancestry,Russian,"3,072","(+/-1,423)"
People,Ancestry,Scotch-Irish,"9,380","(+/-2,011)"
People,Ancestry,Scottish,"17,358","(+/-2,237)"
People,Ancestry,Slovak,660,(+/-451)
People,Ancestry,"Subsaharan African","1,018",(+/-632)
People,Ancestry,Swedish,"13,341","(+/-2,690)"
People,Ancestry,Swiss,"1,669",(+/-682)
People,Ancestry,Ukrainian,728,(+/-677)
People,Ancestry,Welsh,"5,814","(+/-2,038)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",424,(+/-415)
People,"Veteran Status","Civilian population 18 years and over","450,439","(+/-1,719)"
People,"Veteran Status","Civilian veterans","39,015","(+/-3,069)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","573,746","(+/-1,035)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","86,265","(+/-4,742)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","129,672","(+/-1,097)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","8,383","(+/-1,863)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","334,346","(+/-1,973)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","41,321","(+/-3,672)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","109,728","(+/-1,143)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","36,561","(+/-2,383)"
People,"Residence 1 Year Ago","Population 1 year and over","577,612","(+/-1,158)"
People,"Residence 1 Year Ago","Same house","498,188","(+/-6,568)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","79,424","(+/-6,502)"
People,"Residence 1 Year Ago","Different house in the U.S.","77,071","(+/-6,250)"
People,"Residence 1 Year Ago","Same county","35,515","(+/-4,631)"
People,"Residence 1 Year Ago","Different county","41,556","(+/-4,292)"
People,"Residence 1 Year Ago","Same state","18,599","(+/-3,706)"
People,"Residence 1 Year Ago","Different state","22,957","(+/-3,071)"
People,"Residence 1 Year Ago",Abroad,"2,353","(+/-1,314)"
Workers,"Employment Status","Population 16 years and over","469,355","(+/-1,627)"
Workers,"Employment Status","In labor force","298,221","(+/-4,856)"
Workers,"Employment Status","Civilian labor force","294,568","(+/-4,958)"
Workers,"Employment Status",Employed,"285,046","(+/-4,924)"
Workers,"Employment Status",Unemployed,"9,522","(+/-1,825)"
Workers,"Employment Status","Armed Forces","3,653","(+/-1,022)"
Workers,"Employment Status","Not in labor force","171,134","(+/-4,856)"
Workers,"Employment Status","Civilian labor force","294,568","(+/-4,958)"
Workers,"Employment Status","Unemployment Rate",3.2,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","283,223","(+/-4,718)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","206,053","(+/-6,174)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","29,673","(+/-3,206)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","3,311","(+/-1,175)"
Workers,"Commuting to Work",Walked,"9,571","(+/-1,523)"
Workers,"Commuting to Work","Other means","5,616","(+/-1,355)"
Workers,"Commuting to Work","Worked from home","28,999","(+/-2,934)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19.5,(+/-0.9)
Workers,Occupation,"Civilian employed population 16 years and over","285,046","(+/-4,924)"
Workers,Occupation,"Management, business, science, and arts occupations","109,665","(+/-5,708)"
Workers,Occupation,"Service occupations","50,229","(+/-4,143)"
Workers,Occupation,"Sales and office occupations","50,920","(+/-3,779)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","39,100","(+/-3,419)"
Workers,Occupation,"Production, transportation, and material moving occupations","35,132","(+/-3,089)"
Workers,Industry,"Civilian employed population 16 years and over","285,046","(+/-4,924)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","27,020","(+/-2,980)"
Workers,Industry,Construction,"24,072","(+/-2,722)"
Workers,Industry,Manufacturing,"13,654","(+/-2,301)"
Workers,Industry,"Wholesale trade","4,254","(+/-1,322)"
Workers,Industry,"Retail trade","28,410","(+/-2,925)"
Workers,Industry,"Transportation and warehousing, and utilities","17,375","(+/-2,465)"
Workers,Industry,Information,"4,697","(+/-1,223)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","14,595","(+/-2,366)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","23,858","(+/-2,524)"
Workers,Industry,"Educational services, and health care and social assistance","69,774","(+/-3,582)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","22,633","(+/-2,649)"
